Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",722287,"(+/- 3666 )",765193,"(+/- 2501 )",807421,"(+/- 4384 )",709378,"(+/- 5415 )"
People,"Sex and Age",Male,359880,"(+/- 3489 )",371584,"(+/- 2141 )",401209,"(+/- 3071 )",347009,"(+/- 4161 )"
People,"Sex and Age",Female,362407,"(+/- 2591 )",393609,"(+/- 1888 )",406212,"(+/- 3307 )",362369,"(+/- 4043 )"
People,"Sex and Age","Under 5 years",44197,"(+/- 1494 )",48412,"(+/- 1190 )",53608,"(+/- 1876 )",40423,"(+/- 1773 )"
People,"Sex and Age","5 to 9 years",43459,"(+/- 3447 )",53890,"(+/- 2898 )",56312,"(+/- 2777 )",46269,"(+/- 3027 )"
People,"Sex and Age","10 to 14 years",49250,"(+/- 3002 )",47017,"(+/- 2812 )",57515,"(+/- 3303 )",45878,"(+/- 3081 )"
People,"Sex and Age","15 to 19 years",49492,"(+/- 2332 )",50096,"(+/- 1984 )",59953,"(+/- 3036 )",49884,"(+/- 3213 )"
People,"Sex and Age","20 to 24 years",42913,"(+/- 2396 )",52894,"(+/- 1756 )",58690,"(+/- 2672 )",45729,"(+/- 2818 )"
People,"Sex and Age","25 to 34 years",86884,"(+/- 3291 )",105797,"(+/- 1971 )",111435,"(+/- 2564 )",78670,"(+/- 3391 )"
People,"Sex and Age","35 to 44 years",89134,"(+/- 2384 )",96250,"(+/- 1804 )",105716,"(+/- 2711 )",79896,"(+/- 2476 )"
People,"Sex and Age","45 to 54 years",91379,"(+/- 1929 )",96538,"(+/- 1594 )",97566,"(+/- 2436 )",90404,"(+/- 2911 )"
People,"Sex and Age","55 to 59 years",47028,"(+/- 2337 )",50871,"(+/- 3140 )",46852,"(+/- 3437 )",49621,"(+/- 2851 )"
People,"Sex and Age","60 to 64 years",47825,"(+/- 2213 )",45899,"(+/- 3212 )",46217,"(+/- 3355 )",47392,"(+/- 3023 )"
People,"Sex and Age","65 to 74 years",75519,"(+/- 1657 )",71268,"(+/- 1390 )",67577,"(+/- 1889 )",77231,"(+/- 1706 )"
People,"Sex and Age","75 to 84 years",42605,"(+/- 2001 )",31819,"(+/- 1872 )",33331,"(+/- 1897 )",43980,"(+/- 2379 )"
People,"Sex and Age","85 years and over",12602,"(+/- 1340 )",14442,"(+/- 1757 )",12649,"(+/- 1752 )",14001,"(+/- 1625 )"
People,"Sex and Age","Median age (years)",39.7,"(+/- 0.5 )",37.4,"(+/- 0.3 )",35.5,"(+/- 0.3 )",40.8,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",554929,"(+/- 2771 )",587228,"(+/- 2016 )",606237,"(+/- 3313 )",547452,"(+/- 4201 )"
People,"Sex and Age","65 years and over",130726,"(+/- 1710 )",117529,"(+/- 1537 )",113557,"(+/- 1996 )",135212,"(+/- 2107 )"
People,Race,"Total population",722287,"(+/- 3666 )",765193,"(+/- 2501 )",807421,"(+/- 4384 )",709378,"(+/- 5415 )"
People,Race,"One race",697380,"(+/- 4772 )",745536,"(+/- 3996 )",779992,"(+/- 5777 )",696202,"(+/- 5442 )"
People,Race,White,557968,"(+/- 3496 )",540475,"(+/- 4336 )",669282,"(+/- 5768 )",525582,"(+/- 5617 )"
People,Race,"Black or African American",123723,"(+/- 3478 )",175520,"(+/- 2556 )",23473,"(+/- 2266 )",135651,"(+/- 2864 )"
People,Race,"American Indian and Alaska Native",2531,"(+/- 804 )",1786,"(+/- 1012 )",9121,"(+/- 1492 )",5672,"(+/- 1831 )"
People,Race,Asian,5015,"(+/- 1654 )",12811,"(+/- 1110 )",24944,"(+/- 1981 )",5115,"(+/- 1799 )"
People,Race,"Native Hawaiian and Other Pacific Islander",250,"(+/- 247 )",402,"(+/- 459 )",6499,"(+/- 1664 )",1400,"(+/- 949 )"
People,Race,"Some other race",7893,"(+/- 1598 )",14542,"(+/- 4544 )",46673,"(+/- 5393 )",22782,"(+/- 2718 )"
People,Race,"Two or more races",24907,"(+/- 3395 )",19657,"(+/- 3265 )",27429,"(+/- 3633 )",13176,"(+/- 1760 )"
