Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Sex and Age","Total population",718214,"(+/- 5619 )",717999,"(+/- 4737 )",750271,"(+/- 5937 )",748410,"(+/- 6754 )",732438,"(+/- 7091 )",764344,"(+/- 10197 )",750860,"(+/- 10124 )",721449,"(+/- 11055 )",774266,"(+/- 8104 )",758005,"(+/- 4737 )",764135,"(+/- 8057 )",774736,"(+/- 7691 )",766731,"(+/- 3594 )",756389,"(+/- 9959 )",785387,"(+/- 7687 )",729788,"(+/- 12057 )",771078,"(+/- 9642 )",742728,"(+/- 13446 )",770105,"(+/- 11460 )",744295,"(+/- 6469 )",723549,"(+/- 13637 )",760328,"(+/- 13356 )",745328,"(+/- 13495 )",740039,"(+/- 2177 )",721740,"(+/- 12254 )",732091,"(+/- 4224 )",717980,"(+/- 10422 )",719156,"(+/- 14069 )",713745,"(+/- 21983 )",771201,"(+/- 17402 )",762208,"(+/- 12404 )",725317,"(+/- 10942 )",705588,"(+/- 13672 )",763303,"(+/- 23715 )",745237,"(+/- 11126 )",737403,"(+/- 10703 )",713530,"(+/- 17324 )",718428,"(+/- 12053 )",736480,"(+/- 8155 )",738618,"(+/- 15209 )",765770,"(+/- 7138 )",826899,"(+/- 12916 )",745656,"(+/- 17384 )",717097,"(+/- 15549 )",777871,"(+/- 7306 )",734649,"(+/- 10636 )",723526,"(+/- 11857 )",721632,"(+/- 7978 )",747350,"(+/- 9745 )",754388,"(+/- 11300 )",746496,"(+/- 14825 )",768240,"(+/- 17624 )",774182,"(+/- 19922 )"
People,"Sex and Age",Male,361669,"(+/- 4056 )",355157,"(+/- 3889 )",377559,"(+/- 4923 )",372022,"(+/- 4253 )",355846,"(+/- 5033 )",372829,"(+/- 6593 )",366884,"(+/- 7018 )",360144,"(+/- 8927 )",382056,"(+/- 6513 )",378671,"(+/- 3811 )",372376,"(+/- 5102 )",395971,"(+/- 4790 )",370995,"(+/- 4675 )",371201,"(+/- 6261 )",391891,"(+/- 5512 )",363274,"(+/- 7077 )",392124,"(+/- 7382 )",374708,"(+/- 8669 )",385661,"(+/- 7801 )",374320,"(+/- 4036 )",382399,"(+/- 8684 )",373299,"(+/- 7878 )",381344,"(+/- 8251 )",371203,"(+/- 1524 )",363474,"(+/- 8273 )",361549,"(+/- 3033 )",350602,"(+/- 6982 )",359954,"(+/- 9357 )",355646,"(+/- 11209 )",381024,"(+/- 11347 )",372424,"(+/- 9099 )",356350,"(+/- 7854 )",337867,"(+/- 8545 )",391128,"(+/- 14045 )",380194,"(+/- 9777 )",366113,"(+/- 7293 )",343432,"(+/- 10883 )",351188,"(+/- 7987 )",369083,"(+/- 6388 )",370257,"(+/- 10044 )",383417,"(+/- 6513 )",409559,"(+/- 9586 )",358432,"(+/- 11232 )",347489,"(+/- 9051 )",375776,"(+/- 6645 )",371270,"(+/- 7225 )",352563,"(+/- 7424 )",352999,"(+/- 6211 )",381654,"(+/- 8448 )",373209,"(+/- 7231 )",382717,"(+/- 8174 )",386749,"(+/- 10926 )",380329,"(+/- 11708 )"
People,"Sex and Age",Female,356545,"(+/- 3969 )",362842,"(+/- 3672 )",372712,"(+/- 4622 )",376388,"(+/- 4387 )",376592,"(+/- 5992 )",391515,"(+/- 6106 )",383976,"(+/- 5801 )",361305,"(+/- 7220 )",392210,"(+/- 5846 )",379334,"(+/- 3896 )",391759,"(+/- 5551 )",378765,"(+/- 4016 )",395736,"(+/- 4740 )",385188,"(+/- 5445 )",393496,"(+/- 6451 )",366514,"(+/- 7067 )",378954,"(+/- 7277 )",368020,"(+/- 7339 )",384444,"(+/- 7187 )",369975,"(+/- 3630 )",341150,"(+/- 7546 )",387029,"(+/- 7998 )",363984,"(+/- 7870 )",368836,"(+/- 1853 )",358266,"(+/- 8039 )",370542,"(+/- 2907 )",367378,"(+/- 7487 )",359202,"(+/- 10185 )",358099,"(+/- 13569 )",390177,"(+/- 10147 )",389784,"(+/- 6654 )",368967,"(+/- 6919 )",367721,"(+/- 8798 )",372175,"(+/- 12746 )",365043,"(+/- 7346 )",371290,"(+/- 7227 )",370098,"(+/- 10844 )",367240,"(+/- 8894 )",367397,"(+/- 7161 )",368361,"(+/- 7966 )",382353,"(+/- 5505 )",417340,"(+/- 8204 )",387224,"(+/- 11367 )",369608,"(+/- 10297 )",402095,"(+/- 6875 )",363379,"(+/- 7668 )",370963,"(+/- 8630 )",368633,"(+/- 6887 )",365696,"(+/- 7003 )",381179,"(+/- 8805 )",363779,"(+/- 9224 )",381491,"(+/- 10650 )",393853,"(+/- 12631 )"
People,"Sex and Age","Under 5 years",37045,"(+/- 1522 )",34567,"(+/- 1497 )",46386,"(+/- 2034 )",35270,"(+/- 1832 )",38382,"(+/- 2344 )",55418,"(+/- 2793 )",43474,"(+/- 2722 )",55521,"(+/- 4360 )",53281,"(+/- 2642 )",51709,"(+/- 1744 )",45812,"(+/- 2262 )",35332,"(+/- 1129 )",45377,"(+/- 2386 )",40623,"(+/- 1756 )",45686,"(+/- 2504 )",62601,"(+/- 2675 )",47430,"(+/- 3801 )",41688,"(+/- 3552 )",47897,"(+/- 3518 )",46982,"(+/- 1365 )",58118,"(+/- 3552 )",59292,"(+/- 3287 )",53807,"(+/- 3940 )",41504,"(+/- 620 )",54027,"(+/- 4425 )",45185,"(+/- 1315 )",38335,"(+/- 3790 )",29392,"(+/- 2692 )",44184,"(+/- 3958 )",40463,"(+/- 4229 )",55863,"(+/- 4838 )",39426,"(+/- 3663 )",34205,"(+/- 3774 )",45626,"(+/- 3803 )",50079,"(+/- 4189 )",39868,"(+/- 3478 )",35234,"(+/- 4203 )",43020,"(+/- 3456 )",45568,"(+/- 3734 )",57839,"(+/- 4051 )",53889,"(+/- 3597 )",59491,"(+/- 3577 )",56129,"(+/- 5170 )",53261,"(+/- 4368 )",42601,"(+/- 3722 )",48826,"(+/- 3315 )",41449,"(+/- 4274 )",40164,"(+/- 3684 )",45387,"(+/- 5356 )",53098,"(+/- 4358 )",53273,"(+/- 3437 )",41803,"(+/- 3743 )",49538,"(+/- 4094 )"
People,"Sex and Age","5 to 9 years",39823,"(+/- 2533 )",41780,"(+/- 3074 )",49290,"(+/- 2722 )",44924,"(+/- 3082 )",42930,"(+/- 2958 )",55790,"(+/- 4419 )",47366,"(+/- 3744 )",54296,"(+/- 3804 )",58574,"(+/- 3694 )",58297,"(+/- 3222 )",46580,"(+/- 2788 )",23498,"(+/- 2177 )",37349,"(+/- 2670 )",44976,"(+/- 2984 )",53340,"(+/- 3477 )",57123,"(+/- 3769 )",43379,"(+/- 3366 )",44673,"(+/- 3168 )",46712,"(+/- 3161 )",48017,"(+/- 2906 )",60784,"(+/- 3949 )",65077,"(+/- 4159 )",56184,"(+/- 4112 )",44513,"(+/- 2608 )",50768,"(+/- 3794 )",46844,"(+/- 2968 )",32704,"(+/- 3139 )",29410,"(+/- 3079 )",44985,"(+/- 3157 )",43773,"(+/- 3734 )",57045,"(+/- 4235 )",42040,"(+/- 3140 )",33132,"(+/- 3209 )",42101,"(+/- 4032 )",49563,"(+/- 3619 )",39977,"(+/- 3978 )",35801,"(+/- 3258 )",39561,"(+/- 2941 )",42932,"(+/- 3446 )",59624,"(+/- 3713 )",54961,"(+/- 4281 )",63613,"(+/- 5081 )",48902,"(+/- 4443 )",52880,"(+/- 3824 )",44091,"(+/- 4184 )",49065,"(+/- 3575 )",39925,"(+/- 3826 )",35749,"(+/- 3139 )",46347,"(+/- 4313 )",45216,"(+/- 4205 )",50006,"(+/- 3735 )",39523,"(+/- 3880 )",42695,"(+/- 3600 )"
People,"Sex and Age","10 to 14 years",41341,"(+/- 2437 )",41054,"(+/- 3079 )",50901,"(+/- 3323 )",46798,"(+/- 2946 )",41621,"(+/- 2931 )",49788,"(+/- 3774 )",47802,"(+/- 3240 )",54766,"(+/- 4382 )",60657,"(+/- 4009 )",56425,"(+/- 3227 )",48710,"(+/- 3184 )",29091,"(+/- 2205 )",41729,"(+/- 2804 )",40436,"(+/- 2803 )",51630,"(+/- 3258 )",59993,"(+/- 4437 )",42425,"(+/- 2997 )",46300,"(+/- 2879 )",57312,"(+/- 3447 )",56445,"(+/- 3093 )",63216,"(+/- 4074 )",64689,"(+/- 4633 )",55480,"(+/- 4721 )",40902,"(+/- 2655 )",51669,"(+/- 4212 )",51109,"(+/- 2537 )",37747,"(+/- 2978 )",29530,"(+/- 3079 )",44783,"(+/- 3720 )",41800,"(+/- 3623 )",53001,"(+/- 4176 )",48010,"(+/- 3377 )",39521,"(+/- 3311 )",42901,"(+/- 3636 )",59840,"(+/- 4100 )",44895,"(+/- 3367 )",37825,"(+/- 3428 )",47402,"(+/- 3578 )",46165,"(+/- 3575 )",62858,"(+/- 3737 )",60481,"(+/- 4363 )",68682,"(+/- 5367 )",46038,"(+/- 3717 )",59053,"(+/- 3628 )",51518,"(+/- 4369 )",51169,"(+/- 3240 )",45689,"(+/- 3675 )",43418,"(+/- 3436 )",47920,"(+/- 3635 )",53150,"(+/- 4180 )",57273,"(+/- 3606 )",43228,"(+/- 3597 )",41677,"(+/- 4334 )"
People,"Sex and Age","15 to 19 years",42993,"(+/- 2291 )",44364,"(+/- 2785 )",55982,"(+/- 2591 )",44163,"(+/- 1986 )",44250,"(+/- 3082 )",42380,"(+/- 2390 )",50698,"(+/- 2626 )",53543,"(+/- 3802 )",58854,"(+/- 2983 )",55055,"(+/- 2126 )",44925,"(+/- 2503 )",23507,"(+/- 1543 )",43747,"(+/- 2453 )",40701,"(+/- 2150 )",45556,"(+/- 2876 )",55518,"(+/- 2609 )",42282,"(+/- 2863 )",44844,"(+/- 3035 )",46272,"(+/- 3013 )",56270,"(+/- 1877 )",59339,"(+/- 2945 )",54934,"(+/- 2580 )",55356,"(+/- 3835 )",61087,"(+/- 1882 )",53142,"(+/- 3248 )",47682,"(+/- 1576 )",44492,"(+/- 3746 )",30200,"(+/- 3216 )",46199,"(+/- 3934 )",40335,"(+/- 3392 )",52131,"(+/- 3301 )",47694,"(+/- 2780 )",47205,"(+/- 3749 )",43317,"(+/- 3720 )",58903,"(+/- 4904 )",42061,"(+/- 2665 )",41717,"(+/- 3185 )",49427,"(+/- 3363 )",48256,"(+/- 3016 )",55574,"(+/- 2969 )",65103,"(+/- 4153 )",63358,"(+/- 4266 )",46457,"(+/- 3834 )",51201,"(+/- 4165 )",49607,"(+/- 3527 )",52875,"(+/- 3679 )",46133,"(+/- 3677 )",40503,"(+/- 3322 )",51958,"(+/- 5290 )",47609,"(+/- 3527 )",51619,"(+/- 3048 )",42634,"(+/- 3459 )",45475,"(+/- 4038 )"
People,"Sex and Age","20 to 24 years",49533,"(+/- 2183 )",37835,"(+/- 2722 )",63539,"(+/- 2674 )",39654,"(+/- 2938 )",46238,"(+/- 2736 )",51633,"(+/- 3026 )",44702,"(+/- 2850 )",51106,"(+/- 4051 )",50625,"(+/- 3147 )",53899,"(+/- 3027 )",46609,"(+/- 2927 )",41553,"(+/- 2269 )",53905,"(+/- 3260 )",44112,"(+/- 2500 )",40078,"(+/- 3121 )",58637,"(+/- 2824 )",41703,"(+/- 4168 )",41354,"(+/- 4291 )",53689,"(+/- 4232 )",62170,"(+/- 1872 )",56384,"(+/- 3338 )",54327,"(+/- 3348 )",48400,"(+/- 3551 )",79749,"(+/- 2303 )",48106,"(+/- 3743 )",51377,"(+/- 1664 )",40641,"(+/- 3966 )",42120,"(+/- 3838 )",53836,"(+/- 4123 )",46641,"(+/- 4284 )",60848,"(+/- 4469 )",56767,"(+/- 4336 )",40625,"(+/- 3848 )",64290,"(+/- 5276 )",63808,"(+/- 4725 )",41355,"(+/- 3450 )",60733,"(+/- 4881 )",52478,"(+/- 3796 )",48524,"(+/- 3901 )",59487,"(+/- 3916 )",67733,"(+/- 4507 )",55209,"(+/- 4176 )",45200,"(+/- 3380 )",58617,"(+/- 4108 )",50904,"(+/- 4023 )",65536,"(+/- 4941 )",53328,"(+/- 3971 )",38036,"(+/- 3266 )",51294,"(+/- 4959 )",47719,"(+/- 4534 )",65872,"(+/- 4306 )",59681,"(+/- 4782 )",58898,"(+/- 5230 )"
People,"Sex and Age","25 to 34 years",88491,"(+/- 2396 )",73771,"(+/- 3301 )",107418,"(+/- 3535 )",78680,"(+/- 3079 )",103174,"(+/- 4097 )",134134,"(+/- 5558 )",105948,"(+/- 5024 )",97751,"(+/- 5349 )",104764,"(+/- 4251 )",107579,"(+/- 2834 )",100584,"(+/- 3838 )",187977,"(+/- 3063 )",136522,"(+/- 4663 )",118095,"(+/- 3524 )",115548,"(+/- 4527 )",115078,"(+/- 3746 )",145164,"(+/- 6664 )",105126,"(+/- 5359 )",111502,"(+/- 5728 )",103112,"(+/- 2229 )",119121,"(+/- 5257 )",108420,"(+/- 4942 )",108811,"(+/- 4617 )",93340,"(+/- 1587 )",97607,"(+/- 5959 )",96778,"(+/- 2250 )",103255,"(+/- 5637 )",138668,"(+/- 6424 )",119163,"(+/- 5963 )",122402,"(+/- 7222 )",126047,"(+/- 6707 )",108497,"(+/- 5758 )",98008,"(+/- 5590 )",146155,"(+/- 6749 )",116144,"(+/- 6786 )",85253,"(+/- 4519 )",139276,"(+/- 7278 )",105784,"(+/- 5684 )",100185,"(+/- 5670 )",122445,"(+/- 5443 )",130002,"(+/- 5670 )",108669,"(+/- 5502 )",121013,"(+/- 7338 )",110021,"(+/- 5988 )",108901,"(+/- 5469 )",128843,"(+/- 5584 )",110603,"(+/- 6047 )",97599,"(+/- 5748 )",88548,"(+/- 5562 )",106463,"(+/- 6533 )",123947,"(+/- 6122 )",142516,"(+/- 8403 )",145323,"(+/- 8526 )"
People,"Sex and Age","35 to 44 years",78597,"(+/- 2890 )",91316,"(+/- 2755 )",90305,"(+/- 3372 )",87833,"(+/- 2671 )",90505,"(+/- 3529 )",104286,"(+/- 4118 )",96249,"(+/- 3792 )",85927,"(+/- 4887 )",98832,"(+/- 4188 )",95322,"(+/- 2883 )",102281,"(+/- 3604 )",124420,"(+/- 2348 )",114075,"(+/- 3617 )",108193,"(+/- 3250 )",119361,"(+/- 4431 )",91388,"(+/- 3416 )",116697,"(+/- 5571 )",97739,"(+/- 5018 )",114118,"(+/- 4547 )",95278,"(+/- 2362 )",95948,"(+/- 4075 )",94077,"(+/- 4135 )",94174,"(+/- 4036 )",81185,"(+/- 1074 )",85833,"(+/- 4439 )",92927,"(+/- 2081 )",94632,"(+/- 5394 )",101384,"(+/- 4126 )",105002,"(+/- 5449 )",108589,"(+/- 6239 )",96152,"(+/- 4879 )",98946,"(+/- 4826 )",92048,"(+/- 5809 )",112760,"(+/- 6357 )",104914,"(+/- 5151 )",87444,"(+/- 4104 )",99846,"(+/- 6236 )",95271,"(+/- 4783 )",97575,"(+/- 4515 )",95536,"(+/- 4674 )",97506,"(+/- 4866 )",111596,"(+/- 5717 )",102218,"(+/- 5658 )",95711,"(+/- 5286 )",105570,"(+/- 5650 )",100481,"(+/- 4290 )",97126,"(+/- 4930 )",85413,"(+/- 4485 )",92607,"(+/- 5610 )",96475,"(+/- 5169 )",95266,"(+/- 4212 )",104093,"(+/- 5142 )",111850,"(+/- 6551 )"
