Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",826995,"(+/- 4639 )",799734,"(+/- 6345 )",749478,"(+/- 4774 )",817251,"(+/- 5536 )",799622,"(+/- 1989 )",814636,"(+/- 7115 )",799438,"(+/- 5982 )"
People,"Sex and Age",Male,414746,"(+/- 3559 )",403643,"(+/- 4653 )",375418,"(+/- 3541 )",413435,"(+/- 3711 )",408616,"(+/- 1356 )",405404,"(+/- 4170 )",398907,"(+/- 4359 )"
People,"Sex and Age",Female,412249,"(+/- 2886 )",396091,"(+/- 4431 )",374060,"(+/- 3785 )",403816,"(+/- 3875 )",391006,"(+/- 2066 )",409232,"(+/- 4590 )",400531,"(+/- 4126 )"
People,"Sex and Age","Under 5 years",51290,"(+/- 1538 )",36861,"(+/- 1771 )",41123,"(+/- 1705 )",52565,"(+/- 1848 )",50629,"(+/- 739 )",49901,"(+/- 2122 )",50224,"(+/- 1798 )"
People,"Sex and Age","5 to 9 years",46382,"(+/- 2092 )",41793,"(+/- 2943 )",44109,"(+/- 2785 )",57223,"(+/- 3112 )",50453,"(+/- 2484 )",55803,"(+/- 3341 )",50502,"(+/- 2876 )"
People,"Sex and Age","10 to 14 years",43210,"(+/- 2537 )",45763,"(+/- 2694 )",49301,"(+/- 2561 )",61975,"(+/- 2941 )",54901,"(+/- 2503 )",63918,"(+/- 3272 )",50653,"(+/- 3226 )"
People,"Sex and Age","15 to 19 years",41602,"(+/- 1414 )",55349,"(+/- 2606 )",49607,"(+/- 2863 )",59379,"(+/- 2450 )",53039,"(+/- 1578 )",51467,"(+/- 2094 )",51137,"(+/- 2035 )"
People,"Sex and Age","20 to 24 years",48545,"(+/- 1434 )",77772,"(+/- 2656 )",43838,"(+/- 3027 )",45457,"(+/- 2289 )",59878,"(+/- 1406 )",48425,"(+/- 2060 )",51012,"(+/- 1963 )"
People,"Sex and Age","25 to 34 years",179196,"(+/- 2089 )",111966,"(+/- 2956 )",95978,"(+/- 3611 )",107520,"(+/- 3002 )",122854,"(+/- 2560 )",119374,"(+/- 3752 )",130282,"(+/- 3262 )"
People,"Sex and Age","35 to 44 years",128646,"(+/- 2126 )",94210,"(+/- 2704 )",92964,"(+/- 2623 )",112287,"(+/- 2926 )",102798,"(+/- 2071 )",118610,"(+/- 3315 )",112641,"(+/- 2632 )"
People,"Sex and Age","45 to 54 years",98761,"(+/- 1961 )",102994,"(+/- 2841 )",91183,"(+/- 2577 )",111983,"(+/- 2778 )",97829,"(+/- 1878 )",111373,"(+/- 2822 )",100633,"(+/- 2912 )"
People,"Sex and Age","55 to 59 years",46843,"(+/- 2910 )",54340,"(+/- 2853 )",55796,"(+/- 2898 )",53398,"(+/- 2790 )",50860,"(+/- 2733 )",52751,"(+/- 3044 )",53640,"(+/- 2825 )"
People,"Sex and Age","60 to 64 years",43019,"(+/- 3151 )",57046,"(+/- 2990 )",52801,"(+/- 2619 )",48212,"(+/- 2774 )",48323,"(+/- 3092 )",45279,"(+/- 2337 )",41979,"(+/- 3131 )"
People,"Sex and Age","65 to 74 years",60346,"(+/- 1695 )",78477,"(+/- 2767 )",82125,"(+/- 1918 )",67138,"(+/- 1921 )",67145,"(+/- 1205 )",62760,"(+/- 1889 )",63353,"(+/- 2223 )"
People,"Sex and Age","75 to 84 years",26691,"(+/- 1911 )",30152,"(+/- 2093 )",37838,"(+/- 1878 )",29046,"(+/- 1591 )",29052,"(+/- 1679 )",24420,"(+/- 1587 )",30992,"(+/- 1885 )"
People,"Sex and Age","85 years and over",12464,"(+/- 1556 )",13011,"(+/- 1638 )",12815,"(+/- 1233 )",11068,"(+/- 1517 )",11861,"(+/- 1663 )",10555,"(+/- 1402 )",12390,"(+/- 1587 )"
People,"Sex and Age","Median age (years)",35.2,"(+/- 0.2 )",38.1,"(+/- 0.5 )",40.3,"(+/- 0.5 )",37.1,"(+/- 0.4 )",35.6,"(+/- 0.2 )",36.5,"(+/- 0.4 )",36.1,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",661204,"(+/- 3487 )",648877,"(+/- 5957 )",586649,"(+/- 3797 )",609011,"(+/- 4594 )",612058,"(+/- 2133 )",611562,"(+/- 5962 )",615434,"(+/- 4671 )"
People,"Sex and Age","65 years and over",99501,"(+/- 2142 )",121640,"(+/- 2979 )",132778,"(+/- 2183 )",107252,"(+/- 2432 )",108058,"(+/- 1300 )",97735,"(+/- 2427 )",106735,"(+/- 2569 )"
People,Race,"Total population",826995,"(+/- 4639 )",799734,"(+/- 6345 )",749478,"(+/- 4774 )",817251,"(+/- 5536 )",799622,"(+/- 1989 )",814636,"(+/- 7115 )",799438,"(+/- 5982 )"
People,Race,"One race",800157,"(+/- 5954 )",777959,"(+/- 7441 )",730343,"(+/- 5296 )",793745,"(+/- 5967 )",755685,"(+/- 4906 )",781474,"(+/- 7251 )",774200,"(+/- 7316 )"
People,Race,White,644168,"(+/- 8856 )",729280,"(+/- 7408 )",663374,"(+/- 6434 )",733800,"(+/- 6512 )",647299,"(+/- 6040 )",600831,"(+/- 8115 )",701743,"(+/- 8068 )"
