Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,961939,(*****)
People,Sex and Age,Male,465510,(+/- 1455 )
People,Sex and Age,Female,496429,(+/- 1455 )
People,Sex and Age,Under 5 years,54907,(+/- 341 )
People,Sex and Age,5 to 9 years,56924,(+/- 2646 )
People,Sex and Age,10 to 14 years,57597,(+/- 2666 )
People,Sex and Age,15 to 19 years,59926,(+/- 1445 )
People,Sex and Age,20 to 24 years,58899,(+/- 1739 )
People,Sex and Age,25 to 34 years,130949,(+/- 2190 )
People,Sex and Age,35 to 44 years,111068,(+/- 1834 )
People,Sex and Age,45 to 54 years,124532,(+/- 1461 )
People,Sex and Age,55 to 59 years,67129,(+/- 2945 )
People,Sex and Age,60 to 64 years,66791,(+/- 2962 )
People,Sex and Age,65 to 74 years,104358,(+/- 830 )
People,Sex and Age,75 to 84 years,49955,(+/- 1738 )
People,Sex and Age,85 years and over,18904,(+/- 1791 )
People,Sex and Age,Median age (years),40.1,(+/- 0.3 )
People,Sex and Age,18 years and over,757626,(+/- 386 )
People,Sex and Age,65 years and over,173217,(+/- 766 )
People,Race,Total population,961939,(*****)
People,Race,One race,932715,(+/- 3620 )
People,Race,White,662084,(+/- 4020 )
People,Race,Black or African American,210356,(+/- 3797 )
People,Race,American Indian and Alaska Native,2729,(+/- 778 )
People,Race,Asian,38930,(+/- 1658 )
People,Race,Native Hawaiian and Other Pacific Islander,244,(+/- 214 )
People,Race,Some other race,18372,(+/- 3423 )
People,Race,Two or more races,29224,(+/- 3620 )
People,Hispanic or Latino and Race,Total population,961939,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),89540,(*****)
People,Hispanic or Latino and Race,Mexican,40024,(+/- 4404 )
People,Hispanic or Latino and Race,Puerto Rican,23514,(+/- 3595 )
People,Hispanic or Latino and Race,Cuban,1187,(+/- 609 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,24815,(+/- 4139 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,872399,(*****)
People,Place of Birth,Total population,961939,(*****)
People,Place of Birth,Native,863446,(+/- 6244 )
People,Place of Birth,Born in United States,848337,(+/- 6010 )
People,Place of Birth,State of residence,415536,(+/- 10605 )
People,Place of Birth,Different state,432801,(+/- 10638 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",15109,(+/- 2567 )
People,Place of Birth,Foreign born,98493,(+/- 6244 )
People,Ancestry,Total population,961939,(*****)
People,Ancestry,American,139091,(+/- 10594 )
People,Ancestry,Arab,3630,(+/- 2005 )
People,Ancestry,Czech,1969,(+/- 721 )
People,Ancestry,Danish,1537,(+/- 654 )
People,Ancestry,Dutch,8829,(+/- 1897 )
People,Ancestry,English,80062,(+/- 5709 )
People,Ancestry,French (except Basque),13457,(+/- 2117 )
People,Ancestry,French Canadian,3566,(+/- 1335 )
People,Ancestry,German,108619,(+/- 6660 )
People,Ancestry,Greek,5271,(+/- 1962 )
People,Ancestry,Hungarian,4544,(+/- 1078 )
People,Ancestry,Irish,131890,(+/- 7466 )
People,Ancestry,Italian,80668,(+/- 6225 )
People,Ancestry,Lithuanian,2416,(+/- 987 )
People,Ancestry,Norwegian,3483,(+/- 1041 )
People,Ancestry,Polish,39788,(+/- 3510 )
People,Ancestry,Portuguese,1081,(+/- 637 )
People,Ancestry,Russian,8613,(+/- 2186 )
People,Ancestry,Scotch-Irish,6372,(+/- 1404 )
People,Ancestry,Scottish,14390,(+/- 2055 )
People,Ancestry,Slovak,1783,(+/- 778 )
People,Ancestry,Subsaharan African,16697,(+/- 4203 )
People,Ancestry,Swedish,6584,(+/- 1742 )
People,Ancestry,Swiss,2127,(+/- 553 )
People,Ancestry,Ukrainian,6883,(+/- 2156 )
People,Ancestry,Welsh,8047,(+/- 2050 )
People,Ancestry,West Indian (excluding Hispanic origin groups),16254,(+/- 4775 )
People,Veteran Status,Civilian population 18 years and over,754546,(+/- 1051 )
People,Veteran Status,Civilian veterans,64027,(+/- 3686 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,947259,(+/- 967 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,107763,(+/- 5468 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,203908,(+/- 393 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6187,(+/- 1240 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,574220,(+/- 1361 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,52947,(+/- 3970 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,169131,(+/- 788 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,48629,(+/- 2727 )
People,Residence 1 Year Ago,Population 1 year and over,952449,(+/- 1698 )
People,Residence 1 Year Ago,Same house,830905,(+/- 8792 )
People,Residence 1 Year Ago,Different house in the U.S.,117530,(+/- 8198 )
People,Residence 1 Year Ago,Same county,68559,(+/- 6552 )
People,Residence 1 Year Ago,Different county,48971,(+/- 5099 )
People,Residence 1 Year Ago,Same state,10439,(+/- 3028 )
People,Residence 1 Year Ago,Different state,38532,(+/- 4552 )
People,Residence 1 Year Ago,Abroad,4014,(+/- 1272 )
Workers,Employment Status,Population 16 years and over,781963,(+/- 1680 )
Workers,Employment Status,In labor force,463756,(+/- 6371 )
Workers,Employment Status,Civilian labor force,460676,(+/- 6448 )
Workers,Employment Status,Employed,436376,(+/- 6831 )
Workers,Employment Status,Unemployed,24300,(+/- 3055 )
Workers,Employment Status,Armed Forces,3080,(+/- 967 )
Workers,Employment Status,Not in labor force,318207,(+/- 6362 )
Workers,Employment Status,Civilian labor force,460676,(+/- 6448 )
Workers,Employment Status,Unemployment Rate,5.3,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,430780,(+/- 6838 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",353445,(+/- 7749 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",30680,(+/- 3402 )
Workers,Commuting to Work,Public transportation (excluding taxicab),9598,(+/- 1594 )
Workers,Commuting to Work,Walked,9566,(+/- 1521 )
Workers,Commuting to Work,Other means,5264,(+/- 1415 )
Workers,Commuting to Work,Worked at home,22227,(+/- 2459 )
Workers,Commuting to Work,Mean travel time to work (minutes),26.5,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,436376,(+/- 6831 )
Workers,Occupation,"Management, business, science, and arts occupations",177418,(+/- 6347 )
Workers,Occupation,Service occupations,69096,(+/- 4671 )
Workers,Occupation,Sales and office occupations,102606,(+/- 5429 )
