Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",770361,"(+/- 1368 )",731845,"(+/- 8922 )",739130,"(+/- 6790 )",800494,"(+/- 12546 )",729175,"(+/- 12994 )",764500,"(+/- 7666 )",772969,"(+/- 13331 )",756993,"(+/- 3668 )",868945,"(+/- 16961 )",830014,"(+/- 17178 )",770114,"(+/- 12787 )",779151,"(+/- 8774 )",730650,"(+/- 8565 )",776940,"(+/- 12821 )",804652,"(+/- 18994 )",814209,"(+/- 12942 )",778091,"(+/- 10689 )",772184,"(+/- 9723 )",814074,"(+/- 10107 )",776092,"(+/- 15636 )",788240,"(+/- 12023 )",757352,"(+/- 9766 )",753950,"(+/- 8787 )",770480,"(+/- 17470 )",780826,"(+/- 16644 )",797160,"(+/- 16602 )",755809,"(+/- 17189 )"
People,"Sex and Age",Male,388428,"(+/- 2047 )",373855,"(+/- 6298 )",365064,"(+/- 3964 )",393207,"(+/- 8567 )",354135,"(+/- 8381 )",373004,"(+/- 4674 )",376359,"(+/- 8164 )",367322,"(+/- 2301 )",426500,"(+/- 9254 )",406553,"(+/- 9088 )",368664,"(+/- 7290 )",377591,"(+/- 5695 )",350558,"(+/- 5511 )",380635,"(+/- 7085 )",390256,"(+/- 10113 )",395931,"(+/- 7320 )",383937,"(+/- 7736 )",374656,"(+/- 6305 )",395125,"(+/- 5889 )",379149,"(+/- 9796 )",382985,"(+/- 7104 )",375372,"(+/- 8116 )",360584,"(+/- 5448 )",375065,"(+/- 11045 )",382632,"(+/- 9764 )",392017,"(+/- 9205 )",364683,"(+/- 11308 )"
People,"Sex and Age",Female,381933,"(+/- 1904 )",357990,"(+/- 5763 )",374066,"(+/- 4809 )",407287,"(+/- 6583 )",375040,"(+/- 7359 )",391496,"(+/- 4274 )",396610,"(+/- 8030 )",389671,"(+/- 2771 )",442445,"(+/- 10576 )",423461,"(+/- 10883 )",401450,"(+/- 7570 )",401560,"(+/- 5463 )",380092,"(+/- 5231 )",396305,"(+/- 8825 )",414396,"(+/- 12441 )",418278,"(+/- 7431 )",394154,"(+/- 6495 )",397528,"(+/- 7282 )",418949,"(+/- 6190 )",396943,"(+/- 9946 )",405255,"(+/- 8321 )",381980,"(+/- 6855 )",393366,"(+/- 7699 )",395415,"(+/- 10712 )",398194,"(+/- 10688 )",405143,"(+/- 12008 )",391126,"(+/- 8930 )"
People,"Sex and Age","Under 5 years",45743,"(+/- 989 )",37518,"(+/- 2348 )",40390,"(+/- 2238 )",46698,"(+/- 3025 )",44917,"(+/- 2749 )",33504,"(+/- 1592 )",39788,"(+/- 2373 )",35089,"(+/- 1221 )",53003,"(+/- 3524 )",55844,"(+/- 3036 )",30647,"(+/- 2777 )",38435,"(+/- 1638 )",33068,"(+/- 1486 )",46122,"(+/- 3142 )",51335,"(+/- 4419 )",41191,"(+/- 3003 )",34834,"(+/- 2702 )",35106,"(+/- 1993 )",33917,"(+/- 2129 )",56212,"(+/- 4779 )",40984,"(+/- 3042 )",33900,"(+/- 3618 )",42195,"(+/- 3499 )",52141,"(+/- 4046 )",41355,"(+/- 3951 )",42807,"(+/- 3749 )",42579,"(+/- 3825 )"
People,"Sex and Age","5 to 9 years",48126,"(+/- 3148 )",41037,"(+/- 3111 )",40830,"(+/- 3047 )",47713,"(+/- 4256 )",50833,"(+/- 4182 )",36557,"(+/- 2963 )",41711,"(+/- 3382 )",34066,"(+/- 3059 )",51347,"(+/- 4216 )",53087,"(+/- 4097 )",29159,"(+/- 3188 )",38719,"(+/- 2922 )",34421,"(+/- 3286 )",44921,"(+/- 3186 )",51981,"(+/- 5208 )",43741,"(+/- 3403 )",35881,"(+/- 2931 )",39487,"(+/- 3458 )",35326,"(+/- 2425 )",47774,"(+/- 4706 )",43045,"(+/- 3825 )",36283,"(+/- 3894 )",43914,"(+/- 3499 )",46536,"(+/- 4212 )",42929,"(+/- 4009 )",45500,"(+/- 4619 )",35593,"(+/- 3657 )"
People,"Sex and Age","10 to 14 years",43847,"(+/- 3173 )",42132,"(+/- 3197 )",43914,"(+/- 2807 )",44133,"(+/- 3351 )",45903,"(+/- 3955 )",38363,"(+/- 3179 )",43313,"(+/- 3197 )",41425,"(+/- 3191 )",61583,"(+/- 5254 )",56636,"(+/- 4102 )",37324,"(+/- 4073 )",43990,"(+/- 2650 )",33318,"(+/- 3022 )",43606,"(+/- 3456 )",55514,"(+/- 3879 )",47447,"(+/- 3292 )",42308,"(+/- 3773 )",44019,"(+/- 3671 )",40781,"(+/- 2895 )",50504,"(+/- 4285 )",38198,"(+/- 3301 )",42185,"(+/- 3313 )",44467,"(+/- 3743 )",50991,"(+/- 3765 )",42262,"(+/- 3347 )",45828,"(+/- 3817 )",36372,"(+/- 3261 )"
People,"Sex and Age","15 to 19 years",48847,"(+/- 2100 )",49705,"(+/- 3573 )",52669,"(+/- 2621 )",45867,"(+/- 2299 )",48730,"(+/- 2745 )",42866,"(+/- 2244 )",55118,"(+/- 2684 )",42793,"(+/- 2127 )",59120,"(+/- 3762 )",49775,"(+/- 3016 )",38760,"(+/- 3207 )",44042,"(+/- 1692 )",32691,"(+/- 1999 )",50454,"(+/- 2800 )",51721,"(+/- 3768 )",42343,"(+/- 2567 )",37805,"(+/- 2952 )",43642,"(+/- 2806 )",38302,"(+/- 2079 )",48294,"(+/- 3961 )",41814,"(+/- 2673 )",39256,"(+/- 3315 )",47242,"(+/- 3534 )",45894,"(+/- 3076 )",39623,"(+/- 2692 )",51582,"(+/- 3835 )",39122,"(+/- 3427 )"
People,"Sex and Age","20 to 24 years",53869,"(+/- 1938 )",46556,"(+/- 4218 )",65186,"(+/- 2935 )",49047,"(+/- 3629 )",68469,"(+/- 4619 )",40330,"(+/- 2028 )",60828,"(+/- 3954 )",40175,"(+/- 2100 )",55195,"(+/- 4430 )",59456,"(+/- 4038 )",31063,"(+/- 2807 )",37924,"(+/- 2451 )",36385,"(+/- 2258 )",58583,"(+/- 2908 )",49658,"(+/- 4382 )",35251,"(+/- 2860 )",32724,"(+/- 3100 )",39753,"(+/- 3542 )",38853,"(+/- 2701 )",51848,"(+/- 4702 )",38114,"(+/- 3169 )",38559,"(+/- 3990 )",44120,"(+/- 4214 )",46779,"(+/- 4175 )",47769,"(+/- 3702 )",58783,"(+/- 4986 )",40667,"(+/- 3741 )"
People,"Sex and Age","25 to 34 years",109178,"(+/- 2127 )",86271,"(+/- 3738 )",99619,"(+/- 3732 )",116774,"(+/- 5161 )",115804,"(+/- 5629 )",83272,"(+/- 2679 )",124195,"(+/- 4459 )",78470,"(+/- 2156 )",117737,"(+/- 5892 )",140047,"(+/- 5796 )",62718,"(+/- 4646 )",80553,"(+/- 3074 )",96093,"(+/- 2756 )",122614,"(+/- 4921 )",111839,"(+/- 5902 )",87190,"(+/- 4462 )",75063,"(+/- 3695 )",76997,"(+/- 4171 )",80640,"(+/- 3724 )",113785,"(+/- 6718 )",94723,"(+/- 5341 )",95686,"(+/- 6176 )",92736,"(+/- 5890 )",119147,"(+/- 6931 )",103642,"(+/- 6607 )",111634,"(+/- 6866 )",111410,"(+/- 6702 )"
People,"Sex and Age","35 to 44 years",89798,"(+/- 2637 )",89019,"(+/- 3584 )",87637,"(+/- 4282 )",99185,"(+/- 3721 )",91866,"(+/- 3779 )",80217,"(+/- 3015 )",103684,"(+/- 4432 )",75243,"(+/- 2095 )",119014,"(+/- 5863 )",115471,"(+/- 5650 )",65911,"(+/- 3711 )",89279,"(+/- 2861 )",80800,"(+/- 2652 )",102350,"(+/- 4646 )",109872,"(+/- 6810 )",89727,"(+/- 4257 )",74008,"(+/- 4272 )",83465,"(+/- 4605 )",83052,"(+/- 3534 )",108560,"(+/- 5620 )",89013,"(+/- 4076 )",91815,"(+/- 5424 )",97895,"(+/- 4705 )",110021,"(+/- 6146 )",94436,"(+/- 5580 )",110741,"(+/- 6079 )",103688,"(+/- 5081 )"
