Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",747334,"(+/- 4518 )",674100,"(+/- 6343 )",738066,"(+/- 9278 )",765854,"(+/- 17030 )",784370,"(+/- 14210 )",756389,"(+/- 12719 )",807492,"(+/- 15520 )",702262,"(+/- 5117 )",755181,"(+/- 6129 )",736838,"(+/- 12848 )",768968,"(+/- 11831 )",722937,"(+/- 5230 )",752631,"(+/- 17839 )",716957,"(+/- 2972 )"
People,"Sex and Age",Male,366870,"(+/- 3841 )",326675,"(+/- 4025 )",361009,"(+/- 5820 )",359766,"(+/- 9997 )",377807,"(+/- 10283 )",368742,"(+/- 8502 )",397701,"(+/- 8333 )",346980,"(+/- 4292 )",372640,"(+/- 4784 )",359344,"(+/- 8525 )",377773,"(+/- 6813 )",355914,"(+/- 4089 )",353722,"(+/- 10196 )",345778,"(+/- 2822 )"
People,"Sex and Age",Female,380464,"(+/- 3260 )",347425,"(+/- 4435 )",377057,"(+/- 6506 )",406088,"(+/- 10320 )",406563,"(+/- 9149 )",387647,"(+/- 8552 )",409791,"(+/- 9324 )",355282,"(+/- 4016 )",382541,"(+/- 4048 )",377494,"(+/- 6917 )",391195,"(+/- 7826 )",367023,"(+/- 3762 )",398909,"(+/- 10494 )",371179,"(+/- 3078 )"
People,"Sex and Age","Under 5 years",50920,"(+/- 1690 )",44291,"(+/- 2036 )",42705,"(+/- 2548 )",51573,"(+/- 2880 )",49354,"(+/- 3695 )",46152,"(+/- 3239 )",54761,"(+/- 2319 )",44845,"(+/- 2374 )",42814,"(+/- 1905 )",40540,"(+/- 2816 )",42981,"(+/- 2395 )",45767,"(+/- 1634 )",53599,"(+/- 4119 )",44921,"(+/- 1762 )"
People,"Sex and Age","5 to 9 years",49354,"(+/- 3561 )",45638,"(+/- 3154 )",44686,"(+/- 3059 )",53204,"(+/- 4046 )",46695,"(+/- 4100 )",49540,"(+/- 4686 )",60471,"(+/- 4046 )",44622,"(+/- 2895 )",43473,"(+/- 3660 )",51183,"(+/- 4200 )",46984,"(+/- 3650 )",50728,"(+/- 3885 )",55270,"(+/- 5251 )",46775,"(+/- 3430 )"
People,"Sex and Age","10 to 14 years",48792,"(+/- 3538 )",46110,"(+/- 3109 )",56038,"(+/- 3370 )",56095,"(+/- 4317 )",43206,"(+/- 4362 )",54189,"(+/- 3481 )",64660,"(+/- 4016 )",50023,"(+/- 3385 )",52933,"(+/- 3225 )",51832,"(+/- 4149 )",54463,"(+/- 3818 )",46563,"(+/- 3330 )",57245,"(+/- 5173 )",53660,"(+/- 3452 )"
People,"Sex and Age","15 to 19 years",48948,"(+/- 3063 )",52374,"(+/- 2999 )",52508,"(+/- 2902 )",53401,"(+/- 3864 )",53336,"(+/- 3170 )",46750,"(+/- 3739 )",58621,"(+/- 3310 )",51253,"(+/- 3306 )",53719,"(+/- 2756 )",61522,"(+/- 4092 )",55089,"(+/- 3224 )",54792,"(+/- 3442 )",51998,"(+/- 3844 )",49411,"(+/- 2893 )"
People,"Sex and Age","20 to 24 years",56468,"(+/- 2552 )",45074,"(+/- 2708 )",47853,"(+/- 3150 )",48740,"(+/- 3913 )",73043,"(+/- 4799 )",37296,"(+/- 3108 )",48882,"(+/- 3011 )",46576,"(+/- 2619 )",45165,"(+/- 2702 )",58817,"(+/- 3903 )",52218,"(+/- 3277 )",58919,"(+/- 3378 )",44163,"(+/- 4063 )",46762,"(+/- 3061 )"
People,"Sex and Age","25 to 34 years",113211,"(+/- 3748 )",93106,"(+/- 4413 )",87782,"(+/- 4306 )",103914,"(+/- 5009 )",150732,"(+/- 6470 )",108048,"(+/- 6575 )",101871,"(+/- 3722 )",90560,"(+/- 3725 )",81708,"(+/- 2431 )",90735,"(+/- 3740 )",112094,"(+/- 4482 )",96449,"(+/- 3927 )",101975,"(+/- 6085 )",89181,"(+/- 3331 )"
People,"Sex and Age","35 to 44 years",90522,"(+/- 3220 )",79637,"(+/- 3370 )",95968,"(+/- 4351 )",106510,"(+/- 5121 )",103752,"(+/- 5194 )",108325,"(+/- 5635 )",127696,"(+/- 4185 )",90734,"(+/- 3429 )",91130,"(+/- 2835 )",87358,"(+/- 3884 )",107366,"(+/- 3844 )",87800,"(+/- 3371 )",111814,"(+/- 6169 )",95524,"(+/- 3246 )"
People,"Sex and Age","45 to 54 years",93252,"(+/- 3481 )",79568,"(+/- 2844 )",106638,"(+/- 3271 )",104896,"(+/- 4773 )",98794,"(+/- 4493 )",114573,"(+/- 5077 )",123655,"(+/- 4415 )",89489,"(+/- 3749 )",105019,"(+/- 3329 )",97820,"(+/- 4096 )",113241,"(+/- 4099 )",89654,"(+/- 2975 )",103233,"(+/- 5499 )",98457,"(+/- 2616 )"
People,"Sex and Age","55 to 59 years",48544,"(+/- 2389 )",45863,"(+/- 2793 )",51284,"(+/- 2848 )",53856,"(+/- 4076 )",39714,"(+/- 3368 )",48985,"(+/- 3271 )",45908,"(+/- 3606 )",45516,"(+/- 2554 )",54109,"(+/- 3009 )",46963,"(+/- 3870 )",51759,"(+/- 3439 )",46602,"(+/- 3460 )",47553,"(+/- 4492 )",45265,"(+/- 2536 )"
People,"Sex and Age","60 to 64 years",41163,"(+/- 2578 )",42162,"(+/- 2479 )",44324,"(+/- 3137 )",45740,"(+/- 3446 )",38560,"(+/- 2840 )",48382,"(+/- 3252 )",38560,"(+/- 2778 )",41438,"(+/- 2428 )",47409,"(+/- 3138 )",42205,"(+/- 2531 )",40806,"(+/- 3317 )",43485,"(+/- 2864 )",40795,"(+/- 3966 )",43435,"(+/- 2344 )"
People,"Sex and Age","65 to 74 years",65795,"(+/- 1590 )",59800,"(+/- 2080 )",66157,"(+/- 2568 )",56820,"(+/- 3124 )",54124,"(+/- 3819 )",59673,"(+/- 3551 )",51795,"(+/- 2017 )",63894,"(+/- 2459 )",83484,"(+/- 2000 )",68769,"(+/- 2921 )",58759,"(+/- 2460 )",61931,"(+/- 1395 )",56407,"(+/- 3719 )",63061,"(+/- 1326 )"
People,"Sex and Age","75 to 84 years",29131,"(+/- 1672 )",30404,"(+/- 1963 )",30612,"(+/- 2234 )",22554,"(+/- 2084 )",23330,"(+/- 2136 )",24732,"(+/- 2302 )",24677,"(+/- 1812 )",32406,"(+/- 1722 )",41174,"(+/- 1895 )",30545,"(+/- 2236 )",24306,"(+/- 2043 )",30693,"(+/- 1537 )",21048,"(+/- 2550 )",30057,"(+/- 1542 )"
People,"Sex and Age","85 years and over",11234,"(+/- 1470 )",10073,"(+/- 1408 )",11511,"(+/- 1667 )",8551,"(+/- 1578 )",9730,"(+/- 1822 )",9744,"(+/- 1611 )",5935,"(+/- 1121 )",10906,"(+/- 1508 )",13044,"(+/- 1798 )",8549,"(+/- 1339 )",8902,"(+/- 1524 )",9554,"(+/- 1376 )",7531,"(+/- 1630 )",10448,"(+/- 1591 )"
