Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",714328,"(+/- 9864 )",713210,"(+/- 9864 )"
People,"Sex and Age",Male,355474,"(+/- 5297 )",360876,"(+/- 5265 )"
People,"Sex and Age",Female,358854,"(+/- 5780 )",352334,"(+/- 5933 )"
People,"Sex and Age","Under 5 years",42515,"(+/- 2511 )",47058,"(+/- 2521 )"
People,"Sex and Age","5 to 9 years",38632,"(+/- 2706 )",47449,"(+/- 2926 )"
People,"Sex and Age","10 to 14 years",38645,"(+/- 2871 )",45419,"(+/- 2906 )"
People,"Sex and Age","15 to 19 years",35103,"(+/- 1828 )",41541,"(+/- 2241 )"
People,"Sex and Age","20 to 24 years",46316,"(+/- 2197 )",47116,"(+/- 2781 )"
People,"Sex and Age","25 to 34 years",109250,"(+/- 3654 )",96814,"(+/- 4133 )"
People,"Sex and Age","35 to 44 years",91772,"(+/- 3015 )",90065,"(+/- 3184 )"
People,"Sex and Age","45 to 54 years",91632,"(+/- 2595 )",81976,"(+/- 2840 )"
People,"Sex and Age","55 to 59 years",46842,"(+/- 2671 )",47359,"(+/- 2700 )"
People,"Sex and Age","60 to 64 years",41967,"(+/- 2629 )",46317,"(+/- 3054 )"
People,"Sex and Age","65 to 74 years",71397,"(+/- 1763 )",73464,"(+/- 2153 )"
People,"Sex and Age","75 to 84 years",37026,"(+/- 2066 )",35336,"(+/- 2084 )"
People,"Sex and Age","85 years and over",23231,"(+/- 1515 )",13296,"(+/- 1531 )"
People,"Sex and Age","Median age (years)",39.7,"(+/- 0.6 )",38.6,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",573743,"(+/- 6945 )",547798,"(+/- 6983 )"
People,"Sex and Age","65 years and over",131654,"(+/- 2544 )",122096,"(+/- 2526 )"
People,Race,"Total population",714328,"(+/- 9864 )",713210,"(+/- 9864 )"
People,Race,"One race",565393,"(+/- 11359 )",530153,"(+/- 12738 )"
People,Race,White,126170,"(+/- 4914 )",230943,"(+/- 5842 )"
People,Race,"Black or African American",13089,"(+/- 2298 )",10297,"(+/- 2439 )"
People,Race,"American Indian and Alaska Native",971,"(+/- 466 )",1690,"(+/- 732 )"
People,Race,Asian,364719,"(+/- 9517 )",180920,"(+/- 8753 )"
People,Race,"Native Hawaiian and Other Pacific Islander",50874,"(+/- 5746 )",94397,"(+/- 8000 )"
