Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",720977,"(+/- 16549 )",702756,"(+/- 14920 )",725538,"(+/- 18639 )",700585,"(+/- 20236 )",729300,"(+/- 16178 )",720542,"(+/- 12939 )",697263,"(+/- 17219 )",713012,"(+/- 11244 )",732614,"(+/- 14773 )",714681,"(+/- 6978 )",721823,"(+/- 10333 )",695178,"(+/- 3368 )",698295,"(+/- 7414 )",746748,"(+/- 9443 )",701482,"(+/- 6537 )",690420,"(+/- 6908 )",689744,"(+/- 7867 )",701065,"(+/- 7076 )"
People,"Sex and Age",Male,334666,"(+/- 9878 )",328480,"(+/- 9673 )",363914,"(+/- 10838 )",351417,"(+/- 10641 )",362342,"(+/- 9600 )",354189,"(+/- 7424 )",333945,"(+/- 9459 )",356194,"(+/- 7750 )",358751,"(+/- 9163 )",355680,"(+/- 5746 )",358576,"(+/- 7448 )",345578,"(+/- 2483 )",346367,"(+/- 4552 )",367935,"(+/- 6451 )",350898,"(+/- 4057 )",342053,"(+/- 4329 )",340064,"(+/- 4977 )",343851,"(+/- 4836 )"
People,"Sex and Age",Female,386311,"(+/- 10181 )",374276,"(+/- 9002 )",361624,"(+/- 10559 )",349168,"(+/- 12566 )",366958,"(+/- 9771 )",366353,"(+/- 7691 )",363318,"(+/- 11216 )",356818,"(+/- 7426 )",373863,"(+/- 9522 )",359001,"(+/- 4237 )",363247,"(+/- 5774 )",349600,"(+/- 2663 )",351928,"(+/- 4718 )",378813,"(+/- 6507 )",350584,"(+/- 4419 )",348367,"(+/- 3958 )",349680,"(+/- 4443 )",357214,"(+/- 4783 )"
People,"Sex and Age","Under 5 years",41589,"(+/- 3885 )",41039,"(+/- 4326 )",51863,"(+/- 3964 )",46052,"(+/- 3828 )",39820,"(+/- 3595 )",41592,"(+/- 3453 )",43198,"(+/- 3761 )",45669,"(+/- 2898 )",44921,"(+/- 4197 )",43523,"(+/- 2982 )",44713,"(+/- 3085 )",41498,"(+/- 1396 )",37057,"(+/- 1903 )",41857,"(+/- 3139 )",41893,"(+/- 1493 )",38346,"(+/- 1901 )",42120,"(+/- 2129 )",40598,"(+/- 2073 )"
People,"Sex and Age","5 to 9 years",43005,"(+/- 3985 )",45231,"(+/- 3783 )",44774,"(+/- 4500 )",47005,"(+/- 3741 )",35639,"(+/- 3473 )",46107,"(+/- 3300 )",37143,"(+/- 4081 )",42763,"(+/- 3529 )",41580,"(+/- 3079 )",46146,"(+/- 3209 )",49151,"(+/- 3041 )",42262,"(+/- 2623 )",36940,"(+/- 2577 )",50991,"(+/- 3805 )",43535,"(+/- 2821 )",38733,"(+/- 2085 )",40903,"(+/- 2775 )",45474,"(+/- 2871 )"
People,"Sex and Age","10 to 14 years",50497,"(+/- 4633 )",52662,"(+/- 3735 )",54942,"(+/- 4190 )",49119,"(+/- 4403 )",35170,"(+/- 3724 )",51189,"(+/- 3686 )",33786,"(+/- 3325 )",47266,"(+/- 3901 )",39880,"(+/- 3641 )",49866,"(+/- 4020 )",56766,"(+/- 3847 )",43598,"(+/- 2547 )",40674,"(+/- 2593 )",57858,"(+/- 3814 )",46426,"(+/- 2512 )",45722,"(+/- 2261 )",45060,"(+/- 2499 )",43735,"(+/- 2845 )"
People,"Sex and Age","15 to 19 years",48164,"(+/- 3961 )",50622,"(+/- 3417 )",45364,"(+/- 3568 )",46851,"(+/- 3378 )",34808,"(+/- 2974 )",49478,"(+/- 3063 )",41775,"(+/- 3429 )",44075,"(+/- 3464 )",42433,"(+/- 4101 )",54813,"(+/- 3081 )",50768,"(+/- 3152 )",45015,"(+/- 2305 )",56319,"(+/- 2743 )",55729,"(+/- 3062 )",42962,"(+/- 1977 )",46317,"(+/- 2236 )",45714,"(+/- 2415 )",44266,"(+/- 2320 )"
People,"Sex and Age","20 to 24 years",49498,"(+/- 4199 )",50109,"(+/- 4413 )",40430,"(+/- 3380 )",48913,"(+/- 3816 )",53413,"(+/- 4246 )",37801,"(+/- 3228 )",55372,"(+/- 4863 )",44948,"(+/- 3863 )",45662,"(+/- 4591 )",47022,"(+/- 2477 )",46342,"(+/- 3662 )",43850,"(+/- 2201 )",76985,"(+/- 2823 )",45426,"(+/- 3477 )",42760,"(+/- 1830 )",47356,"(+/- 2481 )",41857,"(+/- 2308 )",42803,"(+/- 2771 )"
People,"Sex and Age","25 to 34 years",94856,"(+/- 5336 )",83760,"(+/- 5228 )",94509,"(+/- 5687 )",128675,"(+/- 6031 )",158084,"(+/- 7024 )",85480,"(+/- 4693 )",141995,"(+/- 7066 )",103988,"(+/- 5380 )",101859,"(+/- 5209 )",86509,"(+/- 3721 )",93523,"(+/- 5222 )",91001,"(+/- 2636 )",85927,"(+/- 2942 )",79934,"(+/- 4723 )",84563,"(+/- 2454 )",84221,"(+/- 2862 )",83134,"(+/- 2687 )",83411,"(+/- 2837 )"
People,"Sex and Age","35 to 44 years",82160,"(+/- 4712 )",85854,"(+/- 4531 )",99325,"(+/- 5469 )",107997,"(+/- 5472 )",106983,"(+/- 5269 )",88818,"(+/- 4652 )",93062,"(+/- 5464 )",99141,"(+/- 5081 )",94344,"(+/- 5268 )",86950,"(+/- 3095 )",105046,"(+/- 4694 )",84587,"(+/- 2113 )",81558,"(+/- 3030 )",99931,"(+/- 4313 )",83198,"(+/- 2374 )",81827,"(+/- 2647 )",79944,"(+/- 2136 )",86415,"(+/- 3096 )"
People,"Sex and Age","45 to 54 years",93134,"(+/- 4995 )",95941,"(+/- 4847 )",92683,"(+/- 5520 )",87587,"(+/- 4764 )",88236,"(+/- 4996 )",109593,"(+/- 4587 )",82942,"(+/- 4659 )",94769,"(+/- 5637 )",101598,"(+/- 4880 )",97177,"(+/- 3482 )",99939,"(+/- 3995 )",89995,"(+/- 2014 )",80320,"(+/- 2780 )",112175,"(+/- 4192 )",87426,"(+/- 2132 )",90776,"(+/- 2105 )",86332,"(+/- 2606 )",87641,"(+/- 2791 )"
People,"Sex and Age","55 to 59 years",56695,"(+/- 4025 )",46462,"(+/- 3635 )",51438,"(+/- 3860 )",39237,"(+/- 3496 )",40123,"(+/- 2941 )",55231,"(+/- 3905 )",38930,"(+/- 3176 )",47003,"(+/- 3686 )",48813,"(+/- 3253 )",50997,"(+/- 3100 )",46406,"(+/- 3193 )",50980,"(+/- 2567 )",44770,"(+/- 2532 )",54883,"(+/- 3460 )",50639,"(+/- 2257 )",48833,"(+/- 2537 )",47437,"(+/- 3009 )",49570,"(+/- 2727 )"
People,"Sex and Age","60 to 64 years",48396,"(+/- 3576 )",45436,"(+/- 3043 )",45643,"(+/- 3174 )",33892,"(+/- 2874 )",39701,"(+/- 3145 )",47614,"(+/- 3349 )",35135,"(+/- 3378 )",42969,"(+/- 3946 )",45478,"(+/- 3622 )",45749,"(+/- 2624 )",38556,"(+/- 2651 )",46341,"(+/- 2725 )",44041,"(+/- 3288 )",46854,"(+/- 3482 )",48784,"(+/- 2319 )",47025,"(+/- 2372 )",50050,"(+/- 3275 )",48518,"(+/- 2419 )"
People,"Sex and Age","65 to 74 years",66381,"(+/- 3385 )",62182,"(+/- 3485 )",59711,"(+/- 3900 )",40018,"(+/- 3092 )",54260,"(+/- 3424 )",64541,"(+/- 3762 )",55278,"(+/- 3658 )",60078,"(+/- 3407 )",68054,"(+/- 3976 )",59037,"(+/- 2662 )",56603,"(+/- 3819 )",67407,"(+/- 2042 )",64269,"(+/- 2498 )",62271,"(+/- 3353 )",71732,"(+/- 1646 )",68884,"(+/- 1688 )",71547,"(+/- 1819 )",71371,"(+/- 2155 )"
People,"Sex and Age","75 to 84 years",32473,"(+/- 3008 )",30523,"(+/- 2440 )",31153,"(+/- 2726 )",18704,"(+/- 1833 )",31324,"(+/- 3082 )",30362,"(+/- 2487 )",28476,"(+/- 2683 )",28975,"(+/- 2879 )",36602,"(+/- 2995 )",33362,"(+/- 2593 )",24335,"(+/- 2128 )",34293,"(+/- 1837 )",33015,"(+/- 2420 )",28457,"(+/- 2589 )",40512,"(+/- 1678 )",35047,"(+/- 1949 )",36670,"(+/- 1941 )",40783,"(+/- 2129 )"
People,"Sex and Age","85 years and over",14129,"(+/- 1502 )",12935,"(+/- 1404 )",13703,"(+/- 1785 )",6535,"(+/- 1267 )",11739,"(+/- 1759 )",12736,"(+/- 1814 )",10171,"(+/- 1510 )",11368,"(+/- 1443 )",21390,"(+/- 2181 )",13530,"(+/- 1765 )",9675,"(+/- 1378 )",14351,"(+/- 1627 )",16420,"(+/- 1961 )",10382,"(+/- 1871 )",17052,"(+/- 1627 )",17333,"(+/- 1691 )",18976,"(+/- 1492 )",16480,"(+/- 1710 )"
People,"Sex and Age","Median age (years)",38.7,"(+/- 1.3 )",37.9,"(+/- 1.1 )",37.7,"(+/- 0.8 )",33.7,"(+/- 0.5 )",35.6,"(+/- 0.6 )",40.4,"(+/- 0.7 )",34.6,"(+/- 0.7 )",37.3,"(+/- 0.8 )",40.2,"(+/- 0.6 )",38.2,"(+/- 0.7 )",36.9,"(+/- 0.7 )",39.5,"(+/- 0.5 )",36.6,"(+/- 0.4 )",39.2,"(+/- 0.7 )",40.6,"(+/- 0.6 )",40.3,"(+/- 0.5 )",40.7,"(+/- 0.6 )",40.5,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",557138,"(+/- 12456 )",532401,"(+/- 11487 )",544917,"(+/- 12898 )",530027,"(+/- 14120 )",599181,"(+/- 12263 )",549720,"(+/- 9977 )",559640,"(+/- 12806 )",548697,"(+/- 9653 )",581884,"(+/- 12085 )",541462,"(+/- 5696 )",538568,"(+/- 7845 )",542926,"(+/- 3064 )",558798,"(+/- 6166 )",559686,"(+/- 7841 )",543105,"(+/- 4493 )",539674,"(+/- 5228 )",534340,"(+/- 5514 )",544769,"(+/- 5437 )"
People,"Sex and Age","65 years and over",112983,"(+/- 4720 )",105640,"(+/- 4545 )",104567,"(+/- 5200 )",65257,"(+/- 3932 )",97323,"(+/- 4964 )",107639,"(+/- 5324 )",93925,"(+/- 4164 )",100421,"(+/- 4731 )",126046,"(+/- 5470 )",105929,"(+/- 3544 )",90613,"(+/- 4927 )",116051,"(+/- 2503 )",113704,"(+/- 3434 )",101110,"(+/- 4523 )",129296,"(+/- 2117 )",121264,"(+/- 2261 )",127193,"(+/- 2483 )",128634,"(+/- 2629 )"
