Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",774043,"(+/- 1858 )",780802,"(+/- 1688 )",835190,"(+/- 1688 )",755676,"(+/- 1858 )"
People,"Sex and Age",Male,382718,"(+/- 1992 )",388058,"(+/- 2687 )",412604,"(+/- 1882 )",378885,"(+/- 1856 )"
People,"Sex and Age",Female,391325,"(+/- 2083 )",392744,"(+/- 2653 )",422586,"(+/- 1793 )",376791,"(+/- 2083 )"
People,"Sex and Age","Under 5 years",47545,"(+/- 1054 )",47365,"(+/- 1351 )",57625,"(+/- 940 )",46088,"(+/- 1121 )"
People,"Sex and Age","5 to 9 years",47635,"(+/- 2349 )",50336,"(+/- 2920 )",57485,"(+/- 3231 )",47553,"(+/- 1921 )"
People,"Sex and Age","10 to 14 years",52779,"(+/- 2166 )",49256,"(+/- 2730 )",58546,"(+/- 3052 )",45636,"(+/- 1933 )"
People,"Sex and Age","15 to 19 years",54502,"(+/- 1935 )",54692,"(+/- 2079 )",54603,"(+/- 1617 )",55670,"(+/- 2309 )"
People,"Sex and Age","20 to 24 years",53616,"(+/- 1873 )",62713,"(+/- 2326 )",49420,"(+/- 1410 )",58737,"(+/- 2170 )"
People,"Sex and Age","25 to 34 years",94068,"(+/- 2417 )",95165,"(+/- 2315 )",115259,"(+/- 1393 )",88295,"(+/- 2126 )"
People,"Sex and Age","35 to 44 years",88387,"(+/- 1764 )",92188,"(+/- 1973 )",111881,"(+/- 1745 )",82017,"(+/- 1749 )"
People,"Sex and Age","45 to 54 years",95989,"(+/- 1863 )",95237,"(+/- 1634 )",106013,"(+/- 1232 )",85677,"(+/- 1579 )"
People,"Sex and Age","55 to 59 years",55531,"(+/- 2584 )",53213,"(+/- 2441 )",56236,"(+/- 2824 )",53876,"(+/- 2353 )"
People,"Sex and Age","60 to 64 years",49283,"(+/- 2690 )",49508,"(+/- 2490 )",47952,"(+/- 2686 )",53510,"(+/- 2256 )"
People,"Sex and Age","65 to 74 years",73373,"(+/- 769 )",74874,"(+/- 962 )",69807,"(+/- 881 )",73050,"(+/- 833 )"
People,"Sex and Age","75 to 84 years",41854,"(+/- 1722 )",38157,"(+/- 1827 )",34120,"(+/- 1602 )",43220,"(+/- 1567 )"
People,"Sex and Age","85 years and over",19481,"(+/- 1640 )",18098,"(+/- 1708 )",16243,"(+/- 1508 )",22347,"(+/- 1435 )"
People,"Sex and Age","Median age (years)",39.1,"(+/- 0.3 )",38.2,"(+/- 0.4 )",37.1,"(+/- 0.3 )",39.2,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",595925,"(+/- 1444 )",603908,"(+/- 1652 )",628113,"(+/- 1495 )",587415,"(+/- 1825 )"
People,"Sex and Age","65 years and over",134708,"(+/- 958 )",131129,"(+/- 1004 )",120170,"(+/- 904 )",138617,"(+/- 1055 )"
People,Race,"Total population",774043,"(+/- 1858 )",780802,"(+/- 1688 )",835190,"(+/- 1688 )",755676,"(+/- 1858 )"
People,Race,"One race",760138,"(+/- 2992 )",761104,"(+/- 3235 )",813529,"(+/- 4067 )",743211,"(+/- 2607 )"
People,Race,White,704638,"(+/- 3891 )",699117,"(+/- 2833 )",732513,"(+/- 3970 )",694798,"(+/- 3999 )"
People,Race,"Black or African American",30463,"(+/- 2334 )",30640,"(+/- 2817 )",34198,"(+/- 2809 )",11775,"(+/- 1722 )"
People,Race,"American Indian and Alaska Native",2346,"(+/- 661 )",1662,"(+/- 753 )",2191,"(+/- 799 )",4592,"(+/- 1699 )"
People,Race,Asian,13086,"(+/- 971 )",21936,"(+/- 1475 )",29007,"(+/- 1685 )",17685,"(+/- 1498 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2473,"(+/- 1606 )",887,"(+/- 810 )",1557,"(+/- 1199 )",959,"(+/- 752 )"
People,Race,"Some other race",7132,"(+/- 3056 )",6862,"(+/- 1777 )",14063,"(+/- 3113 )",13402,"(+/- 3036 )"
People,Race,"Two or more races",13905,"(+/- 2407 )",19698,"(+/- 3176 )",21661,"(+/- 3563 )",12465,"(+/- 1836 )"
People,"Hispanic or Latino and Race","Total population",774043,"(+/- 1858 )",780802,"(+/- 1688 )",835190,"(+/- 1688 )",755676,"(+/- 1858 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",30665,"(+/- 771 )",43156,"(+/- 916 )",58367,"(+/- 579 )",53558,"(+/- 682 )"
People,"Hispanic or Latino and Race",Mexican,24876,"(+/- 1679 )",32997,"(+/- 2434 )",45384,"(+/- 3225 )",40919,"(+/- 2206 )"
People,"Hispanic or Latino and Race","Puerto Rican",1056,"(+/- 474 )",4182,"(+/- 1767 )",1319,"(+/- 976 )",988,"(+/- 517 )"
People,"Hispanic or Latino and Race",Cuban,567,"(+/- 529 )",895,"(+/- 573 )",931,"(+/- 797 )",1383,"(+/- 1046 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",4166,"(+/- 1508 )",5082,"(+/- 1426 )",10733,"(+/- 2964 )",10268,"(+/- 2177 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",743378,"(+/- 1837 )",737646,"(+/- 1906 )",776823,"(+/- 1814 )",702118,"(+/- 1859 )"
People,"Place of Birth","Total population",774043,"(+/- 1858 )",780802,"(+/- 1688 )",835190,"(+/- 1688 )",755676,"(+/- 1858 )"
People,"Place of Birth",Native,743153,"(+/- 3845 )",741917,"(+/- 3916 )",778905,"(+/- 4998 )",715008,"(+/- 3246 )"
People,"Place of Birth","Born in United States",739124,"(+/- 3978 )",735211,"(+/- 4037 )",773558,"(+/- 5215 )",711944,"(+/- 3262 )"
