Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",808968,"(+/- 11488 )",797298,"(+/- 13283 )",788118,"(+/- 2492 )",753143,"(+/- 4546 )",740217,"(+/- 7670 )",796589,"(+/- 11810 )"
People,"Sex and Age",Male,392829,"(+/- 6941 )",382321,"(+/- 6740 )",383951,"(+/- 2953 )",371358,"(+/- 3308 )",369093,"(+/- 4508 )",390143,"(+/- 7144 )"
People,"Sex and Age",Female,416139,"(+/- 6922 )",414977,"(+/- 8788 )",404167,"(+/- 2843 )",381785,"(+/- 3082 )",371124,"(+/- 5110 )",406446,"(+/- 7192 )"
People,"Sex and Age","Under 5 years",51527,"(+/- 2877 )",51713,"(+/- 2909 )",55261,"(+/- 1392 )",50415,"(+/- 1362 )",46350,"(+/- 1974 )",50947,"(+/- 2875 )"
People,"Sex and Age","5 to 9 years",51657,"(+/- 3582 )",48793,"(+/- 4316 )",56283,"(+/- 3223 )",50327,"(+/- 2868 )",47364,"(+/- 2764 )",51309,"(+/- 4389 )"
People,"Sex and Age","10 to 14 years",53772,"(+/- 4154 )",49302,"(+/- 3542 )",52684,"(+/- 3438 )",48945,"(+/- 2923 )",53325,"(+/- 3154 )",53965,"(+/- 3788 )"
People,"Sex and Age","15 to 19 years",50788,"(+/- 2808 )",52577,"(+/- 3148 )",57728,"(+/- 2896 )",51839,"(+/- 2603 )",53980,"(+/- 3450 )",54885,"(+/- 3706 )"
People,"Sex and Age","20 to 24 years",47529,"(+/- 2937 )",55686,"(+/- 3601 )",47457,"(+/- 2885 )",52383,"(+/- 2774 )",50825,"(+/- 3028 )",64440,"(+/- 3352 )"
People,"Sex and Age","25 to 34 years",113063,"(+/- 3981 )",119326,"(+/- 3900 )",111736,"(+/- 2880 )",99334,"(+/- 2839 )",94137,"(+/- 3703 )",116880,"(+/- 4206 )"
People,"Sex and Age","35 to 44 years",104031,"(+/- 4009 )",103740,"(+/- 3980 )",97062,"(+/- 2627 )",93503,"(+/- 2831 )",93788,"(+/- 3166 )",96149,"(+/- 3718 )"
People,"Sex and Age","45 to 54 years",101746,"(+/- 3695 )",97138,"(+/- 3633 )",96293,"(+/- 2264 )",90728,"(+/- 2387 )",89151,"(+/- 3246 )",102370,"(+/- 3463 )"
People,"Sex and Age","55 to 59 years",53660,"(+/- 3216 )",52742,"(+/- 3539 )",53646,"(+/- 3155 )",48300,"(+/- 2971 )",46423,"(+/- 2918 )",51920,"(+/- 3560 )"
People,"Sex and Age","60 to 64 years",53444,"(+/- 2915 )",53753,"(+/- 3165 )",49763,"(+/- 3127 )",46093,"(+/- 3047 )",48219,"(+/- 2861 )",46028,"(+/- 3202 )"
People,"Sex and Age","65 to 74 years",78989,"(+/- 2409 )",69078,"(+/- 2835 )",65601,"(+/- 1711 )",71457,"(+/- 1317 )",69574,"(+/- 1958 )",66120,"(+/- 2311 )"
People,"Sex and Age","75 to 84 years",36313,"(+/- 2516 )",31408,"(+/- 2429 )",31258,"(+/- 1939 )",36718,"(+/- 1855 )",34132,"(+/- 2083 )",29962,"(+/- 1765 )"
People,"Sex and Age","85 years and over",12449,"(+/- 1598 )",12042,"(+/- 1624 )",13346,"(+/- 1827 )",13101,"(+/- 1424 )",12949,"(+/- 1482 )",11614,"(+/- 1526 )"
