Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",683279,"(+/- 3999 )",652628,"(+/- 3999 )"
People,"Sex and Age",Male,331802,"(+/- 2920 )",322961,"(+/- 2637 )"
People,"Sex and Age",Female,351477,"(+/- 2368 )",329667,"(+/- 2379 )"
People,"Sex and Age","Under 5 years",31985,"(+/- 1208 )",32405,"(+/- 1110 )"
People,"Sex and Age","5 to 9 years",35243,"(+/- 2731 )",34464,"(+/- 2116 )"
People,"Sex and Age","10 to 14 years",37460,"(+/- 2586 )",36053,"(+/- 2082 )"
People,"Sex and Age","15 to 19 years",39581,"(+/- 1445 )",42706,"(+/- 1603 )"
People,"Sex and Age","20 to 24 years",39288,"(+/- 1401 )",34982,"(+/- 1483 )"
People,"Sex and Age","25 to 34 years",84935,"(+/- 1851 )",73778,"(+/- 1616 )"
People,"Sex and Age","35 to 44 years",79886,"(+/- 1876 )",71232,"(+/- 1388 )"
People,"Sex and Age","45 to 54 years",94838,"(+/- 1740 )",89985,"(+/- 1504 )"
People,"Sex and Age","55 to 59 years",55676,"(+/- 2864 )",52950,"(+/- 2464 )"
People,"Sex and Age","60 to 64 years",49719,"(+/- 2750 )",52000,"(+/- 2560 )"
People,"Sex and Age","65 to 74 years",79812,"(+/- 1215 )",79349,"(+/- 1293 )"
People,"Sex and Age","75 to 84 years",35646,"(+/- 2059 )",37188,"(+/- 1643 )"
People,"Sex and Age","85 years and over",19210,"(+/- 1940 )",15536,"(+/- 1579 )"
People,"Sex and Age","Median age (years)",44.0,"(+/- 0.4 )",45.1,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",555860,"(+/- 2924 )",525845,"(+/- 3104 )"
People,"Sex and Age","65 years and over",134668,"(+/- 1517 )",132073,"(+/- 1438 )"
People,Race,"Total population",683279,"(+/- 3999 )",652628,"(+/- 3999 )"
People,Race,"One race",670308,"(+/- 4544 )",635021,"(+/- 4238 )"
People,Race,White,643530,"(+/- 4160 )",618081,"(+/- 4139 )"
People,Race,"Black or African American",11595,"(+/- 1138 )",4777,"(+/- 750 )"
People,Race,"American Indian and Alaska Native",2427,"(+/- 689 )",6913,"(+/- 958 )"
People,Race,Asian,11088,"(+/- 1039 )",4069,"(+/- 668 )"
People,Race,"Native Hawaiian and Other Pacific Islander",168,"(+/- 158 )",60,"(+/- 77 )"
People,Race,"Some other race",1500,"(+/- 728 )",1121,"(+/- 637 )"
People,Race,"Two or more races",12971,"(+/- 1805 )",17607,"(+/- 1389 )"
People,"Hispanic or Latino and Race","Total population",683279,"(+/- 3999 )",652628,"(+/- 3999 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",12928,"(+/- 545 )",8971,"(+/- 769 )"
People,"Hispanic or Latino and Race",Mexican,3185,"(+/- 1156 )",3054,"(+/- 856 )"
People,"Hispanic or Latino and Race","Puerto Rican",2700,"(+/- 1063 )",3391,"(+/- 1174 )"
People,"Hispanic or Latino and Race",Cuban,333,"(+/- 359 )",144,"(+/- 163 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6710,"(+/- 1338 )",2382,"(+/- 896 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",670351,"(+/- 4022 )",643657,"(+/- 4104 )"
People,"Place of Birth","Total population",683279,"(+/- 3999 )",652628,"(+/- 3999 )"
People,"Place of Birth",Native,654268,"(+/- 4663 )",636206,"(+/- 4386 )"
People,"Place of Birth","Born in United States",645859,"(+/- 5227 )",629057,"(+/- 4314 )"
People,"Place of Birth","State of residence",391576,"(+/- 7369 )",456827,"(+/- 7114 )"
People,"Place of Birth","Different state",254283,"(+/- 7006 )",172230,"(+/- 6517 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8409,"(+/- 2027 )",7149,"(+/- 1198 )"
People,"Place of Birth","Foreign born",29011,"(+/- 2211 )",16422,"(+/- 2019 )"
People,Ancestry,"Total population",683279,"(+/- 3999 )",652628,"(+/- 3999 )"
People,Ancestry,American,40237,"(+/- 4435 )",53181,"(+/- 4235 )"
People,Ancestry,Arab,2984,"(+/- 1305 )",853,"(+/- 473 )"
People,Ancestry,Czech,1604,"(+/- 803 )",1109,"(+/- 570 )"
People,Ancestry,Danish,3427,"(+/- 1020 )",1675,"(+/- 853 )"
People,Ancestry,Dutch,6737,"(+/- 1808 )",6157,"(+/- 1788 )"
People,Ancestry,English,131072,"(+/- 6442 )",117525,"(+/- 5895 )"
People,Ancestry,"French (except Basque)",82793,"(+/- 5265 )",97287,"(+/- 5236 )"
People,Ancestry,"French Canadian",52199,"(+/- 5077 )",52241,"(+/- 4654 )"
People,Ancestry,German,59933,"(+/- 4769 )",49223,"(+/- 5043 )"
People,Ancestry,Greek,5468,"(+/- 1739 )",1658,"(+/- 674 )"
People,Ancestry,Hungarian,1968,"(+/- 770 )",1903,"(+/- 882 )"
People,Ancestry,Irish,121443,"(+/- 7533 )",98168,"(+/- 5619 )"
People,Ancestry,Italian,49780,"(+/- 4284 )",30083,"(+/- 4079 )"
People,Ancestry,Lithuanian,3282,"(+/- 819 )",2476,"(+/- 911 )"
People,Ancestry,Norwegian,5594,"(+/- 1350 )",3475,"(+/- 1062 )"
People,Ancestry,Polish,18472,"(+/- 2624 )",12563,"(+/- 2019 )"
People,Ancestry,Portuguese,5043,"(+/- 1592 )",3433,"(+/- 959 )"
People,Ancestry,Russian,5167,"(+/- 1703 )",2718,"(+/- 757 )"
People,Ancestry,Scotch-Irish,10899,"(+/- 1574 )",10949,"(+/- 1780 )"
People,Ancestry,Scottish,31183,"(+/- 3055 )",28275,"(+/- 3027 )"
People,Ancestry,Slovak,1020,"(+/- 469 )",828,"(+/- 538 )"
People,Ancestry,"Subsaharan African",6850,"(+/- 1422 )",1803,"(+/- 616 )"
People,Ancestry,Swedish,13313,"(+/- 2557 )",11049,"(+/- 2422 )"
People,Ancestry,Swiss,1303,"(+/- 448 )",465,"(+/- 251 )"
