Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",734002,"(+/- 8764 )",765155,"(+/- 19018 )",763763,"(+/- 21654 )",761353,"(+/- 13202 )",768507,"(+/- 12763 )",779616,"(+/- 11292 )",718158,"(+/- 15199 )",761623,"(+/- 14759 )"
People,"Sex and Age",Male,363587,"(+/- 5041 )",364336,"(+/- 10340 )",363192,"(+/- 10279 )",369524,"(+/- 6824 )",375985,"(+/- 6892 )",391687,"(+/- 6599 )",343565,"(+/- 7932 )",363946,"(+/- 8143 )"
People,"Sex and Age",Female,370415,"(+/- 5668 )",400819,"(+/- 11510 )",400571,"(+/- 13108 )",391829,"(+/- 8324 )",392522,"(+/- 7877 )",387929,"(+/- 6755 )",374593,"(+/- 9982 )",397677,"(+/- 8338 )"
People,"Sex and Age","Under 5 years",36854,"(+/- 2141 )",50982,"(+/- 3449 )",45460,"(+/- 3512 )",51213,"(+/- 2387 )",43586,"(+/- 2274 )",48947,"(+/- 2999 )",40693,"(+/- 2765 )",45578,"(+/- 3167 )"
People,"Sex and Age","5 to 9 years",42648,"(+/- 2570 )",52783,"(+/- 3821 )",40585,"(+/- 4030 )",47649,"(+/- 3576 )",47265,"(+/- 3493 )",48700,"(+/- 2940 )",38611,"(+/- 3291 )",46135,"(+/- 3001 )"
People,"Sex and Age","10 to 14 years",47750,"(+/- 2827 )",49452,"(+/- 4691 )",46307,"(+/- 4417 )",48436,"(+/- 3494 )",52703,"(+/- 3885 )",48661,"(+/- 3504 )",44780,"(+/- 3311 )",49855,"(+/- 3174 )"
People,"Sex and Age","15 to 19 years",49279,"(+/- 2761 )",40492,"(+/- 3079 )",45678,"(+/- 4146 )",44589,"(+/- 2580 )",57192,"(+/- 2964 )",50215,"(+/- 2529 )",49608,"(+/- 3413 )",44837,"(+/- 2946 )"
People,"Sex and Age","20 to 24 years",44751,"(+/- 2735 )",51962,"(+/- 4039 )",52166,"(+/- 3912 )",47914,"(+/- 3282 )",50405,"(+/- 3591 )",48697,"(+/- 2984 )",47380,"(+/- 3086 )",43775,"(+/- 2877 )"
People,"Sex and Age","25 to 34 years",84672,"(+/- 4032 )",122165,"(+/- 5742 )",124072,"(+/- 5898 )",108569,"(+/- 4452 )",100697,"(+/- 4816 )",99606,"(+/- 4291 )",101508,"(+/- 4406 )",95982,"(+/- 4174 )"
People,"Sex and Age","35 to 44 years",80315,"(+/- 2880 )",102932,"(+/- 4384 )",100095,"(+/- 4838 )",101803,"(+/- 4302 )",97297,"(+/- 3778 )",104177,"(+/- 4071 )",85040,"(+/- 4009 )",100877,"(+/- 4460 )"
