Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",736460,"(+/- 6665 )",744124,"(+/- 8913 )",769115,"(+/- 10306 )",752077,"(+/- 7580 )",766210,"(+/- 8540 )",774450,"(+/- 5361 )",806820,"(+/- 7639 )",762640,"(+/- 10840 )",747923,"(+/- 8814 )"
People,"Sex and Age",Male,353352,"(+/- 4191 )",363325,"(+/- 6199 )",384419,"(+/- 8296 )",361348,"(+/- 5521 )",369701,"(+/- 6227 )",375940,"(+/- 5426 )",392847,"(+/- 5753 )",366859,"(+/- 6743 )",365479,"(+/- 5628 )"
People,"Sex and Age",Female,383108,"(+/- 4262 )",380799,"(+/- 5168 )",384696,"(+/- 6688 )",390729,"(+/- 5998 )",396509,"(+/- 5444 )",398510,"(+/- 4447 )",413973,"(+/- 5621 )",395781,"(+/- 7066 )",382444,"(+/- 6093 )"
People,"Sex and Age","Under 5 years",38629,"(+/- 1850 )",34370,"(+/- 2523 )",46351,"(+/- 4251 )",38640,"(+/- 3061 )",43686,"(+/- 2602 )",39673,"(+/- 2900 )",40190,"(+/- 2227 )",43371,"(+/- 2820 )",35426,"(+/- 2009 )"
People,"Sex and Age","5 to 9 years",39115,"(+/- 3086 )",38587,"(+/- 2754 )",43584,"(+/- 3985 )",44750,"(+/- 2982 )",44554,"(+/- 3725 )",41176,"(+/- 3345 )",36939,"(+/- 2537 )",39378,"(+/- 3511 )",36185,"(+/- 2866 )"
People,"Sex and Age","10 to 14 years",43794,"(+/- 2873 )",44388,"(+/- 2841 )",51282,"(+/- 3868 )",50445,"(+/- 3779 )",42430,"(+/- 3248 )",47512,"(+/- 3452 )",33442,"(+/- 2651 )",40609,"(+/- 3236 )",42547,"(+/- 3013 )"
People,"Sex and Age","15 to 19 years",51515,"(+/- 1732 )",60026,"(+/- 2412 )",51853,"(+/- 3593 )",52897,"(+/- 3106 )",45927,"(+/- 3313 )",48377,"(+/- 3141 )",59800,"(+/- 3170 )",44362,"(+/- 2879 )",45302,"(+/- 2618 )"
People,"Sex and Age","20 to 24 years",51842,"(+/- 2068 )",65186,"(+/- 3111 )",53132,"(+/- 3843 )",47895,"(+/- 3164 )",49742,"(+/- 2991 )",47521,"(+/- 2887 )",87711,"(+/- 3534 )",42991,"(+/- 3455 )",44114,"(+/- 3064 )"
People,"Sex and Age","25 to 34 years",93118,"(+/- 2965 )",92133,"(+/- 3318 )",94132,"(+/- 4691 )",87568,"(+/- 4137 )",120082,"(+/- 4927 )",90320,"(+/- 3371 )",192859,"(+/- 6185 )",120442,"(+/- 5954 )",81493,"(+/- 4462 )"
People,"Sex and Age","35 to 44 years",85044,"(+/- 3176 )",85754,"(+/- 2931 )",99354,"(+/- 4220 )",91537,"(+/- 3932 )",102542,"(+/- 4135 )",90782,"(+/- 3520 )",100190,"(+/- 3991 )",101061,"(+/- 4817 )",79498,"(+/- 3540 )"
