Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",675755,"(+/- 2875 )",705074,"(+/- 2496 )",714299,"(+/- 5441 )",714075,"(+/- 3806 )",721389,"(+/- 5788 )",716009,"(+/- 5430 )",662695,"(+/- 3304 )",667310,"(+/- 1650 )"
People,"Sex and Age",Male,337001,"(+/- 2070 )",350786,"(+/- 1891 )",347655,"(+/- 4525 )",347976,"(+/- 2543 )",362425,"(+/- 4401 )",360952,"(+/- 3796 )",334939,"(+/- 2508 )",338980,"(+/- 1311 )"
People,"Sex and Age",Female,338754,"(+/- 2541 )",354288,"(+/- 2025 )",366644,"(+/- 4985 )",366099,"(+/- 2515 )",358964,"(+/- 4844 )",355057,"(+/- 3426 )",327756,"(+/- 2091 )",328330,"(+/- 1578 )"
People,"Sex and Age","Under 5 years",41033,"(+/- 1174 )",44652,"(+/- 944 )",47840,"(+/- 2438 )",48627,"(+/- 887 )",45743,"(+/- 2461 )",46786,"(+/- 1818 )",42054,"(+/- 1082 )",37125,"(+/- 754 )"
People,"Sex and Age","5 to 9 years",43947,"(+/- 1978 )",47706,"(+/- 2436 )",46213,"(+/- 3105 )",46034,"(+/- 2053 )",42992,"(+/- 2961 )",52433,"(+/- 2860 )",43369,"(+/- 1513 )",38806,"(+/- 1874 )"
People,"Sex and Age","10 to 14 years",44023,"(+/- 2132 )",54128,"(+/- 2335 )",45052,"(+/- 3459 )",45736,"(+/- 2434 )",40515,"(+/- 2457 )",52241,"(+/- 2761 )",44558,"(+/- 1559 )",41707,"(+/- 1803 )"
People,"Sex and Age","15 to 19 years",45595,"(+/- 1739 )",49166,"(+/- 1848 )",42230,"(+/- 2186 )",46299,"(+/- 1551 )",40436,"(+/- 1986 )",52056,"(+/- 2753 )",44649,"(+/- 1821 )",41426,"(+/- 1169 )"
People,"Sex and Age","20 to 24 years",49345,"(+/- 2149 )",38455,"(+/- 1697 )",31030,"(+/- 2452 )",48572,"(+/- 1229 )",58073,"(+/- 2922 )",48280,"(+/- 2097 )",38030,"(+/- 1542 )",41228,"(+/- 1163 )"
People,"Sex and Age","25 to 34 years",83364,"(+/- 2302 )",90036,"(+/- 2330 )",91004,"(+/- 4647 )",110363,"(+/- 1864 )",150510,"(+/- 4363 )",86345,"(+/- 2712 )",74424,"(+/- 1918 )",72761,"(+/- 1064 )"
People,"Sex and Age","35 to 44 years",80575,"(+/- 2281 )",94270,"(+/- 2279 )",94960,"(+/- 3403 )",88988,"(+/- 1609 )",98554,"(+/- 3210 )",95168,"(+/- 2222 )",73399,"(+/- 1654 )",75222,"(+/- 841 )"
People,"Sex and Age","45 to 54 years",80804,"(+/- 1434 )",100391,"(+/- 1540 )",98871,"(+/- 3593 )",86300,"(+/- 1781 )",81630,"(+/- 3519 )",99718,"(+/- 2883 )",77886,"(+/- 1502 )",83304,"(+/- 923 )"
People,"Sex and Age","55 to 59 years",46154,"(+/- 1886 )",50426,"(+/- 2189 )",56855,"(+/- 3491 )",48152,"(+/- 2528 )",41934,"(+/- 3049 )",50602,"(+/- 2650 )",47395,"(+/- 1971 )",52964,"(+/- 2231 )"
People,"Sex and Age","60 to 64 years",45096,"(+/- 1897 )",42921,"(+/- 2306 )",49843,"(+/- 3331 )",42641,"(+/- 2259 )",35124,"(+/- 2365 )",41347,"(+/- 2536 )",48578,"(+/- 1831 )",50633,"(+/- 2115 )"
People,"Sex and Age","65 to 74 years",62452,"(+/- 1073 )",55804,"(+/- 1368 )",65514,"(+/- 2684 )",60019,"(+/- 1268 )",49545,"(+/- 2684 )",55053,"(+/- 1716 )",67967,"(+/- 884 )",76457,"(+/- 616 )"
People,"Sex and Age","75 to 84 years",35301,"(+/- 1822 )",26451,"(+/- 1369 )",30311,"(+/- 2044 )",29698,"(+/- 1658 )",23995,"(+/- 1792 )",26765,"(+/- 1958 )",38651,"(+/- 1509 )",38199,"(+/- 1395 )"
People,"Sex and Age","85 years and over",18066,"(+/- 1515 )",10668,"(+/- 1320 )",14576,"(+/- 1839 )",12646,"(+/- 1405 )",12338,"(+/- 1437 )",9215,"(+/- 1205 )",21735,"(+/- 1412 )",17478,"(+/- 1329 )"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.3 )",37.5,"(+/- 0.4 )",40.4,"(+/- 0.8 )",36.0,"(+/- 0.3 )",33.8,"(+/- 0.5 )",37.0,"(+/- 0.4 )",40.8,"(+/- 0.4 )",42.8,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",519779,"(+/- 1858 )",528182,"(+/- 2267 )",545216,"(+/- 5900 )",546331,"(+/- 3130 )",572228,"(+/- 5923 )",534018,"(+/- 4644 )",507401,"(+/- 2324 )",525669,"(+/- 1614 )"
People,"Sex and Age","65 years and over",115819,"(+/- 1272 )",92923,"(+/- 1608 )",110401,"(+/- 3595 )",102363,"(+/- 1619 )",85878,"(+/- 3311 )",91033,"(+/- 2336 )",128353,"(+/- 1083 )",132134,"(+/- 699 )"
People,Race,"Total population",675755,"(+/- 2875 )",705074,"(+/- 2496 )",714299,"(+/- 5441 )",714075,"(+/- 3806 )",721389,"(+/- 5788 )",716009,"(+/- 5430 )",662695,"(+/- 3304 )",667310,"(+/- 1650 )"
People,Race,"One race",661490,"(+/- 3640 )",682538,"(+/- 4093 )",693184,"(+/- 6753 )",690490,"(+/- 4740 )",692055,"(+/- 6467 )",698397,"(+/- 5808 )",649282,"(+/- 3551 )",650933,"(+/- 2437 )"
People,Race,White,607868,"(+/- 3037 )",591484,"(+/- 4785 )",573015,"(+/- 8596 )",504033,"(+/- 5756 )",471334,"(+/- 10562 )",641830,"(+/- 6336 )",602078,"(+/- 3509 )",618823,"(+/- 1483 )"
People,Race,"Black or African American",21519,"(+/- 1997 )",35989,"(+/- 2703 )",58965,"(+/- 5860 )",76030,"(+/- 2721 )",121180,"(+/- 6568 )",28557,"(+/- 3157 )",11556,"(+/- 1510 )",7334,"(+/- 1043 )"
People,Race,"American Indian and Alaska Native",2090,"(+/- 697 )",2622,"(+/- 756 )",2566,"(+/- 1086 )",4250,"(+/- 1513 )",8644,"(+/- 1799 )",3058,"(+/- 935 )",20361,"(+/- 1459 )",17212,"(+/- 1381 )"
People,Race,Asian,18684,"(+/- 1494 )",34455,"(+/- 2861 )",50753,"(+/- 4162 )",93379,"(+/- 2538 )",48647,"(+/- 4103 )",16554,"(+/- 2120 )",5319,"(+/- 913 )",5403,"(+/- 875 )"
People,Race,"Native Hawaiian and Other Pacific Islander",133,"(+/- 119 )",544,"(+/- 503 )",87,"(+/- 118 )",141,"(+/- 117 )",294,"(+/- 280 )",102,"(+/- 174 )",446,"(+/- 367 )",297,"(+/- 233 )"
People,Race,"Some other race",11196,"(+/- 2457 )",17444,"(+/- 4105 )",7798,"(+/- 2702 )",12657,"(+/- 2847 )",41956,"(+/- 5788 )",8296,"(+/- 2876 )",9522,"(+/- 2036 )",1864,"(+/- 631 )"
People,Race,"Two or more races",14265,"(+/- 2251 )",22536,"(+/- 3742 )",21115,"(+/- 3214 )",23585,"(+/- 3132 )",29334,"(+/- 3024 )",17612,"(+/- 2640 )",13413,"(+/- 2036 )",16377,"(+/- 1711 )"
People,"Hispanic or Latino and Race","Total population",675755,"(+/- 2875 )",705074,"(+/- 2496 )",714299,"(+/- 5441 )",714075,"(+/- 3806 )",721389,"(+/- 5788 )",716009,"(+/- 5430 )",662695,"(+/- 3304 )",667310,"(+/- 1650 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",42554,"(+/- 1252 )",44748,"(+/- 1793 )",26745,"(+/- 4086 )",48662,"(+/- 1449 )",71408,"(+/- 4314 )",22007,"(+/- 2212 )",28502,"(+/- 1056 )",12040,"(+/- 312 )"
