Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",764896,"(+/- 3565 )",701238,"(+/- 5137 )",749247,"(+/- 5421 )",768719,"(+/- 635 )"
People,"Sex and Age",Male,371992,"(+/- 3124 )",335597,"(+/- 3567 )",363199,"(+/- 4638 )",375685,"(+/- 3276 )"
People,"Sex and Age",Female,392904,"(+/- 3263 )",365641,"(+/- 4485 )",386048,"(+/- 4544 )",393034,"(+/- 3225 )"
People,"Sex and Age","Under 5 years",45485,"(+/- 1204 )",43505,"(+/- 1595 )",43725,"(+/- 1888 )",49752,"(+/- 2108 )"
People,"Sex and Age","5 to 9 years",47965,"(+/- 2913 )",48681,"(+/- 2869 )",49646,"(+/- 3826 )",48010,"(+/- 3654 )"
People,"Sex and Age","10 to 14 years",55120,"(+/- 2903 )",53005,"(+/- 2893 )",52239,"(+/- 4034 )",53948,"(+/- 3690 )"
People,"Sex and Age","15 to 19 years",61115,"(+/- 3288 )",53911,"(+/- 2631 )",53762,"(+/- 3202 )",56480,"(+/- 2900 )"
People,"Sex and Age","20 to 24 years",51638,"(+/- 3012 )",51336,"(+/- 3028 )",54852,"(+/- 3517 )",50584,"(+/- 3238 )"
People,"Sex and Age","25 to 34 years",91295,"(+/- 3170 )",83052,"(+/- 3892 )",89486,"(+/- 4544 )",98890,"(+/- 2956 )"
People,"Sex and Age","35 to 44 years",99604,"(+/- 2836 )",88999,"(+/- 3738 )",96340,"(+/- 3936 )",92959,"(+/- 3263 )"
People,"Sex and Age","45 to 54 years",96076,"(+/- 2207 )",85832,"(+/- 2801 )",91905,"(+/- 3602 )",97409,"(+/- 3460 )"
People,"Sex and Age","55 to 59 years",50995,"(+/- 2613 )",45506,"(+/- 2852 )",52491,"(+/- 3639 )",47004,"(+/- 3042 )"
People,"Sex and Age","60 to 64 years",44682,"(+/- 2833 )",43442,"(+/- 2756 )",45477,"(+/- 3327 )",52178,"(+/- 3383 )"
