Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",729026,"(+/- 11240 )",764043,"(+/- 13262 )",792954,"(+/- 8642 )",769533,"(+/- 4588 )",770628,"(+/- 7353 )",773740,"(+/- 8564 )",777380,"(+/- 2540 )",736228,"(+/- 5127 )"
People,"Sex and Age",Male,343343,"(+/- 5737 )",371827,"(+/- 7008 )",396206,"(+/- 4647 )",384566,"(+/- 3543 )",376660,"(+/- 4392 )",378337,"(+/- 5558 )",380990,"(+/- 2706 )",370765,"(+/- 3629 )"
People,"Sex and Age",Female,385683,"(+/- 6734 )",392216,"(+/- 8039 )",396748,"(+/- 5444 )",384967,"(+/- 3666 )",393968,"(+/- 4566 )",395403,"(+/- 4945 )",396390,"(+/- 2657 )",365463,"(+/- 3182 )"
People,"Sex and Age","Under 5 years",47138,"(+/- 2255 )",41150,"(+/- 2756 )",48354,"(+/- 1898 )",47735,"(+/- 1668 )",51667,"(+/- 1995 )",46099,"(+/- 2398 )",48906,"(+/- 1469 )",42952,"(+/- 1503 )"
People,"Sex and Age","5 to 9 years",42650,"(+/- 3417 )",42217,"(+/- 3308 )",50547,"(+/- 3015 )",48365,"(+/- 2657 )",50393,"(+/- 2976 )",49318,"(+/- 2762 )",46135,"(+/- 3104 )",45584,"(+/- 2658 )"
People,"Sex and Age","10 to 14 years",43722,"(+/- 3189 )",48454,"(+/- 3258 )",57001,"(+/- 3516 )",48731,"(+/- 2808 )",48591,"(+/- 2790 )",54482,"(+/- 2878 )",52977,"(+/- 3115 )",46780,"(+/- 2738 )"
People,"Sex and Age","15 to 19 years",45197,"(+/- 2449 )",46107,"(+/- 2950 )",52922,"(+/- 2591 )",58232,"(+/- 2938 )",46196,"(+/- 1784 )",53804,"(+/- 2588 )",53025,"(+/- 2440 )",50179,"(+/- 2703 )"
People,"Sex and Age","20 to 24 years",54293,"(+/- 2536 )",39062,"(+/- 2916 )",46811,"(+/- 2624 )",65186,"(+/- 3169 )",48064,"(+/- 1783 )",51397,"(+/- 2644 )",59521,"(+/- 2166 )",43313,"(+/- 2700 )"
People,"Sex and Age","25 to 34 years",120060,"(+/- 3412 )",94308,"(+/- 4282 )",100187,"(+/- 3476 )",97857,"(+/- 3247 )",118749,"(+/- 2364 )",94593,"(+/- 3215 )",100117,"(+/- 2331 )",88591,"(+/- 2782 )"
People,"Sex and Age","35 to 44 years",91468,"(+/- 2925 )",89213,"(+/- 3801 )",99606,"(+/- 3193 )",85605,"(+/- 2592 )",95542,"(+/- 2489 )",95696,"(+/- 3274 )",88533,"(+/- 2034 )",83501,"(+/- 2368 )"
