Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",648060,"(+/- 4436 )",668800,"(+/- 3128 )",603216,"(+/- 2966 )"
People,"Sex and Age",Male,325557,"(+/- 2881 )",331333,"(+/- 2027 )",302383,"(+/- 2466 )"
People,"Sex and Age",Female,322503,"(+/- 2769 )",337467,"(+/- 2284 )",300833,"(+/- 2600 )"
People,"Sex and Age","Under 5 years",43745,"(+/- 1217 )",49876,"(+/- 936 )",38058,"(+/- 894 )"
People,"Sex and Age","5 to 9 years",43136,"(+/- 2612 )",46476,"(+/- 2380 )",41029,"(+/- 1857 )"
People,"Sex and Age","10 to 14 years",42907,"(+/- 2299 )",50417,"(+/- 2625 )",43187,"(+/- 2184 )"
People,"Sex and Age","15 to 19 years",46104,"(+/- 1961 )",44536,"(+/- 1344 )",38158,"(+/- 1666 )"
People,"Sex and Age","20 to 24 years",57075,"(+/- 2364 )",41317,"(+/- 1275 )",34801,"(+/- 1606 )"
People,"Sex and Age","25 to 34 years",86080,"(+/- 2982 )",102530,"(+/- 1458 )",70461,"(+/- 2238 )"
People,"Sex and Age","35 to 44 years",77746,"(+/- 2227 )",90814,"(+/- 1332 )",67397,"(+/- 2089 )"
People,"Sex and Age","45 to 54 years",74170,"(+/- 2332 )",81733,"(+/- 1437 )",69608,"(+/- 1884 )"
People,"Sex and Age","55 to 59 years",41363,"(+/- 1997 )",42920,"(+/- 2344 )",41898,"(+/- 2016 )"
People,"Sex and Age","60 to 64 years",38727,"(+/- 2226 )",35270,"(+/- 2216 )",43632,"(+/- 2074 )"
People,"Sex and Age","65 to 74 years",56248,"(+/- 1440 )",50586,"(+/- 1001 )",61012,"(+/- 1172 )"
People,"Sex and Age","75 to 84 years",28236,"(+/- 1572 )",22446,"(+/- 1218 )",35532,"(+/- 1503 )"
People,"Sex and Age","85 years and over",12523,"(+/- 1508 )",9879,"(+/- 1048 )",18443,"(+/- 1440 )"
People,"Sex and Age","Median age (years)",35.6,"(+/- 0.3 )",34.9,"(+/- 0.2 )",39.9,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",493216,"(+/- 2997 )",493516,"(+/- 2068 )",458747,"(+/- 2372 )"
People,"Sex and Age","65 years and over",97007,"(+/- 1727 )",82911,"(+/- 1189 )",114987,"(+/- 1264 )"
People,Race,"Total population",648060,"(+/- 4436 )",668800,"(+/- 3128 )",603216,"(+/- 2966 )"
People,Race,"One race",630328,"(+/- 4987 )",647250,"(+/- 4349 )",591270,"(+/- 3253 )"
People,Race,White,573117,"(+/- 5035 )",545230,"(+/- 4203 )",558745,"(+/- 4765 )"
