Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",720730,"(+/- 19412 )",720704,"(+/- 3995 )",803545,"(+/- 15827 )",753060,"(+/- 15497 )"
People,"Sex and Age",Male,366395,"(+/- 9828 )",367100,"(+/- 3260 )",393144,"(+/- 8890 )",379613,"(+/- 9862 )"
People,"Sex and Age",Female,354335,"(+/- 11026 )",353604,"(+/- 2572 )",410401,"(+/- 9662 )",373447,"(+/- 8994 )"
People,"Sex and Age","Under 5 years",42017,"(+/- 3768 )",42138,"(+/- 843 )",45745,"(+/- 3194 )",54155,"(+/- 3747 )"
People,"Sex and Age","5 to 9 years",42498,"(+/- 4007 )",43723,"(+/- 2783 )",53262,"(+/- 3382 )",54489,"(+/- 3988 )"
People,"Sex and Age","10 to 14 years",46399,"(+/- 3880 )",43880,"(+/- 2605 )",46632,"(+/- 3799 )",53301,"(+/- 5103 )"
People,"Sex and Age","15 to 19 years",42595,"(+/- 3204 )",43092,"(+/- 1872 )",46390,"(+/- 3247 )",49207,"(+/- 3392 )"
People,"Sex and Age","20 to 24 years",53269,"(+/- 3100 )",45008,"(+/- 1863 )",41933,"(+/- 3058 )",45126,"(+/- 3291 )"
People,"Sex and Age","25 to 34 years",118675,"(+/- 6195 )",99939,"(+/- 2537 )",115071,"(+/- 6038 )",102375,"(+/- 5089 )"
People,"Sex and Age","35 to 44 years",94706,"(+/- 5038 )",87466,"(+/- 2408 )",115823,"(+/- 5212 )",102011,"(+/- 4913 )"
People,"Sex and Age","45 to 54 years",102842,"(+/- 5839 )",93304,"(+/- 1868 )",106291,"(+/- 4638 )",94278,"(+/- 4943 )"
People,"Sex and Age","55 to 59 years",44869,"(+/- 3562 )",54390,"(+/- 2860 )",49402,"(+/- 3678 )",47729,"(+/- 3411 )"
People,"Sex and Age","60 to 64 years",39452,"(+/- 3066 )",45613,"(+/- 2753 )",48500,"(+/- 3246 )",41765,"(+/- 3840 )"
People,"Sex and Age","65 to 74 years",56626,"(+/- 2767 )",77143,"(+/- 1577 )",82872,"(+/- 3464 )",69954,"(+/- 3349 )"
People,"Sex and Age","75 to 84 years",28153,"(+/- 2636 )",33691,"(+/- 1752 )",38800,"(+/- 2896 )",30197,"(+/- 2846 )"
People,"Sex and Age","85 years and over",8629,"(+/- 1408 )",11317,"(+/- 1635 )",12824,"(+/- 1695 )",8473,"(+/- 1504 )"
People,"Sex and Age","Median age (years)",36.5,"(+/- 0.8 )",39.7,"(+/- 0.4 )",39.3,"(+/- 0.6 )",36.7,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",562741,"(+/- 13695 )",564337,"(+/- 2707 )",627982,"(+/- 12823 )",559022,"(+/- 11069 )"
People,"Sex and Age","65 years and over",93408,"(+/- 4063 )",122151,"(+/- 1686 )",134496,"(+/- 3813 )",108624,"(+/- 4864 )"
People,Race,"Total population",720730,"(+/- 19412 )",720704,"(+/- 3995 )",803545,"(+/- 15827 )",753060,"(+/- 15497 )"
People,Race,"One race",686564,"(+/- 18188 )",691431,"(+/- 5171 )",762468,"(+/- 15196 )",718373,"(+/- 15795 )"
People,Race,White,347135,"(+/- 15342 )",580440,"(+/- 6794 )",536054,"(+/- 12023 )",473230,"(+/- 15337 )"
People,Race,"Black or African American",85892,"(+/- 8473 )",13900,"(+/- 1579 )",62540,"(+/- 7476 )",112218,"(+/- 8122 )"
People,Race,"American Indian and Alaska Native",9869,"(+/- 2746 )",18840,"(+/- 1852 )",1408,"(+/- 641 )",7793,"(+/- 1692 )"
People,Race,Asian,60831,"(+/- 6447 )",28963,"(+/- 2085 )",118003,"(+/- 7449 )",47228,"(+/- 5597 )"
People,Race,"Native Hawaiian and Other Pacific Islander",6378,"(+/- 1797 )",3806,"(+/- 598 )",6412,"(+/- 2214 )",4165,"(+/- 1773 )"
People,Race,"Some other race",176459,"(+/- 14101 )",45482,"(+/- 5956 )",38051,"(+/- 6682 )",73739,"(+/- 7714 )"
People,Race,"Two or more races",34166,"(+/- 4486 )",29273,"(+/- 4733 )",41077,"(+/- 5203 )",34687,"(+/- 4261 )"
People,"Hispanic or Latino and Race","Total population",720730,"(+/- 19412 )",720704,"(+/- 3995 )",803545,"(+/- 15827 )",753060,"(+/- 15497 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",333838,"(+/- 14820 )",165813,"(+/- 1618 )",135154,"(+/- 10530 )",229858,"(+/- 12553 )"
People,"Hispanic or Latino and Race",Mexican,247762,"(+/- 13954 )",133610,"(+/- 4467 )",91498,"(+/- 8906 )",181664,"(+/- 11870 )"
People,"Hispanic or Latino and Race","Puerto Rican",6465,"(+/- 1864 )",4062,"(+/- 1577 )",11079,"(+/- 3027 )",8440,"(+/- 2784 )"
People,"Hispanic or Latino and Race",Cuban,20085,"(+/- 4274 )",1763,"(+/- 933 )",5165,"(+/- 2161 )",6408,"(+/- 2662 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",59526,"(+/- 8177 )",26378,"(+/- 4014 )",27412,"(+/- 6196 )",33346,"(+/- 5283 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",386892,"(+/- 14411 )",554891,"(+/- 3251 )",668391,"(+/- 13826 )",523202,"(+/- 13361 )"
People,"Place of Birth","Total population",720730,"(+/- 19412 )",720704,"(+/- 3995 )",803545,"(+/- 15827 )",753060,"(+/- 15497 )"
People,"Place of Birth",Native,489287,"(+/- 12885 )",639475,"(+/- 6952 )",656218,"(+/- 13575 )",617040,"(+/- 13883 )"
People,"Place of Birth","Born in United States",476663,"(+/- 12442 )",629463,"(+/- 6675 )",637239,"(+/- 13121 )",605961,"(+/- 13430 )"
People,"Place of Birth","State of residence",166156,"(+/- 8488 )",226352,"(+/- 7321 )",174587,"(+/- 9361 )",209845,"(+/- 10506 )"
People,"Place of Birth","Different state",310507,"(+/- 10087 )",403111,"(+/- 8215 )",462652,"(+/- 11889 )",396116,"(+/- 11786 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12624,"(+/- 2144 )",10012,"(+/- 1852 )",18979,"(+/- 4126 )",11079,"(+/- 1904 )"
People,"Place of Birth","Foreign born",231443,"(+/- 11802 )",81229,"(+/- 5877 )",147327,"(+/- 8490 )",136020,"(+/- 8220 )"
People,Ancestry,"Total population",720730,"(+/- 19412 )",720704,"(+/- 3995 )",803545,"(+/- 15827 )",753060,"(+/- 15497 )"
People,Ancestry,American,20034,"(+/- 2881 )",39155,"(+/- 4249 )",25276,"(+/- 3419 )",24997,"(+/- 3868 )"
People,Ancestry,Arab,2035,"(+/- 1538 )",1746,"(+/- 850 )",4333,"(+/- 1376 )",1367,"(+/- 738 )"
People,Ancestry,Czech,919,"(+/- 335 )",2199,"(+/- 1043 )",2860,"(+/- 1017 )",1636,"(+/- 790 )"
People,Ancestry,Danish,1854,"(+/- 740 )",8191,"(+/- 1781 )",4678,"(+/- 1405 )",8116,"(+/- 2519 )"
People,Ancestry,Dutch,4002,"(+/- 1542 )",10831,"(+/- 2337 )",5067,"(+/- 1278 )",8266,"(+/- 2474 )"
People,Ancestry,English,23370,"(+/- 2857 )",69862,"(+/- 5804 )",59899,"(+/- 5230 )",54332,"(+/- 5470 )"
People,Ancestry,"French (except Basque)",9613,"(+/- 1857 )",18225,"(+/- 2592 )",14194,"(+/- 2407 )",14514,"(+/- 3247 )"
People,Ancestry,"French Canadian",1787,"(+/- 606 )",2629,"(+/- 699 )",4006,"(+/- 1088 )",2566,"(+/- 855 )"
People,Ancestry,German,41867,"(+/- 3564 )",98868,"(+/- 6179 )",89431,"(+/- 6278 )",76832,"(+/- 6632 )"
People,Ancestry,Greek,2113,"(+/- 964 )",3197,"(+/- 1038 )",4325,"(+/- 1178 )",2383,"(+/- 1140 )"
People,Ancestry,Hungarian,2074,"(+/- 608 )",2621,"(+/- 1349 )",3702,"(+/- 1022 )",2014,"(+/- 944 )"
People,Ancestry,Irish,35804,"(+/- 4464 )",82957,"(+/- 6389 )",72960,"(+/- 6338 )",58547,"(+/- 5360 )"
People,Ancestry,Italian,21310,"(+/- 2250 )",40979,"(+/- 4592 )",62775,"(+/- 7078 )",29888,"(+/- 3249 )"
People,Ancestry,Lithuanian,943,"(+/- 573 )",1396,"(+/- 602 )",1348,"(+/- 604 )",615,"(+/- 388 )"
People,Ancestry,Norwegian,4271,"(+/- 1002 )",16139,"(+/- 3430 )",10252,"(+/- 1793 )",6912,"(+/- 1468 )"
People,Ancestry,Polish,8643,"(+/- 1645 )",14578,"(+/- 2399 )",23667,"(+/- 3570 )",11327,"(+/- 1896 )"
People,Ancestry,Portuguese,1851,"(+/- 714 )",7906,"(+/- 1665 )",3276,"(+/- 1716 )",3632,"(+/- 2043 )"
People,Ancestry,Russian,4869,"(+/- 1524 )",4598,"(+/- 1258 )",10507,"(+/- 1797 )",4158,"(+/- 1362 )"
People,Ancestry,Scotch-Irish,3516,"(+/- 1202 )",9210,"(+/- 1619 )",3937,"(+/- 914 )",3552,"(+/- 1066 )"
People,Ancestry,Scottish,4325,"(+/- 1081 )",14637,"(+/- 2566 )",13436,"(+/- 2185 )",13482,"(+/- 2949 )"
People,Ancestry,Slovak,209,"(+/- 188 )",1163,"(+/- 748 )",922,"(+/- 343 )",618,"(+/- 333 )"
People,Ancestry,"Subsaharan African",18338,"(+/- 4760 )",4076,"(+/- 1413 )",9830,"(+/- 3384 )",6533,"(+/- 2436 )"
People,Ancestry,Swedish,4015,"(+/- 888 )",13377,"(+/- 2163 )",8813,"(+/- 1743 )",7366,"(+/- 1962 )"
People,Ancestry,Swiss,461,"(+/- 305 )",2945,"(+/- 1002 )",1711,"(+/- 706 )",2315,"(+/- 1226 )"
People,Ancestry,Ukrainian,855,"(+/- 426 )",750,"(+/- 364 )",2049,"(+/- 833 )",991,"(+/- 577 )"
People,Ancestry,Welsh,2375,"(+/- 780 )",5853,"(+/- 1500 )",4605,"(+/- 1096 )",3829,"(+/- 1028 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1597,"(+/- 801 )",764,"(+/- 488 )",1755,"(+/- 879 )",2574,"(+/- 1282 )"
People,"Veteran Status","Civilian population 18 years and over",562365,"(+/- 13687 )",563085,"(+/- 2768 )",627379,"(+/- 12838 )",553419,"(+/- 11071 )"
People,"Veteran Status","Civilian veterans",36061,"(+/- 2861 )",53592,"(+/- 3010 )",52129,"(+/- 3847 )",60135,"(+/- 4551 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",714408,"(+/- 19267 )",712107,"(+/- 3941 )",800901,"(+/- 15819 )",734820,"(+/- 15167 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",96594,"(+/- 5892 )",85748,"(+/- 5373 )",90488,"(+/- 5485 )",90039,"(+/- 5389 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",157724,"(+/- 8685 )",156103,"(+/- 1863 )",175547,"(+/- 6434 )",193760,"(+/- 8834 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6581,"(+/- 1672 )",4480,"(+/- 1410 )",5534,"(+/- 2215 )",6530,"(+/- 1420 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",464059,"(+/- 13595 )",435206,"(+/- 2372 )",491767,"(+/- 12439 )",433586,"(+/- 9610 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",55642,"(+/- 5045 )",41386,"(+/- 3846 )",41708,"(+/- 3664 )",45182,"(+/- 3772 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",92625,"(+/- 3995 )",120798,"(+/- 1683 )",133587,"(+/- 3985 )",107474,"(+/- 4858 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34371,"(+/- 2627 )",39882,"(+/- 2819 )",43246,"(+/- 2787 )",38327,"(+/- 3095 )"
People,"Residence 1 Year Ago","Population 1 year and over",712282,"(+/- 18954 )",711903,"(+/- 3855 )",795795,"(+/- 15488 )",743476,"(+/- 15433 )"
People,"Residence 1 Year Ago","Same house",572133,"(+/- 15828 )",589130,"(+/- 9450 )",655726,"(+/- 15063 )",613174,"(+/- 14514 )"
People,"Residence 1 Year Ago","Different house in the U.S.",135830,"(+/- 10189 )",120044,"(+/- 8336 )",135402,"(+/- 10167 )",124865,"(+/- 9965 )"
People,"Residence 1 Year Ago","Same county",100948,"(+/- 9429 )",72406,"(+/- 7818 )",94068,"(+/- 8282 )",90294,"(+/- 7815 )"
People,"Residence 1 Year Ago","Different county",34882,"(+/- 5146 )",47638,"(+/- 5044 )",41334,"(+/- 5166 )",34571,"(+/- 6035 )"
People,"Residence 1 Year Ago","Same state",964,"(+/- 647 )",19757,"(+/- 3809 )",1419,"(+/- 788 )",3211,"(+/- 1094 )"
People,"Residence 1 Year Ago","Different state",33918,"(+/- 5051 )",27881,"(+/- 3994 )",39915,"(+/- 5099 )",31360,"(+/- 5839 )"
People,"Residence 1 Year Ago",Abroad,4319,"(+/- 1317 )",2729,"(+/- 1128 )",4667,"(+/- 1908 )",5437,"(+/- 2012 )"
