Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",673194,"(+/- 6052 )",669601,"(+/- 6052 )"
People,"Sex and Age",Male,334237,"(+/- 4530 )",331504,"(+/- 4241 )"
People,"Sex and Age",Female,338957,"(+/- 3620 )",338097,"(+/- 3888 )"
People,"Sex and Age","Under 5 years",32399,"(+/- 1913 )",31124,"(+/- 1880 )"
People,"Sex and Age","5 to 9 years",33449,"(+/- 2581 )",34572,"(+/- 2497 )"
People,"Sex and Age","10 to 14 years",39439,"(+/- 2748 )",38068,"(+/- 2451 )"
People,"Sex and Age","15 to 19 years",42519,"(+/- 2381 )",44230,"(+/- 2402 )"
People,"Sex and Age","20 to 24 years",46492,"(+/- 2109 )",42498,"(+/- 2749 )"
People,"Sex and Age","25 to 34 years",88703,"(+/- 3167 )",75174,"(+/- 2954 )"
People,"Sex and Age","35 to 44 years",76519,"(+/- 2673 )",75168,"(+/- 2697 )"
People,"Sex and Age","45 to 54 years",99043,"(+/- 3088 )",97097,"(+/- 3213 )"
People,"Sex and Age","55 to 59 years",54615,"(+/- 2843 )",58687,"(+/- 2658 )"
People,"Sex and Age","60 to 64 years",47694,"(+/- 2626 )",48984,"(+/- 2758 )"
People,"Sex and Age","65 to 74 years",69306,"(+/- 2044 )",73798,"(+/- 2221 )"
People,"Sex and Age","75 to 84 years",29314,"(+/- 2298 )",33378,"(+/- 2122 )"
People,"Sex and Age","85 years and over",13702,"(+/- 1575 )",16823,"(+/- 1752 )"
People,"Sex and Age","Median age (years)",42.0,"(+/- 0.7 )",44.3,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",543522,"(+/- 4951 )",541078,"(+/- 5189 )"
People,"Sex and Age","65 years and over",112322,"(+/- 2866 )",123999,"(+/- 2970 )"
People,Race,"Total population",673194,"(+/- 6052 )",669601,"(+/- 6052 )"
People,Race,"One race",659803,"(+/- 6626 )",654883,"(+/- 6083 )"
People,Race,White,629671,"(+/- 5621 )",620080,"(+/- 5988 )"
People,Race,"Black or African American",11036,"(+/- 2417 )",11373,"(+/- 1975 )"
People,Race,"American Indian and Alaska Native",617,"(+/- 404 )",1168,"(+/- 453 )"
People,Race,Asian,16289,"(+/- 1981 )",19374,"(+/- 2175 )"
People,Race,"Native Hawaiian and Other Pacific Islander",333,"(+/- 386 )",227,"(+/- 255 )"
People,Race,"Some other race",1857,"(+/- 840 )",2661,"(+/- 1199 )"
People,Race,"Two or more races",13391,"(+/- 2264 )",14718,"(+/- 2173 )"
People,"Hispanic or Latino and Race","Total population",673194,"(+/- 6052 )",669601,"(+/- 6052 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",23264,"(+/- 2814 )",27129,"(+/- 2921 )"
People,"Hispanic or Latino and Race",Mexican,3299,"(+/- 1202 )",7052,"(+/- 2244 )"
People,"Hispanic or Latino and Race","Puerto Rican",9648,"(+/- 2728 )",6683,"(+/- 1903 )"
People,"Hispanic or Latino and Race",Cuban,986,"(+/- 725 )",1123,"(+/- 615 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",9331,"(+/- 1960 )",12271,"(+/- 2902 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",649930,"(+/- 6343 )",642472,"(+/- 6675 )"
People,"Place of Birth","Total population",673194,"(+/- 6052 )",669601,"(+/- 6052 )"
People,"Place of Birth",Native,634361,"(+/- 6810 )",625267,"(+/- 6560 )"
People,"Place of Birth","Born in United States",625239,"(+/- 6756 )",619098,"(+/- 6690 )"
People,"Place of Birth","State of residence",285054,"(+/- 8258 )",275964,"(+/- 7455 )"
People,"Place of Birth","Different state",340185,"(+/- 9005 )",343134,"(+/- 8144 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9122,"(+/- 2190 )",6169,"(+/- 1309 )"
People,"Place of Birth","Foreign born",38833,"(+/- 3721 )",44334,"(+/- 4105 )"
People,Ancestry,"Total population",673194,"(+/- 6052 )",669601,"(+/- 6052 )"
People,Ancestry,American,26806,"(+/- 3376 )",25730,"(+/- 2387 )"
People,Ancestry,Arab,7632,"(+/- 2710 )",4339,"(+/- 1288 )"
People,Ancestry,Czech,1452,"(+/- 658 )",2482,"(+/- 1315 )"
People,Ancestry,Danish,1784,"(+/- 873 )",2471,"(+/- 976 )"
People,Ancestry,Dutch,8442,"(+/- 1896 )",8037,"(+/- 2293 )"
People,Ancestry,English,115595,"(+/- 6816 )",112625,"(+/- 5320 )"
People,Ancestry,"French (except Basque)",88234,"(+/- 6969 )",83858,"(+/- 5998 )"
People,Ancestry,"French Canadian",61217,"(+/- 5381 )",63471,"(+/- 5507 )"
People,Ancestry,German,58309,"(+/- 4985 )",63487,"(+/- 5896 )"
