Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",696688,"(+/- 6758 )",694692,"(+/- 4148 )",696690,"(+/- 5972 )"
People,"Sex and Age",Male,339901,"(+/- 3576 )",352744,"(+/- 4060 )",341499,"(+/- 4254 )"
People,"Sex and Age",Female,356787,"(+/- 4596 )",341948,"(+/- 3527 )",355191,"(+/- 4278 )"
People,"Sex and Age","Under 5 years",39238,"(+/- 1248 )",44948,"(+/- 1394 )",42241,"(+/- 1700 )"
People,"Sex and Age","5 to 9 years",38143,"(+/- 2766 )",50037,"(+/- 3192 )",46790,"(+/- 2720 )"
People,"Sex and Age","10 to 14 years",46952,"(+/- 2957 )",50949,"(+/- 3455 )",46806,"(+/- 2805 )"
People,"Sex and Age","15 to 19 years",43810,"(+/- 2286 )",53668,"(+/- 2824 )",48910,"(+/- 2582 )"
People,"Sex and Age","20 to 24 years",44427,"(+/- 1527 )",53733,"(+/- 3678 )",45943,"(+/- 2425 )"
People,"Sex and Age","25 to 34 years",99264,"(+/- 2282 )",88940,"(+/- 3077 )",85859,"(+/- 2853 )"
People,"Sex and Age","35 to 44 years",90021,"(+/- 2180 )",77517,"(+/- 3207 )",82606,"(+/- 2893 )"
People,"Sex and Age","45 to 54 years",86201,"(+/- 2393 )",72903,"(+/- 3106 )",80680,"(+/- 2787 )"
People,"Sex and Age","55 to 59 years",49291,"(+/- 3015 )",43985,"(+/- 2937 )",48239,"(+/- 2724 )"
People,"Sex and Age","60 to 64 years",46523,"(+/- 2743 )",42979,"(+/- 2984 )",46538,"(+/- 2852 )"
People,"Sex and Age","65 to 74 years",69407,"(+/- 1746 )",66189,"(+/- 1778 )",76575,"(+/- 1826 )"
People,"Sex and Age","75 to 84 years",32511,"(+/- 1867 )",35085,"(+/- 2151 )",32608,"(+/- 1734 )"
People,"Sex and Age","85 years and over",10900,"(+/- 1322 )",13759,"(+/- 1852 )",12895,"(+/- 1439 )"
People,"Sex and Age","Median age (years)",38.6,"(+/- 0.5 )",35.6,"(+/- 0.4 )",38.4,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",546431,"(+/- 5012 )",520317,"(+/- 3408 )",531600,"(+/- 4808 )"
People,"Sex and Age","65 years and over",112818,"(+/- 1920 )",115033,"(+/- 2146 )",122078,"(+/- 1863 )"
People,Race,"Total population",696688,"(+/- 6758 )",694692,"(+/- 4148 )",696690,"(+/- 5972 )"
People,Race,"One race",671794,"(+/- 7944 )",676155,"(+/- 4816 )",670556,"(+/- 6598 )"
People,Race,White,545988,"(+/- 8924 )",581641,"(+/- 7490 )",454391,"(+/- 7508 )"
People,Race,"Black or African American",19113,"(+/- 1956 )",14898,"(+/- 2374 )",10420,"(+/- 1464 )"
People,Race,"American Indian and Alaska Native",30772,"(+/- 3061 )",35860,"(+/- 2922 )",133255,"(+/- 3790 )"
People,Race,Asian,15319,"(+/- 1828 )",4968,"(+/- 1307 )",9140,"(+/- 1495 )"
People,Race,"Native Hawaiian and Other Pacific Islander",484,"(+/- 486 )",428,"(+/- 400 )",772,"(+/- 451 )"
People,Race,"Some other race",60118,"(+/- 7914 )",38360,"(+/- 5832 )",62578,"(+/- 7138 )"
People,Race,"Two or more races",24894,"(+/- 3328 )",18537,"(+/- 3089 )",26134,"(+/- 3218 )"
People,"Hispanic or Latino and Race","Total population",696688,"(+/- 6758 )",694692,"(+/- 4148 )",696690,"(+/- 5972 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",347776,"(+/- 5340 )",384277,"(+/- 3544 )",286291,"(+/- 4486 )"
People,"Hispanic or Latino and Race",Mexican,210867,"(+/- 10277 )",322584,"(+/- 6215 )",134885,"(+/- 7104 )"
People,"Hispanic or Latino and Race","Puerto Rican",3993,"(+/- 1385 )",1957,"(+/- 950 )",3945,"(+/- 1865 )"
People,"Hispanic or Latino and Race",Cuban,2848,"(+/- 1631 )",872,"(+/- 822 )",681,"(+/- 442 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",130068,"(+/- 9810 )",58864,"(+/- 5564 )",146780,"(+/- 6619 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",348912,"(+/- 4299 )",310415,"(+/- 2969 )",410399,"(+/- 4201 )"
People,"Place of Birth","Total population",696688,"(+/- 6758 )",694692,"(+/- 4148 )",696690,"(+/- 5972 )"
People,"Place of Birth",Native,629352,"(+/- 7610 )",613497,"(+/- 7395 )",649713,"(+/- 6295 )"
People,"Place of Birth","Born in United States",618924,"(+/- 7569 )",606232,"(+/- 7641 )",643284,"(+/- 6204 )"
People,"Place of Birth","State of residence",373211,"(+/- 8434 )",354028,"(+/- 8992 )",405992,"(+/- 8232 )"
People,"Place of Birth","Different state",245713,"(+/- 6509 )",252204,"(+/- 8016 )",237292,"(+/- 6714 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",10428,"(+/- 1918 )",7265,"(+/- 1827 )",6429,"(+/- 1193 )"
People,"Place of Birth","Foreign born",67336,"(+/- 6537 )",81195,"(+/- 5766 )",46977,"(+/- 4540 )"
People,Ancestry,"Total population",696688,"(+/- 6758 )",694692,"(+/- 4148 )",696690,"(+/- 5972 )"
People,Ancestry,American,28171,"(+/- 3847 )",26384,"(+/- 3806 )",29039,"(+/- 3421 )"
People,Ancestry,Arab,1797,"(+/- 719 )",3273,"(+/- 2505 )",979,"(+/- 526 )"
People,Ancestry,Czech,1942,"(+/- 796 )",1456,"(+/- 1247 )",1503,"(+/- 726 )"
People,Ancestry,Danish,2517,"(+/- 802 )",984,"(+/- 458 )",1969,"(+/- 809 )"
People,Ancestry,Dutch,4000,"(+/- 1066 )",4396,"(+/- 1332 )",4524,"(+/- 1622 )"
People,Ancestry,English,44290,"(+/- 3866 )",37614,"(+/- 3446 )",40030,"(+/- 3957 )"
People,Ancestry,"French (except Basque)",11170,"(+/- 1940 )",6780,"(+/- 1462 )",9637,"(+/- 2004 )"
People,Ancestry,"French Canadian",2584,"(+/- 970 )",1904,"(+/- 667 )",1545,"(+/- 682 )"
People,Ancestry,German,65100,"(+/- 3891 )",47320,"(+/- 4149 )",50314,"(+/- 4295 )"
People,Ancestry,Greek,1319,"(+/- 522 )",972,"(+/- 584 )",1243,"(+/- 638 )"
People,Ancestry,Hungarian,1078,"(+/- 496 )",845,"(+/- 483 )",1481,"(+/- 600 )"
People,Ancestry,Irish,51922,"(+/- 5632 )",34631,"(+/- 3545 )",36597,"(+/- 4307 )"
People,Ancestry,Italian,19085,"(+/- 2492 )",10392,"(+/- 2156 )",14606,"(+/- 3069 )"
People,Ancestry,Lithuanian,786,"(+/- 430 )",451,"(+/- 381 )",639,"(+/- 340 )"
People,Ancestry,Norwegian,5969,"(+/- 1341 )",3005,"(+/- 896 )",3629,"(+/- 1117 )"
People,Ancestry,Polish,8442,"(+/- 1525 )",4152,"(+/- 1068 )",5264,"(+/- 1298 )"
People,Ancestry,Portuguese,1041,"(+/- 520 )",973,"(+/- 896 )",2108,"(+/- 1308 )"
People,Ancestry,Russian,1591,"(+/- 604 )",1438,"(+/- 657 )",2247,"(+/- 634 )"
People,Ancestry,Scotch-Irish,4958,"(+/- 1112 )",4532,"(+/- 1332 )",5115,"(+/- 1217 )"
