Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",718652,"(+/- 3672 )",721373,"(+/- 9198 )",725627,"(+/- 14277 )",728807,"(+/- 10230 )",798555,"(+/- 17108 )",761797,"(+/- 18042 )",755717,"(+/- 20767 )",793532,"(+/- 16988 )",750170,"(+/- 17743 )",733275,"(+/- 21186 )",755204,"(+/- 12472 )",714279,"(+/- 19880 )",802800,"(+/- 23638 )",691813,"(+/- 17987 )",781143,"(+/- 14839 )",742552,"(+/- 12724 )",746412,"(+/- 5554 )",730114,"(+/- 6715 )",700975,"(+/- 5707 )",732130,"(+/- 5337 )",705669,"(+/- 4288 )",696819,"(+/- 3805 )",702026,"(+/- 3929 )",707889,"(+/- 3055 )",719033,"(+/- 3499 )",714521,"(+/- 4881 )",718515,"(+/- 6160 )"
People,"Sex and Age",Male,358518,"(+/- 5570 )",348544,"(+/- 7906 )",354227,"(+/- 7637 )",352988,"(+/- 5951 )",378381,"(+/- 9731 )",367521,"(+/- 10950 )",372297,"(+/- 11677 )",365726,"(+/- 10494 )",343887,"(+/- 10126 )",353144,"(+/- 12527 )",364064,"(+/- 6663 )",346278,"(+/- 11529 )",376560,"(+/- 12065 )",346530,"(+/- 11486 )",372122,"(+/- 8294 )",346917,"(+/- 7715 )",367480,"(+/- 4644 )",364247,"(+/- 4502 )",351396,"(+/- 3871 )",356582,"(+/- 3947 )",361932,"(+/- 2843 )",346443,"(+/- 2376 )",349790,"(+/- 3207 )",345303,"(+/- 2041 )",346131,"(+/- 2197 )",344317,"(+/- 3938 )",356571,"(+/- 4618 )"
People,"Sex and Age",Female,360134,"(+/- 4922 )",372829,"(+/- 5942 )",371400,"(+/- 9744 )",375819,"(+/- 6258 )",420174,"(+/- 9599 )",394276,"(+/- 9633 )",383420,"(+/- 11734 )",427806,"(+/- 9939 )",406283,"(+/- 11001 )",380131,"(+/- 12824 )",391140,"(+/- 7131 )",368001,"(+/- 11569 )",426240,"(+/- 15062 )",345283,"(+/- 9221 )",409021,"(+/- 9224 )",395635,"(+/- 8568 )",378932,"(+/- 5169 )",365867,"(+/- 4437 )",349579,"(+/- 3669 )",375548,"(+/- 3117 )",343737,"(+/- 2982 )",350376,"(+/- 2732 )",352236,"(+/- 2317 )",362586,"(+/- 2013 )",372902,"(+/- 1819 )",370204,"(+/- 4066 )",361944,"(+/- 4900 )"
People,"Sex and Age","Under 5 years",34921,"(+/- 2588 )",40684,"(+/- 3114 )",37741,"(+/- 3765 )",41803,"(+/- 3170 )",53558,"(+/- 4303 )",46866,"(+/- 3854 )",54043,"(+/- 3885 )",57715,"(+/- 4388 )",50663,"(+/- 4093 )",49256,"(+/- 4747 )",46312,"(+/- 2491 )",30967,"(+/- 4543 )",50431,"(+/- 4755 )",38890,"(+/- 2940 )",61749,"(+/- 2998 )",37946,"(+/- 3038 )",50215,"(+/- 2468 )",40227,"(+/- 1333 )",32419,"(+/- 1660 )",35995,"(+/- 1567 )",38468,"(+/- 1463 )",37060,"(+/- 1370 )",35642,"(+/- 1048 )",38320,"(+/- 833 )",38780,"(+/- 1171 )",40550,"(+/- 1996 )",36376,"(+/- 2350 )"
People,"Sex and Age","5 to 9 years",38442,"(+/- 3263 )",41772,"(+/- 3351 )",45913,"(+/- 3629 )",41677,"(+/- 3403 )",47668,"(+/- 3662 )",39168,"(+/- 3495 )",46435,"(+/- 3908 )",44313,"(+/- 3163 )",40988,"(+/- 3812 )",35837,"(+/- 3907 )",44796,"(+/- 2810 )",21810,"(+/- 3324 )",46582,"(+/- 3686 )",35576,"(+/- 3724 )",58517,"(+/- 4739 )",42661,"(+/- 3154 )",48937,"(+/- 3596 )",41793,"(+/- 2726 )",34709,"(+/- 2219 )",40113,"(+/- 3147 )",41617,"(+/- 2427 )",39299,"(+/- 2218 )",36006,"(+/- 2309 )",42830,"(+/- 2431 )",40807,"(+/- 2310 )",40591,"(+/- 2637 )",38960,"(+/- 2402 )"
People,"Sex and Age","10 to 14 years",41719,"(+/- 3584 )",48962,"(+/- 3624 )",44794,"(+/- 3247 )",43178,"(+/- 3375 )",46628,"(+/- 3571 )",35719,"(+/- 3797 )",45688,"(+/- 3746 )",46092,"(+/- 4307 )",45417,"(+/- 3866 )",37946,"(+/- 4010 )",48356,"(+/- 3422 )",20199,"(+/- 3394 )",44379,"(+/- 4443 )",38047,"(+/- 3556 )",56543,"(+/- 3847 )",49837,"(+/- 4514 )",52318,"(+/- 3058 )",52153,"(+/- 2992 )",37649,"(+/- 2343 )",41039,"(+/- 3447 )",39343,"(+/- 2361 )",39676,"(+/- 2347 )",42205,"(+/- 2066 )",41786,"(+/- 2597 )",42565,"(+/- 2054 )",38321,"(+/- 2572 )",42879,"(+/- 2682 )"
People,"Sex and Age","15 to 19 years",50203,"(+/- 2628 )",45815,"(+/- 2877 )",43030,"(+/- 2729 )",47895,"(+/- 2421 )",49508,"(+/- 3049 )",35120,"(+/- 2739 )",38480,"(+/- 3403 )",43967,"(+/- 3362 )",40201,"(+/- 3227 )",35121,"(+/- 2962 )",43798,"(+/- 2319 )",26855,"(+/- 3288 )",39929,"(+/- 3613 )",32836,"(+/- 2970 )",58735,"(+/- 3103 )",45953,"(+/- 2974 )",54537,"(+/- 2625 )",53830,"(+/- 2347 )",48986,"(+/- 2724 )",54747,"(+/- 2666 )",47596,"(+/- 2079 )",49888,"(+/- 1857 )",54518,"(+/- 1935 )",51699,"(+/- 1698 )",49884,"(+/- 1081 )",48082,"(+/- 2271 )",46098,"(+/- 2520 )"
People,"Sex and Age","20 to 24 years",49592,"(+/- 3120 )",48680,"(+/- 4094 )",36556,"(+/- 3196 )",51998,"(+/- 2633 )",55396,"(+/- 3483 )",41168,"(+/- 3520 )",53146,"(+/- 4402 )",53519,"(+/- 3643 )",47131,"(+/- 3497 )",44697,"(+/- 4091 )",46054,"(+/- 1768 )",51729,"(+/- 4830 )",56647,"(+/- 4354 )",40733,"(+/- 2842 )",66834,"(+/- 3300 )",50560,"(+/- 3693 )",48891,"(+/- 2500 )",51736,"(+/- 2442 )",44173,"(+/- 2506 )",61351,"(+/- 2760 )",49284,"(+/- 1976 )",53916,"(+/- 1647 )",56989,"(+/- 2219 )",48765,"(+/- 1384 )",49806,"(+/- 1199 )",50107,"(+/- 2720 )",42646,"(+/- 2542 )"
People,"Sex and Age","25 to 34 years",80030,"(+/- 3429 )",97859,"(+/- 5085 )",67634,"(+/- 4938 )",89598,"(+/- 3752 )",119208,"(+/- 4865 )",123502,"(+/- 6316 )",159858,"(+/- 6892 )",136393,"(+/- 5923 )",131465,"(+/- 6629 )",141462,"(+/- 8561 )",102397,"(+/- 3782 )",195944,"(+/- 9179 )",165124,"(+/- 8172 )",115691,"(+/- 6432 )",127880,"(+/- 6084 )",92489,"(+/- 4898 )",84459,"(+/- 2892 )",84468,"(+/- 2635 )",76744,"(+/- 2364 )",93266,"(+/- 3184 )",90064,"(+/- 2441 )",81126,"(+/- 2090 )",82028,"(+/- 1958 )",89742,"(+/- 1311 )",100771,"(+/- 1411 )",114468,"(+/- 3344 )",79697,"(+/- 4048 )"
People,"Sex and Age","35 to 44 years",80947,"(+/- 4232 )",91800,"(+/- 5095 )",83735,"(+/- 5358 )",87392,"(+/- 3700 )",97207,"(+/- 4533 )",94148,"(+/- 4714 )",112023,"(+/- 5991 )",108238,"(+/- 5932 )",102593,"(+/- 5682 )",103455,"(+/- 7442 )",95586,"(+/- 3492 )",109110,"(+/- 6892 )",110014,"(+/- 5803 )",110395,"(+/- 5575 )",101447,"(+/- 4136 )",97067,"(+/- 4820 )",89237,"(+/- 2930 )",86010,"(+/- 2640 )",76162,"(+/- 2667 )",87858,"(+/- 3114 )",81295,"(+/- 1872 )",71816,"(+/- 1390 )",76333,"(+/- 1830 )",78599,"(+/- 1245 )",82668,"(+/- 620 )",77536,"(+/- 2745 )",79042,"(+/- 2826 )"
