Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,755393,(*****)
People,Sex and Age,Male,388300,(+/- 1955 )
People,Sex and Age,Female,367093,(+/- 1955 )
People,Sex and Age,Under 5 years,52802,(+/- 1701 )
People,Sex and Age,5 to 9 years,49455,(+/- 2580 )
People,Sex and Age,10 to 14 years,46420,(+/- 2676 )
People,Sex and Age,15 to 19 years,47099,(+/- 1651 )
People,Sex and Age,20 to 24 years,63713,(+/- 2322 )
People,Sex and Age,25 to 34 years,114379,(+/- 2448 )
People,Sex and Age,35 to 44 years,89406,(+/- 2501 )
People,Sex and Age,45 to 54 years,82316,(+/- 1953 )
People,Sex and Age,55 to 59 years,48512,(+/- 2354 )
People,Sex and Age,60 to 64 years,48622,(+/- 2371 )
People,Sex and Age,65 to 74 years,61449,(+/- 842 )
People,Sex and Age,75 to 84 years,34440,(+/- 1399 )
People,Sex and Age,85 years and over,16780,(+/- 1349 )
People,Sex and Age,Median age (years),35.4,(+/- 0.3 )
People,Sex and Age,18 years and over,582257,(+/- 1509 )
People,Sex and Age,65 years and over,112669,(+/- 886 )
People,Race,Total population,755393,(*****)
People,Race,One race,740606,(+/- 2568 )
People,Race,White,654116,(+/- 2352 )
People,Race,Black or African American,23294,(+/- 2184 )
People,Race,American Indian and Alaska Native,41706,(+/- 2209 )
People,Race,Asian,12699,(+/- 1981 )
People,Race,Native Hawaiian and Other Pacific Islander,540,(+/- 445 )
People,Race,Some other race,8251,(+/- 1916 )
People,Race,Two or more races,14787,(+/- 2568 )
People,Hispanic or Latino and Race,Total population,755393,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),26479,(+/- 431 )
People,Hispanic or Latino and Race,Mexican,16752,(+/- 1792 )
People,Hispanic or Latino and Race,Puerto Rican,2099,(+/- 1145 )
People,Hispanic or Latino and Race,Cuban,428,(+/- 328 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,7200,(+/- 1800 )
