Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,"Sex and Age","Total population",740851,"(+/- 8898 )",728153,"(+/- 10356 )",782878,"(+/- 10345 )",710603,"(+/- 5646 )",717547,"(+/- 6025 )",696153,"(+/- 6663 )",725665,"(+/- 7640 )",730445,"(+/- 1618 )",720715,"(+/- 12440 )",721456,"(+/- 1608 )",675475,"(+/- 12916 )",780529,"(+/- 9024 )",715559,"(+/- 10929 )",724790,"(+/- 8151 )",772776,"(+/- 9546 )",715014,"(+/- 9129 )"
People,"Sex and Age",Male,359679,"(+/- 5440 )",355240,"(+/- 6015 )",378179,"(+/- 7001 )",352229,"(+/- 3842 )",356155,"(+/- 4111 )",349695,"(+/- 4098 )",354830,"(+/- 5054 )",357484,"(+/- 1741 )",352700,"(+/- 8348 )",349953,"(+/- 1222 )",315051,"(+/- 7044 )",387448,"(+/- 6960 )",346698,"(+/- 6512 )",355493,"(+/- 5499 )",387795,"(+/- 6543 )",350625,"(+/- 6068 )"
People,"Sex and Age",Female,381172,"(+/- 6004 )",372913,"(+/- 6789 )",404699,"(+/- 5587 )",358374,"(+/- 3916 )",361392,"(+/- 3961 )",346458,"(+/- 4406 )",370835,"(+/- 4553 )",372961,"(+/- 1841 )",368015,"(+/- 6154 )",371503,"(+/- 1190 )",360424,"(+/- 7722 )",393081,"(+/- 5115 )",368861,"(+/- 6240 )",369297,"(+/- 5116 )",384981,"(+/- 5256 )",364389,"(+/- 5335 )"
People,"Sex and Age","Under 5 years",48850,"(+/- 2360 )",44433,"(+/- 2427 )",57944,"(+/- 2376 )",40054,"(+/- 1776 )",41902,"(+/- 1987 )",36274,"(+/- 1390 )",43215,"(+/- 2327 )",44985,"(+/- 618 )",44117,"(+/- 3298 )",43301,"(+/- 556 )",39084,"(+/- 2998 )",48352,"(+/- 2260 )",36604,"(+/- 2649 )",39796,"(+/- 2459 )",47170,"(+/- 2662 )",39049,"(+/- 2728 )"
People,"Sex and Age","5 to 9 years",50911,"(+/- 3425 )",44839,"(+/- 3002 )",56988,"(+/- 3632 )",41116,"(+/- 2559 )",43151,"(+/- 2814 )",35853,"(+/- 2247 )",42591,"(+/- 2875 )",44938,"(+/- 3356 )",44385,"(+/- 3752 )",40654,"(+/- 2836 )",39579,"(+/- 3159 )",49417,"(+/- 2895 )",39968,"(+/- 2929 )",40854,"(+/- 2703 )",46688,"(+/- 3404 )",40816,"(+/- 2570 )"
People,"Sex and Age","10 to 14 years",50862,"(+/- 3301 )",44962,"(+/- 2956 )",44313,"(+/- 3310 )",47953,"(+/- 2379 )",48210,"(+/- 3155 )",45503,"(+/- 2422 )",50318,"(+/- 2856 )",50185,"(+/- 3326 )",42973,"(+/- 4268 )",46087,"(+/- 2843 )",40116,"(+/- 2696 )",56383,"(+/- 3443 )",40110,"(+/- 2522 )",47557,"(+/- 3154 )",45710,"(+/- 3197 )",43666,"(+/- 3702 )"
People,"Sex and Age","15 to 19 years",53672,"(+/- 2013 )",42488,"(+/- 2471 )",56020,"(+/- 3005 )",49208,"(+/- 2163 )",50811,"(+/- 2076 )",42013,"(+/- 2073 )",48849,"(+/- 2380 )",54681,"(+/- 1404 )",48713,"(+/- 3809 )",49003,"(+/- 1555 )",41924,"(+/- 3024 )",49188,"(+/- 2355 )",47671,"(+/- 2479 )",46255,"(+/- 2418 )",52411,"(+/- 2825 )",43593,"(+/- 2381 )"
People,"Sex and Age","20 to 24 years",48786,"(+/- 2627 )",40370,"(+/- 3076 )",62351,"(+/- 3062 )",42866,"(+/- 2081 )",49339,"(+/- 2142 )",38529,"(+/- 1916 )",43413,"(+/- 2554 )",51657,"(+/- 1313 )",46895,"(+/- 2912 )",50199,"(+/- 1273 )",48300,"(+/- 2863 )",46510,"(+/- 3158 )",56043,"(+/- 3112 )",37261,"(+/- 2755 )",52559,"(+/- 2528 )",42360,"(+/- 3092 )"
People,"Sex and Age","25 to 34 years",100445,"(+/- 3262 )",99596,"(+/- 3410 )",142192,"(+/- 4735 )",84502,"(+/- 2607 )",86896,"(+/- 2668 )",79972,"(+/- 2509 )",81977,"(+/- 3749 )",85890,"(+/- 2318 )",102021,"(+/- 5075 )",96401,"(+/- 1464 )",96723,"(+/- 3996 )",103059,"(+/- 4971 )",92867,"(+/- 3677 )",78843,"(+/- 3461 )",112798,"(+/- 4628 )",81219,"(+/- 4245 )"
People,"Sex and Age","35 to 44 years",88963,"(+/- 2800 )",89691,"(+/- 2792 )",101487,"(+/- 3708 )",84788,"(+/- 2587 )",82796,"(+/- 2281 )",80791,"(+/- 2493 )",83056,"(+/- 2902 )",84649,"(+/- 1661 )",86398,"(+/- 4587 )",81180,"(+/- 1481 )",73918,"(+/- 3487 )",105186,"(+/- 3502 )",77382,"(+/- 2879 )",82653,"(+/- 2988 )",99105,"(+/- 2835 )",80983,"(+/- 3143 )"
