Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",803883,"(+/- 2641 )",744806,"(+/- 2705 )",774066,"(+/- 3389 )",789947,"(+/- 4990 )",818162,"(+/- 3912 )"
People,"Sex and Age",Male,391654,"(+/- 1578 )",370690,"(+/- 2415 )",392774,"(+/- 3234 )",392325,"(+/- 3646 )",401543,"(+/- 2269 )"
People,"Sex and Age",Female,412229,"(+/- 1640 )",374116,"(+/- 2055 )",381292,"(+/- 3356 )",397622,"(+/- 3647 )",416619,"(+/- 2498 )"
People,"Sex and Age","Under 5 years",56235,"(+/- 476 )",45660,"(+/- 1435 )",52015,"(+/- 2026 )",48521,"(+/- 1765 )",60130,"(+/- 1642 )"
People,"Sex and Age","5 to 9 years",56466,"(+/- 1999 )",46573,"(+/- 2011 )",52193,"(+/- 2498 )",50802,"(+/- 2558 )",58671,"(+/- 2972 )"
People,"Sex and Age","10 to 14 years",56504,"(+/- 1871 )",51116,"(+/- 2141 )",52853,"(+/- 2652 )",55523,"(+/- 2576 )",58273,"(+/- 2989 )"
People,"Sex and Age","15 to 19 years",52735,"(+/- 929 )",51081,"(+/- 1756 )",55899,"(+/- 2533 )",60804,"(+/- 2581 )",52901,"(+/- 1124 )"
People,"Sex and Age","20 to 24 years",49203,"(+/- 862 )",46355,"(+/- 1617 )",58959,"(+/- 3011 )",60991,"(+/- 2673 )",53987,"(+/- 1474 )"
People,"Sex and Age","25 to 34 years",117424,"(+/- 1406 )",86514,"(+/- 1741 )",98901,"(+/- 2828 )",108631,"(+/- 3488 )",126991,"(+/- 1469 )"
People,"Sex and Age","35 to 44 years",101397,"(+/- 1031 )",86347,"(+/- 1407 )",91856,"(+/- 2771 )",101535,"(+/- 3102 )",105270,"(+/- 1360 )"
People,"Sex and Age","45 to 54 years",98406,"(+/- 1002 )",91956,"(+/- 1407 )",91471,"(+/- 2304 )",93265,"(+/- 2852 )",93050,"(+/- 1523 )"
People,"Sex and Age","55 to 59 years",50986,"(+/- 1962 )",51358,"(+/- 1904 )",52076,"(+/- 2853 )",50120,"(+/- 2391 )",50554,"(+/- 2755 )"
