Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",844175,"(+/- 4572 )",821129,"(+/- 3316 )",842158,"(+/- 8561 )",803611,"(+/- 4026 )",831703,"(+/- 6598 )"
People,"Sex and Age",Male,419176,"(+/- 3300 )",411321,"(+/- 3095 )",415714,"(+/- 4658 )",396450,"(+/- 3093 )",411355,"(+/- 3861 )"
People,"Sex and Age",Female,424999,"(+/- 3250 )",409808,"(+/- 2978 )",426444,"(+/- 4949 )",407161,"(+/- 2904 )",420348,"(+/- 4035 )"
People,"Sex and Age","Under 5 years",49911,"(+/- 1474 )",46429,"(+/- 1559 )",47360,"(+/- 1861 )",39377,"(+/- 1243 )",49176,"(+/- 1770 )"
People,"Sex and Age","5 to 9 years",49250,"(+/- 2779 )",51288,"(+/- 2916 )",46120,"(+/- 2590 )",42930,"(+/- 2952 )",53163,"(+/- 3375 )"
People,"Sex and Age","10 to 14 years",57909,"(+/- 3003 )",50754,"(+/- 2862 )",43853,"(+/- 3191 )",42560,"(+/- 2845 )",55780,"(+/- 3592 )"
People,"Sex and Age","15 to 19 years",52250,"(+/- 1613 )",49120,"(+/- 2458 )",44914,"(+/- 1827 )",52965,"(+/- 1988 )",53226,"(+/- 2131 )"
People,"Sex and Age","20 to 24 years",48852,"(+/- 1590 )",44787,"(+/- 2148 )",52912,"(+/- 2143 )",66555,"(+/- 2294 )",50140,"(+/- 2395 )"
People,"Sex and Age","25 to 34 years",125499,"(+/- 2814 )",98250,"(+/- 2709 )",148804,"(+/- 3448 )",99334,"(+/- 2237 )",106647,"(+/- 3030 )"
People,"Sex and Age","35 to 44 years",121205,"(+/- 2083 )",96182,"(+/- 2531 )",138470,"(+/- 3427 )",91009,"(+/- 2240 )",102623,"(+/- 2896 )"
People,"Sex and Age","45 to 54 years",112113,"(+/- 2174 )",101095,"(+/- 2660 )",108969,"(+/- 2670 )",91046,"(+/- 2201 )",104612,"(+/- 2641 )"
People,"Sex and Age","55 to 59 years",54095,"(+/- 2870 )",57226,"(+/- 3783 )",49196,"(+/- 2731 )",53981,"(+/- 2879 )",52946,"(+/- 2769 )"
People,"Sex and Age","60 to 64 years",51585,"(+/- 3022 )",59161,"(+/- 3283 )",50061,"(+/- 2718 )",60430,"(+/- 3059 )",57788,"(+/- 3099 )"
People,"Sex and Age","65 to 74 years",75185,"(+/- 1587 )",102424,"(+/- 1785 )",69397,"(+/- 1870 )",96711,"(+/- 1751 )",88821,"(+/- 2140 )"
People,"Sex and Age","75 to 84 years",34719,"(+/- 1552 )",47402,"(+/- 2269 )",29073,"(+/- 2183 )",46573,"(+/- 2392 )",39518,"(+/- 2094 )"
People,"Sex and Age","85 years and over",11602,"(+/- 1333 )",17011,"(+/- 1894 )",13029,"(+/- 1590 )",20140,"(+/- 2145 )",17263,"(+/- 1923 )"
People,"Sex and Age","Median age (years)",37.8,"(+/- 0.3 )",42.3,"(+/- 0.4 )",37.5,"(+/- 0.4 )",41.1,"(+/- 0.5 )",39.3,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",655013,"(+/- 3361 )",643178,"(+/- 3356 )",678777,"(+/- 6156 )",651323,"(+/- 3797 )",640711,"(+/- 4714 )"
People,"Sex and Age","65 years and over",121506,"(+/- 1601 )",166837,"(+/- 2331 )",111499,"(+/- 2455 )",163424,"(+/- 2379 )",145602,"(+/- 2659 )"
People,Race,"Total population",844175,"(+/- 4572 )",821129,"(+/- 3316 )",842158,"(+/- 8561 )",803611,"(+/- 4026 )",831703,"(+/- 6598 )"
People,Race,"One race",800806,"(+/- 5744 )",793114,"(+/- 4692 )",799831,"(+/- 10109 )",762763,"(+/- 5051 )",787520,"(+/- 8174 )"
People,Race,White,675017,"(+/- 7892 )",739241,"(+/- 6357 )",660691,"(+/- 10203 )",709844,"(+/- 5846 )",712449,"(+/- 9944 )"
People,Race,"Black or African American",15029,"(+/- 1697 )",5192,"(+/- 838 )",43459,"(+/- 3005 )",5902,"(+/- 1262 )",8168,"(+/- 1748 )"
People,Race,"American Indian and Alaska Native",5623,"(+/- 1998 )",18143,"(+/- 2577 )",8878,"(+/- 1601 )",6611,"(+/- 1393 )",8437,"(+/- 1912 )"
People,Race,Asian,67735,"(+/- 2561 )",9000,"(+/- 1278 )",60866,"(+/- 2730 )",20490,"(+/- 1845 )",23568,"(+/- 2401 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2462,"(+/- 1203 )",1189,"(+/- 574 )",5924,"(+/- 1101 )",1560,"(+/- 682 )",5009,"(+/- 1189 )"
People,Race,"Some other race",34940,"(+/- 4997 )",20349,"(+/- 4614 )",20013,"(+/- 5372 )",18356,"(+/- 3903 )",29889,"(+/- 5783 )"
People,Race,"Two or more races",43369,"(+/- 4245 )",28015,"(+/- 2784 )",42327,"(+/- 4733 )",40848,"(+/- 3461 )",44183,"(+/- 5067 )"
People,"Hispanic or Latino and Race","Total population",844175,"(+/- 4572 )",821129,"(+/- 3316 )",842158,"(+/- 8561 )",803611,"(+/- 4026 )",831703,"(+/- 6598 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",127775,"(+/- 2601 )",115240,"(+/- 910 )",94967,"(+/- 4067 )",64360,"(+/- 911 )",138582,"(+/- 2730 )"
People,"Hispanic or Latino and Race",Mexican,98123,"(+/- 5377 )",102248,"(+/- 3153 )",72223,"(+/- 4957 )",45805,"(+/- 3611 )",115789,"(+/- 4506 )"
People,"Hispanic or Latino and Race","Puerto Rican",3521,"(+/- 1243 )",3669,"(+/- 2106 )",2851,"(+/- 1100 )",2469,"(+/- 1282 )",3829,"(+/- 2118 )"
People,"Hispanic or Latino and Race",Cuban,1227,"(+/- 866 )",1085,"(+/- 682 )",3866,"(+/- 1881 )",902,"(+/- 553 )",1790,"(+/- 1040 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",24904,"(+/- 5773 )",8238,"(+/- 2165 )",16027,"(+/- 3415 )",15184,"(+/- 3449 )",17174,"(+/- 3637 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",716400,"(+/- 4018 )",705889,"(+/- 3230 )",747191,"(+/- 7933 )",739251,"(+/- 4030 )",693121,"(+/- 6011 )"
People,"Place of Birth","Total population",844175,"(+/- 4572 )",821129,"(+/- 3316 )",842158,"(+/- 8561 )",803611,"(+/- 4026 )",831703,"(+/- 6598 )"
People,"Place of Birth",Native,724471,"(+/- 6680 )",768186,"(+/- 4536 )",729893,"(+/- 9484 )",762112,"(+/- 5141 )",749396,"(+/- 6859 )"
