Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",728366,"(+/- 19204 )",726135,"(+/- 18162 )",691184,"(+/- 5313 )",729945,"(+/- 5227 )",696063,"(+/- 5277 )",728576,"(+/- 12518 )",725762,"(+/- 12957 )",713998,"(+/- 5906 )",687620,"(+/- 5514 )",694398,"(+/- 7523 )",701056,"(+/- 8057 )",689237,"(+/- 8282 )",728475,"(+/- 16023 )",687028,"(+/- 8151 )",734824,"(+/- 8738 )",731802,"(+/- 8387 )",697535,"(+/- 10352 )",713533,"(+/- 8247 )"
People,"Sex and Age",Male,355182,"(+/- 10878 )",331681,"(+/- 9866 )",342327,"(+/- 3380 )",359434,"(+/- 3781 )",356643,"(+/- 3599 )",359079,"(+/- 8179 )",357223,"(+/- 7129 )",351733,"(+/- 3772 )",338429,"(+/- 3376 )",347728,"(+/- 4788 )",342795,"(+/- 4844 )",339999,"(+/- 5660 )",348371,"(+/- 9640 )",329045,"(+/- 5242 )",359570,"(+/- 5438 )",357023,"(+/- 5451 )",349098,"(+/- 5690 )",347161,"(+/- 5444 )"
People,"Sex and Age",Female,373184,"(+/- 11993 )",394454,"(+/- 11492 )",348857,"(+/- 3159 )",370511,"(+/- 3583 )",339420,"(+/- 3262 )",369497,"(+/- 6392 )",368539,"(+/- 7369 )",362265,"(+/- 3406 )",349191,"(+/- 3070 )",346670,"(+/- 4791 )",358261,"(+/- 5111 )",349238,"(+/- 4870 )",380104,"(+/- 9294 )",357983,"(+/- 4806 )",375254,"(+/- 4755 )",374779,"(+/- 5070 )",348437,"(+/- 6420 )",366372,"(+/- 4651 )"
People,"Sex and Age","Under 5 years",51160,"(+/- 4411 )",43372,"(+/- 3814 )",36084,"(+/- 1142 )",42328,"(+/- 1537 )",33797,"(+/- 1062 )",42191,"(+/- 2656 )",40234,"(+/- 2756 )",35225,"(+/- 1098 )",34901,"(+/- 1340 )",34079,"(+/- 1397 )",36241,"(+/- 1944 )",35027,"(+/- 1976 )",44383,"(+/- 4413 )",33293,"(+/- 2308 )",39798,"(+/- 1875 )",49425,"(+/- 1781 )",35075,"(+/- 1914 )",38405,"(+/- 2300 )"
People,"Sex and Age","5 to 9 years",45144,"(+/- 4313 )",37520,"(+/- 3478 )",36484,"(+/- 2279 )",45053,"(+/- 3153 )",35941,"(+/- 2007 )",43102,"(+/- 3766 )",46199,"(+/- 3359 )",38034,"(+/- 2209 )",36763,"(+/- 2092 )",34887,"(+/- 1960 )",37365,"(+/- 2801 )",38029,"(+/- 2359 )",44826,"(+/- 3823 )",29121,"(+/- 1812 )",39656,"(+/- 3166 )",49646,"(+/- 2339 )",36901,"(+/- 2499 )",35208,"(+/- 3165 )"
People,"Sex and Age","10 to 14 years",44119,"(+/- 4483 )",40748,"(+/- 4258 )",41510,"(+/- 2140 )",46017,"(+/- 3016 )",36415,"(+/- 1603 )",45060,"(+/- 3120 )",45731,"(+/- 3391 )",45149,"(+/- 2351 )",41258,"(+/- 2133 )",47365,"(+/- 2590 )",39097,"(+/- 2719 )",42042,"(+/- 3660 )",49029,"(+/- 4024 )",32093,"(+/- 2442 )",52694,"(+/- 3230 )",48557,"(+/- 2894 )",39781,"(+/- 3153 )",42538,"(+/- 3265 )"
People,"Sex and Age","15 to 19 years",43745,"(+/- 4405 )",50626,"(+/- 4039 )",46287,"(+/- 1566 )",46136,"(+/- 1872 )",51663,"(+/- 1971 )",47212,"(+/- 2944 )",49021,"(+/- 2933 )",45574,"(+/- 1774 )",45564,"(+/- 1469 )",47942,"(+/- 2000 )",43698,"(+/- 2025 )",37210,"(+/- 2061 )",39885,"(+/- 4041 )",42480,"(+/- 2608 )",51986,"(+/- 1985 )",50769,"(+/- 2341 )",42018,"(+/- 2404 )",41573,"(+/- 2807 )"
People,"Sex and Age","20 to 24 years",51296,"(+/- 4148 )",62267,"(+/- 4312 )",43930,"(+/- 1621 )",43707,"(+/- 1722 )",60263,"(+/- 2377 )",45093,"(+/- 3116 )",42302,"(+/- 3090 )",40293,"(+/- 1693 )",42358,"(+/- 1630 )",39500,"(+/- 2525 )",45399,"(+/- 2022 )",32003,"(+/- 1848 )",41586,"(+/- 3030 )",55170,"(+/- 2117 )",50538,"(+/- 2302 )",49216,"(+/- 2509 )",45494,"(+/- 3011 )",36791,"(+/- 2192 )"
People,"Sex and Age","25 to 34 years",139007,"(+/- 7074 )",131681,"(+/- 6795 )",79637,"(+/- 2553 )",91364,"(+/- 2640 )",81648,"(+/- 2249 )",89476,"(+/- 3444 )",79914,"(+/- 3464 )",82346,"(+/- 2412 )",77568,"(+/- 2011 )",75234,"(+/- 2653 )",87440,"(+/- 3037 )",74101,"(+/- 3440 )",111484,"(+/- 6627 )",123809,"(+/- 3346 )",90817,"(+/- 3979 )",96919,"(+/- 2683 )",84812,"(+/- 3020 )",84465,"(+/- 3288 )"
People,"Sex and Age","35 to 44 years",95395,"(+/- 5051 )",83646,"(+/- 4456 )",76988,"(+/- 1805 )",88514,"(+/- 2434 )",75353,"(+/- 1700 )",87613,"(+/- 4108 )",83559,"(+/- 3406 )",83404,"(+/- 2042 )",75891,"(+/- 1901 )",73855,"(+/- 2486 )",78740,"(+/- 3137 )",80955,"(+/- 3543 )",92129,"(+/- 4362 )",73382,"(+/- 3062 )",88688,"(+/- 2932 )",84382,"(+/- 2472 )",83137,"(+/- 3246 )",83590,"(+/- 3100 )"
