Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",3337177,(*****)
People,"Sex and Age",Male,1591997,"(+/- 4788 )"
People,"Sex and Age",Female,1745180,"(+/- 4788 )"
People,"Sex and Age","Under 5 years",146699,"(+/- 1443 )"
People,"Sex and Age","5 to 9 years",172834,"(+/- 7123 )"
People,"Sex and Age","10 to 14 years",205425,"(+/- 7547 )"
People,"Sex and Age","15 to 19 years",231633,"(+/- 5918 )"
People,"Sex and Age","20 to 24 years",236911,"(+/- 5982 )"
People,"Sex and Age","25 to 34 years",396657,"(+/- 5706 )"
People,"Sex and Age","35 to 44 years",427844,"(+/- 4615 )"
People,"Sex and Age","45 to 54 years",430603,"(+/- 3930 )"
People,"Sex and Age","55 to 59 years",217142,"(+/- 6944 )"
People,"Sex and Age","60 to 64 years",212674,"(+/- 6943 )"
People,"Sex and Age","65 to 74 years",368874,"(+/- 1393 )"
People,"Sex and Age","75 to 84 years",215153,"(+/- 5304 )"
People,"Sex and Age","85 years and over",74728,"(+/- 5075 )"
People,"Sex and Age","Median age (years)",41.4,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",2680383,(*****)
People,"Sex and Age","65 years and over",658755,(*****)
People,Race,"Total population",3337177,(*****)
People,Race,"One race",3161359,"(+/- 11637 )"
People,Race,White,2210728,"(+/- 25678 )"
People,Race,"Black or African American",403659,"(+/- 18645 )"
People,Race,"American Indian and Alaska Native",7934,"(+/- 2447 )"
People,Race,Asian,5424,"(+/- 1934 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 262 )"
People,Race,"Some other race",533614,"(+/- 20287 )"
People,Race,"Two or more races",175818,"(+/- 11637 )"
People,"Hispanic or Latino and Race","Total population",3337177,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",3306460,"(+/- 4712 )"
People,"Hispanic or Latino and Race",Mexican,8231,"(+/- 2106 )"
People,"Hispanic or Latino and Race","Puerto Rican",3201679,"(+/- 9267 )"
People,"Hispanic or Latino and Race",Cuban,16097,"(+/- 2968 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",80453,"(+/- 7432 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",30717,"(+/- 4712 )"
People,"Place of Birth","Total population",3337177,(*****)
People,"Place of Birth",Native,3245775,"(+/- 7516 )"
People,"Place of Birth","Born in Puerto Rico or the United States",3236542,"(+/- 7393 )"
People,"Place of Birth","In Puerto Rico",3070349,"(+/- 10293 )"
People,"Place of Birth","In the United States",166193,"(+/- 9039 )"
People,"Place of Birth","Born in U.S. Island areas, or born abroad of American parents",9233,"(+/- 1970 )"
People,"Place of Birth","Foreign born",91402,"(+/- 7516 )"
People,Ancestry,"Total population",N,(N)
People,Ancestry,American,N,(N)
People,Ancestry,Arab,N,(N)
People,Ancestry,Czech,N,(N)
People,Ancestry,Danish,N,(N)
People,Ancestry,Dutch,N,(N)
People,Ancestry,English,N,(N)
People,Ancestry,"French (except Basque)",N,(N)
People,Ancestry,"French Canadian",N,(N)
People,Ancestry,German,N,(N)
People,Ancestry,Greek,N,(N)
People,Ancestry,Hungarian,N,(N)
People,Ancestry,Irish,N,(N)
People,Ancestry,Italian,N,(N)
People,Ancestry,Lithuanian,N,(N)
People,Ancestry,Norwegian,N,(N)
People,Ancestry,Polish,N,(N)
People,Ancestry,Portuguese,N,(N)
People,Ancestry,Russian,N,(N)
People,Ancestry,Scotch-Irish,N,(N)
People,Ancestry,Scottish,N,(N)
People,Ancestry,Slovak,N,(N)
People,Ancestry,"Subsaharan African",N,(N)
People,Ancestry,Swedish,N,(N)
People,Ancestry,Swiss,N,(N)
People,Ancestry,Ukrainian,N,(N)
People,Ancestry,Welsh,N,(N)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",N,(N)
People,"Veteran Status","Civilian population 18 years and over",2678400,"(+/- 1048 )"
People,"Veteran Status","Civilian veterans",71434,"(+/- 4648 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",3309977,"(+/- 1047 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",713475,"(+/- 15723 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",656129,"(+/- 188 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53668,"(+/- 4344 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",2000572,"(+/- 1188 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",340717,"(+/- 12168 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",653276,"(+/- 514 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",319090,"(+/- 7414 )"
People,"Residence 1 Year Ago","Population 1 year and over",3313519,"(+/- 3560 )"
People,"Residence 1 Year Ago","Same house",3101332,"(+/- 13351 )"
People,"Residence 1 Year Ago","Different house in Puerto Rico or the U.S.",209201,"(+/- 13101 )"
People,"Residence 1 Year Ago","In Puerto Rico",189034,"(+/- 12193 )"
People,"Residence 1 Year Ago","Same municipio",113393,"(+/- 10269 )"
People,"Residence 1 Year Ago","Different municipio",75641,"(+/- 6846 )"
People,"Residence 1 Year Ago","In the United States",20167,"(+/- 4285 )"
People,"Residence 1 Year Ago",Elsewhere,2986,"(+/- 1148 )"
Workers,"Employment Status","Population 16 years and over",2771523,"(+/- 3026 )"
Workers,"Employment Status","In labor force",1201605,"(+/- 17497 )"
Workers,"Employment Status","Civilian labor force",1199622,"(+/- 17430 )"
Workers,"Employment Status",Employed,1002763,"(+/- 16743 )"
Workers,"Employment Status",Unemployed,196859,"(+/- 8771 )"
