Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",539250,"(+/- 7218 )",520389,"(+/- 7218 )"
People,"Sex and Age",Male,259565,"(+/- 4678 )",253633,"(+/- 4538 )"
People,"Sex and Age",Female,279685,"(+/- 4956 )",266756,"(+/- 5170 )"
People,"Sex and Age","Under 5 years",27488,"(+/- 2196 )",27531,"(+/- 2208 )"
People,"Sex and Age","5 to 9 years",30414,"(+/- 2461 )",24770,"(+/- 2037 )"
People,"Sex and Age","10 to 14 years",31154,"(+/- 2677 )",27949,"(+/- 2512 )"
People,"Sex and Age","15 to 19 years",37514,"(+/- 2416 )",37399,"(+/- 2289 )"
People,"Sex and Age","20 to 24 years",40157,"(+/- 2505 )",38294,"(+/- 2348 )"
People,"Sex and Age","25 to 34 years",79239,"(+/- 3343 )",66517,"(+/- 3090 )"
People,"Sex and Age","35 to 44 years",61461,"(+/- 3110 )",61726,"(+/- 2928 )"
People,"Sex and Age","45 to 54 years",72670,"(+/- 2575 )",69987,"(+/- 2528 )"
People,"Sex and Age","55 to 59 years",37951,"(+/- 2395 )",37440,"(+/- 2409 )"
People,"Sex and Age","60 to 64 years",34202,"(+/- 2764 )",39204,"(+/- 2745 )"
People,"Sex and Age","65 to 74 years",49215,"(+/- 2265 )",51870,"(+/- 2199 )"
People,"Sex and Age","75 to 84 years",26576,"(+/- 1991 )",25552,"(+/- 2238 )"
People,"Sex and Age","85 years and over",11209,"(+/- 1439 )",12150,"(+/- 1831 )"
People,"Sex and Age","Median age (years)",38.5,"(+/- 0.9 )",40.5,"(+/- 1.0 )"
People,"Sex and Age","18 years and over",431225,"(+/- 5289 )",421442,"(+/- 5218 )"
People,"Sex and Age","65 years and over",87000,"(+/- 2783 )",89572,"(+/- 2811 )"
People,Race,"Total population",539250,"(+/- 7218 )",520389,"(+/- 7218 )"
People,Race,"One race",517011,"(+/- 7393 )",507976,"(+/- 7075 )"
People,Race,White,415975,"(+/- 7341 )",450283,"(+/- 6676 )"
People,Race,"Black or African American",44282,"(+/- 5494 )",22378,"(+/- 4438 )"
People,Race,"American Indian and Alaska Native",3061,"(+/- 1591 )",2519,"(+/- 1138 )"
People,Race,Asian,19159,"(+/- 2417 )",18899,"(+/- 2338 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1087,"(+/- 1175 )",41,"(+/- 76 )"
People,Race,"Some other race",33447,"(+/- 5669 )",13856,"(+/- 3529 )"
People,Race,"Two or more races",22239,"(+/- 4689 )",12413,"(+/- 2780 )"
People,"Hispanic or Latino and Race","Total population",539250,"(+/- 7218 )",520389,"(+/- 7218 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",98293,"(+/- 6842 )",65053,"(+/- 6803 )"
People,"Hispanic or Latino and Race",Mexican,6360,"(+/- 2251 )",4175,"(+/- 1573 )"
People,"Hispanic or Latino and Race","Puerto Rican",28153,"(+/- 5144 )",11912,"(+/- 2668 )"
People,"Hispanic or Latino and Race",Cuban,1194,"(+/- 849 )",909,"(+/- 597 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",62586,"(+/- 6960 )",48057,"(+/- 7674 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",440957,"(+/- 6388 )",455336,"(+/- 6320 )"
People,"Place of Birth","Total population",539250,"(+/- 7218 )",520389,"(+/- 7218 )"
People,"Place of Birth",Native,446537,"(+/- 6672 )",466085,"(+/- 6620 )"
People,"Place of Birth","Born in United States",432212,"(+/- 6718 )",458793,"(+/- 6810 )"
People,"Place of Birth","State of residence",265241,"(+/- 7001 )",323279,"(+/- 7457 )"
People,"Place of Birth","Different state",166971,"(+/- 6701 )",135514,"(+/- 7619 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",14325,"(+/- 2033 )",7292,"(+/- 1485 )"
People,"Place of Birth","Foreign born",92713,"(+/- 6173 )",54304,"(+/- 5243 )"
