Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",782340,"(+/- 7561 )",713488,"(+/- 10939 )",687378,"(+/- 5850 )",731886,"(+/- 6841 )",718465,"(+/- 5329 )",670725,"(+/- 14486 )",720087,"(+/- 2593 )"
People,"Sex and Age",Male,376452,"(+/- 5484 )",346788,"(+/- 6127 )",339042,"(+/- 3676 )",353921,"(+/- 3735 )",348126,"(+/- 3838 )",325529,"(+/- 9144 )",347044,"(+/- 3177 )"
People,"Sex and Age",Female,405888,"(+/- 5021 )",366700,"(+/- 6751 )",348336,"(+/- 3793 )",377965,"(+/- 3849 )",370339,"(+/- 3396 )",345196,"(+/- 8727 )",373043,"(+/- 3274 )"
People,"Sex and Age","Under 5 years",46546,"(+/- 2075 )",41440,"(+/- 1713 )",36025,"(+/- 1687 )",45288,"(+/- 1478 )",42786,"(+/- 1896 )",38791,"(+/- 2834 )",38663,"(+/- 1216 )"
People,"Sex and Age","5 to 9 years",47281,"(+/- 3346 )",44478,"(+/- 3266 )",44459,"(+/- 3460 )",45078,"(+/- 2673 )",44070,"(+/- 2932 )",40329,"(+/- 3274 )",41977,"(+/- 3138 )"
People,"Sex and Age","10 to 14 years",47478,"(+/- 3135 )",49947,"(+/- 2632 )",40893,"(+/- 2383 )",48368,"(+/- 3072 )",50216,"(+/- 2925 )",37039,"(+/- 3639 )",43119,"(+/- 3219 )"
People,"Sex and Age","15 to 19 years",47412,"(+/- 3256 )",50715,"(+/- 3174 )",48328,"(+/- 2300 )",48129,"(+/- 1563 )",48457,"(+/- 2775 )",49253,"(+/- 3858 )",44510,"(+/- 2299 )"
People,"Sex and Age","20 to 24 years",42153,"(+/- 3668 )",41386,"(+/- 2544 )",47954,"(+/- 2650 )",48005,"(+/- 1637 )",42564,"(+/- 2397 )",66600,"(+/- 4290 )",40781,"(+/- 2224 )"
People,"Sex and Age","25 to 34 years",112019,"(+/- 3414 )",93453,"(+/- 3925 )",79197,"(+/- 2976 )",100041,"(+/- 2366 )",86737,"(+/- 3026 )",93264,"(+/- 5326 )",83768,"(+/- 2933 )"
People,"Sex and Age","35 to 44 years",100315,"(+/- 2977 )",89551,"(+/- 3023 )",81303,"(+/- 3120 )",93134,"(+/- 2254 )",91018,"(+/- 2715 )",79870,"(+/- 4302 )",84572,"(+/- 2814 )"
People,"Sex and Age","45 to 54 years",100721,"(+/- 2565 )",94844,"(+/- 3321 )",90882,"(+/- 2151 )",96045,"(+/- 2242 )",98126,"(+/- 2413 )",73086,"(+/- 3896 )",90450,"(+/- 2508 )"
People,"Sex and Age","55 to 59 years",50733,"(+/- 3175 )",46078,"(+/- 2647 )",45780,"(+/- 2459 )",46956,"(+/- 2805 )",46782,"(+/- 2814 )",44665,"(+/- 3818 )",50883,"(+/- 3126 )"
People,"Sex and Age","60 to 64 years",49724,"(+/- 3420 )",48843,"(+/- 3039 )",46765,"(+/- 2851 )",46332,"(+/- 2728 )",47086,"(+/- 2913 )",42018,"(+/- 3187 )",52993,"(+/- 3304 )"
People,"Sex and Age","65 to 74 years",86615,"(+/- 2589 )",68652,"(+/- 1852 )",74419,"(+/- 1595 )",69060,"(+/- 1629 )",76639,"(+/- 2207 )",65407,"(+/- 3422 )",96850,"(+/- 1704 )"
People,"Sex and Age","75 to 84 years",36975,"(+/- 2397 )",32052,"(+/- 1687 )",39375,"(+/- 2169 )",33109,"(+/- 1940 )",34201,"(+/- 2016 )",29679,"(+/- 2386 )",39403,"(+/- 1542 )"
People,"Sex and Age","85 years and over",14368,"(+/- 1907 )",12049,"(+/- 1388 )",11998,"(+/- 1572 )",12341,"(+/- 1610 )",9783,"(+/- 1129 )",10724,"(+/- 1468 )",12118,"(+/- 1495 )"
People,"Sex and Age","Median age (years)",39.5,"(+/- 0.6 )",38.7,"(+/- 0.6 )",40.6,"(+/- 0.5 )",38.2,"(+/- 0.5 )",40.1,"(+/- 0.5 )",36.0,"(+/- 0.7 )",42.9,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",612941,"(+/- 5974 )",550649,"(+/- 7523 )",539522,"(+/- 4466 )",564023,"(+/- 5011 )",553244,"(+/- 4109 )",532812,"(+/- 10544 )",569458,"(+/- 2512 )"
People,"Sex and Age","65 years and over",137958,"(+/- 3381 )",112753,"(+/- 2156 )",125792,"(+/- 2039 )",114510,"(+/- 1935 )",120623,"(+/- 2289 )",105810,"(+/- 4161 )",148371,"(+/- 1649 )"
People,Race,"Total population",782340,"(+/- 7561 )",713488,"(+/- 10939 )",687378,"(+/- 5850 )",731886,"(+/- 6841 )",718465,"(+/- 5329 )",670725,"(+/- 14486 )",720087,"(+/- 2593 )"
People,Race,"One race",762299,"(+/- 7613 )",699365,"(+/- 11020 )",675038,"(+/- 6199 )",710000,"(+/- 8020 )",702545,"(+/- 6110 )",660737,"(+/- 14301 )",707156,"(+/- 3143 )"
People,Race,White,581337,"(+/- 5919 )",500554,"(+/- 5652 )",525825,"(+/- 5611 )",537222,"(+/- 7199 )",493772,"(+/- 4261 )",261733,"(+/- 8532 )",479776,"(+/- 3334 )"
People,Race,"Black or African American",152737,"(+/- 8055 )",169771,"(+/- 9342 )",128875,"(+/- 5046 )",130730,"(+/- 6062 )",189083,"(+/- 4091 )",380428,"(+/- 12539 )",205761,"(+/- 3860 )"
People,Race,"American Indian and Alaska Native",1923,"(+/- 882 )",2202,"(+/- 750 )",2485,"(+/- 1618 )",1543,"(+/- 821 )",2500,"(+/- 563 )",1676,"(+/- 723 )",2678,"(+/- 821 )"
People,Race,Asian,14025,"(+/- 2138 )",14042,"(+/- 1994 )",5545,"(+/- 777 )",18625,"(+/- 1739 )",8810,"(+/- 1226 )",7817,"(+/- 2203 )",7317,"(+/- 1332 )"
People,Race,"Native Hawaiian and Other Pacific Islander",205,"(+/- 346 )",505,"(+/- 51 )",85,"(+/- 139 )",4600,"(+/- 4574 )",311,"(+/- 390 )",288,"(+/- 260 )",395,"(+/- 502 )"
People,Race,"Some other race",12072,"(+/- 2770 )",12291,"(+/- 3290 )",12223,"(+/- 3800 )",17280,"(+/- 3784 )",8069,"(+/- 2017 )",8795,"(+/- 2549 )",11229,"(+/- 2743 )"
People,Race,"Two or more races",20041,"(+/- 3451 )",14123,"(+/- 2739 )",12340,"(+/- 2923 )",21886,"(+/- 3660 )",15920,"(+/- 2944 )",9988,"(+/- 2044 )",12931,"(+/- 2473 )"
People,"Hispanic or Latino and Race","Total population",782340,"(+/- 7561 )",713488,"(+/- 10939 )",687378,"(+/- 5850 )",731886,"(+/- 6841 )",718465,"(+/- 5329 )",670725,"(+/- 14486 )",720087,"(+/- 2593 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",48070,"(+/- 2448 )",43007,"(+/- 2292 )",36729,"(+/- 2524 )",60210,"(+/- 2575 )",30968,"(+/- 1612 )",36153,"(+/- 3902 )",30853,"(+/- 636 )"
People,"Hispanic or Latino and Race",Mexican,24740,"(+/- 3289 )",21381,"(+/- 3213 )",20133,"(+/- 4077 )",32353,"(+/- 3977 )",17229,"(+/- 2698 )",20813,"(+/- 3266 )",14989,"(+/- 2649 )"
People,"Hispanic or Latino and Race","Puerto Rican",8833,"(+/- 2661 )",7608,"(+/- 2466 )",5083,"(+/- 1877 )",7811,"(+/- 1924 )",4333,"(+/- 1473 )",4221,"(+/- 1518 )",3136,"(+/- 1283 )"
People,"Hispanic or Latino and Race",Cuban,363,"(+/- 275 )",2118,"(+/- 1256 )",2182,"(+/- 1262 )",2128,"(+/- 996 )",2037,"(+/- 1261 )",785,"(+/- 491 )",646,"(+/- 500 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",14134,"(+/- 3287 )",11900,"(+/- 2829 )",9331,"(+/- 2931 )",17918,"(+/- 3441 )",7369,"(+/- 2167 )",10334,"(+/- 2431 )",12082,"(+/- 2589 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",734270,"(+/- 7836 )",670481,"(+/- 10715 )",650649,"(+/- 5538 )",671676,"(+/- 6402 )",687497,"(+/- 5198 )",634572,"(+/- 14697 )",689234,"(+/- 2738 )"
People,"Place of Birth","Total population",782340,"(+/- 7561 )",713488,"(+/- 10939 )",687378,"(+/- 5850 )",731886,"(+/- 6841 )",718465,"(+/- 5329 )",670725,"(+/- 14486 )",720087,"(+/- 2593 )"
People,"Place of Birth",Native,739291,"(+/- 8998 )",674376,"(+/- 11360 )",665275,"(+/- 5959 )",675323,"(+/- 7708 )",692033,"(+/- 6032 )",642897,"(+/- 15014 )",690880,"(+/- 4023 )"
People,"Place of Birth","Born in United States",728443,"(+/- 9187 )",663211,"(+/- 10910 )",660960,"(+/- 5895 )",666739,"(+/- 7811 )",684040,"(+/- 6521 )",638878,"(+/- 15007 )",685468,"(+/- 3927 )"
People,"Place of Birth","State of residence",338347,"(+/- 10377 )",375554,"(+/- 11635 )",444993,"(+/- 8167 )",397875,"(+/- 10152 )",403159,"(+/- 9463 )",463762,"(+/- 12884 )",398074,"(+/- 9087 )"
People,"Place of Birth","Different state",390096,"(+/- 7330 )",287657,"(+/- 8947 )",215967,"(+/- 7629 )",268864,"(+/- 9869 )",280881,"(+/- 7497 )",175116,"(+/- 6634 )",287394,"(+/- 8985 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",10848,"(+/- 2064 )",11165,"(+/- 2059 )",4315,"(+/- 1553 )",8584,"(+/- 2080 )",7993,"(+/- 1930 )",4019,"(+/- 1019 )",5412,"(+/- 1401 )"
People,"Place of Birth","Foreign born",43049,"(+/- 4400 )",39112,"(+/- 3899 )",22103,"(+/- 2719 )",56563,"(+/- 5079 )",26432,"(+/- 3319 )",27828,"(+/- 3807 )",29207,"(+/- 2907 )"
People,Ancestry,"Total population",782340,"(+/- 7561 )",713488,"(+/- 10939 )",687378,"(+/- 5850 )",731886,"(+/- 6841 )",718465,"(+/- 5329 )",670725,"(+/- 14486 )",720087,"(+/- 2593 )"
People,Ancestry,American,100555,"(+/- 9926 )",98782,"(+/- 7084 )",89708,"(+/- 6641 )",61064,"(+/- 5559 )",97249,"(+/- 7246 )",44154,"(+/- 4774 )",74566,"(+/- 6695 )"
People,Ancestry,Arab,600,"(+/- 351 )",1869,"(+/- 823 )",1011,"(+/- 579 )",3017,"(+/- 1338 )",637,"(+/- 441 )",649,"(+/- 474 )",2301,"(+/- 1772 )"
People,Ancestry,Czech,2207,"(+/- 842 )",930,"(+/- 708 )",982,"(+/- 659 )",1952,"(+/- 1417 )",1127,"(+/- 846 )",484,"(+/- 458 )",1089,"(+/- 708 )"
People,Ancestry,Danish,1732,"(+/- 760 )",717,"(+/- 663 )",1085,"(+/- 678 )",1101,"(+/- 583 )",464,"(+/- 391 )",401,"(+/- 369 )",882,"(+/- 479 )"
People,Ancestry,Dutch,7108,"(+/- 1833 )",5668,"(+/- 1162 )",3922,"(+/- 1077 )",7004,"(+/- 2162 )",6963,"(+/- 2027 )",2550,"(+/- 897 )",6343,"(+/- 2306 )"
People,Ancestry,English,77585,"(+/- 6210 )",59981,"(+/- 5194 )",56100,"(+/- 5366 )",69934,"(+/- 4980 )",48839,"(+/- 5257 )",29740,"(+/- 3549 )",66645,"(+/- 5503 )"
People,Ancestry,"French (except Basque)",18679,"(+/- 2823 )",14763,"(+/- 2401 )",11078,"(+/- 2123 )",15560,"(+/- 3065 )",11278,"(+/- 2731 )",6033,"(+/- 1226 )",12539,"(+/- 2773 )"
People,Ancestry,"French Canadian",4651,"(+/- 1452 )",2430,"(+/- 948 )",2872,"(+/- 1461 )",2688,"(+/- 1235 )",1962,"(+/- 1157 )",976,"(+/- 445 )",2481,"(+/- 1033 )"
People,Ancestry,German,93742,"(+/- 7485 )",78770,"(+/- 6329 )",60681,"(+/- 4870 )",79493,"(+/- 5791 )",61069,"(+/- 5256 )",35047,"(+/- 4192 )",62145,"(+/- 5383 )"
People,Ancestry,Greek,2589,"(+/- 1409 )",1624,"(+/- 703 )",1721,"(+/- 1223 )",2404,"(+/- 883 )",924,"(+/- 648 )",1686,"(+/- 757 )",1066,"(+/- 579 )"
People,Ancestry,Hungarian,3752,"(+/- 1813 )",1764,"(+/- 1171 )",1220,"(+/- 651 )",1503,"(+/- 698 )",1066,"(+/- 547 )",904,"(+/- 466 )",2370,"(+/- 985 )"
People,Ancestry,Irish,93627,"(+/- 7436 )",60186,"(+/- 5052 )",66533,"(+/- 5613 )",66798,"(+/- 6073 )",55864,"(+/- 6158 )",31221,"(+/- 3580 )",72664,"(+/- 5718 )"
People,Ancestry,Italian,32988,"(+/- 4001 )",18185,"(+/- 2220 )",18717,"(+/- 2683 )",24770,"(+/- 3629 )",20903,"(+/- 3544 )",7711,"(+/- 1313 )",33376,"(+/- 4222 )"
People,Ancestry,Lithuanian,1792,"(+/- 902 )",532,"(+/- 376 )",399,"(+/- 330 )",395,"(+/- 356 )",376,"(+/- 412 )",299,"(+/- 228 )",1418,"(+/- 821 )"
People,Ancestry,Norwegian,4633,"(+/- 1354 )",3400,"(+/- 1592 )",1948,"(+/- 795 )",2669,"(+/- 1023 )",2626,"(+/- 1076 )",1273,"(+/- 808 )",1961,"(+/- 642 )"
People,Ancestry,Polish,20159,"(+/- 3138 )",8114,"(+/- 1767 )",8698,"(+/- 2121 )",10535,"(+/- 2192 )",8460,"(+/- 2272 )",4448,"(+/- 1427 )",9237,"(+/- 2019 )"
People,Ancestry,Portuguese,1807,"(+/- 1075 )",1354,"(+/- 994 )",1248,"(+/- 1010 )",1419,"(+/- 607 )",1001,"(+/- 701 )",506,"(+/- 272 )",669,"(+/- 433 )"
People,Ancestry,Russian,4088,"(+/- 1917 )",2798,"(+/- 925 )",603,"(+/- 354 )",4696,"(+/- 1453 )",1285,"(+/- 966 )",1029,"(+/- 639 )",2087,"(+/- 897 )"
People,Ancestry,Scotch-Irish,15206,"(+/- 3147 )",14785,"(+/- 2740 )",17027,"(+/- 2319 )",22524,"(+/- 3229 )",24921,"(+/- 4093 )",5701,"(+/- 1218 )",21558,"(+/- 3791 )"
People,Ancestry,Scottish,22572,"(+/- 4309 )",16484,"(+/- 2676 )",13371,"(+/- 2546 )",22033,"(+/- 4023 )",13892,"(+/- 2552 )",8552,"(+/- 2267 )",15370,"(+/- 2902 )"
People,Ancestry,Slovak,998,"(+/- 543 )",607,"(+/- 447 )",717,"(+/- 420 )",632,"(+/- 340 )",1101,"(+/- 597 )",110,"(+/- 147 )",1089,"(+/- 651 )"
People,Ancestry,"Subsaharan African",11165,"(+/- 3504 )",11610,"(+/- 4254 )",2914,"(+/- 1157 )",3673,"(+/- 1510 )",16884,"(+/- 3164 )",19130,"(+/- 4568 )",3653,"(+/- 1386 )"
People,Ancestry,Swedish,5617,"(+/- 1474 )",2656,"(+/- 1227 )",3183,"(+/- 1100 )",3772,"(+/- 1099 )",2635,"(+/- 1034 )",946,"(+/- 321 )",2630,"(+/- 742 )"
People,Ancestry,Swiss,1743,"(+/- 823 )",1532,"(+/- 908 )",2130,"(+/- 1084 )",978,"(+/- 630 )",1549,"(+/- 943 )",552,"(+/- 284 )",177,"(+/- 151 )"
People,Ancestry,Ukrainian,898,"(+/- 362 )",1391,"(+/- 771 )",849,"(+/- 733 )",4780,"(+/- 2944 )",1611,"(+/- 1482 )",515,"(+/- 378 )",1155,"(+/- 540 )"
People,Ancestry,Welsh,5236,"(+/- 1755 )",3222,"(+/- 1098 )",3205,"(+/- 957 )",4840,"(+/- 2187 )",3710,"(+/- 1139 )",2478,"(+/- 1032 )",4465,"(+/- 1831 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1683,"(+/- 807 )",2484,"(+/- 1286 )",694,"(+/- 463 )",2719,"(+/- 1406 )",2080,"(+/- 1366 )",3341,"(+/- 1602 )",915,"(+/- 500 )"
People,"Veteran Status","Civilian population 18 years and over",603276,"(+/- 5880 )",539230,"(+/- 7865 )",539091,"(+/- 4478 )",563692,"(+/- 4972 )",549041,"(+/- 4178 )",527171,"(+/- 10370 )",568863,"(+/- 2505 )"
People,"Veteran Status","Civilian veterans",68813,"(+/- 4547 )",54993,"(+/- 3801 )",48463,"(+/- 3079 )",45358,"(+/- 2946 )",50550,"(+/- 3423 )",42390,"(+/- 3705 )",51554,"(+/- 3159 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",770260,"(+/- 7581 )",693813,"(+/- 11484 )",677317,"(+/- 5715 )",724260,"(+/- 6711 )",706352,"(+/- 5614 )",644745,"(+/- 14153 )",711513,"(+/- 3516 )"
