Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",714912,"(+/- 2191 )",747673,"(+/- 2107 )",733082,"(+/- 4245 )",782024,"(+/- 6395 )",774096,"(+/- 1909 )",772984,"(+/- 2855 )",778057,"(+/- 4496 )",716130,"(+/- 6818 )",697026,"(+/- 6888 )"
People,"Sex and Age",Male,350439,"(+/- 2216 )",363541,"(+/- 2249 )",356171,"(+/- 3412 )",384981,"(+/- 4663 )",375021,"(+/- 1237 )",379825,"(+/- 3013 )",385396,"(+/- 3070 )",346643,"(+/- 5104 )",330118,"(+/- 4209 )"
People,"Sex and Age",Female,364473,"(+/- 2226 )",384132,"(+/- 2264 )",376911,"(+/- 2994 )",397043,"(+/- 3646 )",399075,"(+/- 1182 )",393159,"(+/- 2814 )",392661,"(+/- 2992 )",369487,"(+/- 4732 )",366908,"(+/- 4432 )"
People,"Sex and Age","Under 5 years",35371,"(+/- 1361 )",41537,"(+/- 1069 )",39952,"(+/- 1239 )",49443,"(+/- 1676 )",51454,"(+/- 491 )",45067,"(+/- 1715 )",50143,"(+/- 1574 )",39556,"(+/- 2068 )",52605,"(+/- 1907 )"
People,"Sex and Age","5 to 9 years",36685,"(+/- 2833 )",42717,"(+/- 2475 )",41477,"(+/- 2576 )",45277,"(+/- 3287 )",45557,"(+/- 2646 )",47919,"(+/- 3457 )",55094,"(+/- 3613 )",44693,"(+/- 3249 )",46599,"(+/- 3022 )"
People,"Sex and Age","10 to 14 years",44951,"(+/- 2944 )",44748,"(+/- 2598 )",45133,"(+/- 2591 )",55848,"(+/- 3233 )",43706,"(+/- 2589 )",50763,"(+/- 2768 )",55059,"(+/- 3180 )",49355,"(+/- 3110 )",48288,"(+/- 3154 )"
People,"Sex and Age","15 to 19 years",43908,"(+/- 1742 )",48141,"(+/- 1691 )",44432,"(+/- 2219 )",56485,"(+/- 2906 )",45507,"(+/- 1117 )",50805,"(+/- 1978 )",54530,"(+/- 2023 )",51425,"(+/- 3361 )",46674,"(+/- 1987 )"
People,"Sex and Age","20 to 24 years",42500,"(+/- 1970 )",56651,"(+/- 1481 )",40637,"(+/- 2206 )",56933,"(+/- 2352 )",53995,"(+/- 1288 )",44064,"(+/- 1882 )",45191,"(+/- 2106 )",42944,"(+/- 3340 )",53712,"(+/- 2206 )"
People,"Sex and Age","25 to 34 years",82002,"(+/- 2364 )",96193,"(+/- 1941 )",94034,"(+/- 2461 )",100647,"(+/- 3391 )",148175,"(+/- 858 )",92387,"(+/- 2348 )",100387,"(+/- 2711 )",78384,"(+/- 3336 )",113149,"(+/- 2707 )"
People,"Sex and Age","35 to 44 years",83876,"(+/- 1916 )",90131,"(+/- 1983 )",89848,"(+/- 2264 )",105730,"(+/- 2907 )",104895,"(+/- 684 )",93654,"(+/- 2171 )",100664,"(+/- 2804 )",86904,"(+/- 3262 )",86146,"(+/- 2658 )"
People,"Sex and Age","45 to 54 years",100155,"(+/- 1778 )",98957,"(+/- 1539 )",97359,"(+/- 2186 )",102798,"(+/- 2514 )",94710,"(+/- 814 )",108905,"(+/- 2183 )",105786,"(+/- 2359 )",100793,"(+/- 2859 )",82365,"(+/- 2397 )"
People,"Sex and Age","55 to 59 years",51241,"(+/- 2781 )",50364,"(+/- 2407 )",54095,"(+/- 3354 )",51006,"(+/- 2857 )",48323,"(+/- 2473 )",52294,"(+/- 2634 )",50532,"(+/- 2680 )",50205,"(+/- 3203 )",41409,"(+/- 2781 )"
People,"Sex and Age","60 to 64 years",51005,"(+/- 2529 )",48371,"(+/- 2457 )",49841,"(+/- 2991 )",46844,"(+/- 3008 )",43000,"(+/- 2598 )",52167,"(+/- 2706 )",46476,"(+/- 2595 )",49207,"(+/- 3148 )",42639,"(+/- 2475 )"
People,"Sex and Age","65 to 74 years",84253,"(+/- 1166 )",77136,"(+/- 1156 )",80074,"(+/- 1558 )",67805,"(+/- 1730 )",58219,"(+/- 1006 )",81557,"(+/- 1283 )",68439,"(+/- 1465 )",73589,"(+/- 2529 )",51578,"(+/- 2364 )"
People,"Sex and Age","75 to 84 years",43584,"(+/- 1887 )",38972,"(+/- 1774 )",41340,"(+/- 2117 )",31981,"(+/- 1617 )",26528,"(+/- 1320 )",40326,"(+/- 1765 )",33772,"(+/- 1826 )",34768,"(+/- 2086 )",23446,"(+/- 1871 )"
People,"Sex and Age","85 years and over",15381,"(+/- 1916 )",13755,"(+/- 1559 )",14860,"(+/- 1784 )",11227,"(+/- 1535 )",10027,"(+/- 1322 )",13076,"(+/- 1583 )",11984,"(+/- 1594 )",14307,"(+/- 1704 )",8416,"(+/- 1232 )"
People,"Sex and Age","Median age (years)",43.7,"(+/- 0.4 )",39.7,"(+/- 0.3 )",41.8,"(+/- 0.6 )",37.5,"(+/- 0.3 )",34.9,"(+/- 0.1 )",40.7,"(+/- 0.5 )",37.6,"(+/- 0.4 )",40.6,"(+/- 0.6 )",33.7,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",571396,"(+/- 1770 )",591789,"(+/- 1787 )",579357,"(+/- 3668 )",598661,"(+/- 5218 )",608918,"(+/- 1519 )",599381,"(+/- 2719 )",585499,"(+/- 3447 )",551175,"(+/- 5306 )",521556,"(+/- 5136 )"
People,"Sex and Age","65 years and over",143218,"(+/- 1406 )",129863,"(+/- 1477 )",136274,"(+/- 2184 )",111013,"(+/- 2077 )",94774,"(+/- 998 )",134959,"(+/- 1510 )",114195,"(+/- 2090 )",122664,"(+/- 3054 )",83440,"(+/- 2926 )"
People,Race,"Total population",714912,"(+/- 2191 )",747673,"(+/- 2107 )",733082,"(+/- 4245 )",782024,"(+/- 6395 )",774096,"(+/- 1909 )",772984,"(+/- 2855 )",778057,"(+/- 4496 )",716130,"(+/- 6818 )",697026,"(+/- 6888 )"
People,Race,"One race",704333,"(+/- 2843 )",734970,"(+/- 2374 )",720114,"(+/- 4460 )",763290,"(+/- 7406 )",751249,"(+/- 4483 )",759868,"(+/- 3507 )",754970,"(+/- 5550 )",697209,"(+/- 6693 )",687655,"(+/- 7439 )"
People,Race,White,670881,"(+/- 3745 )",665729,"(+/- 3375 )",620351,"(+/- 4451 )",662369,"(+/- 6996 )",527040,"(+/- 3920 )",703869,"(+/- 4123 )",655408,"(+/- 4798 )",531992,"(+/- 5999 )",183952,"(+/- 7530 )"
People,Race,"Black or African American",20486,"(+/- 2230 )",46180,"(+/- 1870 )",78206,"(+/- 2501 )",74529,"(+/- 3577 )",186387,"(+/- 3257 )",34483,"(+/- 1780 )",76872,"(+/- 3765 )",141559,"(+/- 6332 )",463973,"(+/- 6534 )"
People,Race,"American Indian and Alaska Native",1445,"(+/- 805 )",1718,"(+/- 730 )",1519,"(+/- 638 )",1276,"(+/- 712 )",1821,"(+/- 758 )",2978,"(+/- 839 )",1166,"(+/- 431 )",1581,"(+/- 599 )",1133,"(+/- 737 )"
People,Race,Asian,5751,"(+/- 1228 )",13553,"(+/- 845 )",11023,"(+/- 852 )",14470,"(+/- 1213 )",24955,"(+/- 2095 )",7562,"(+/- 632 )",15485,"(+/- 1987 )",14728,"(+/- 2546 )",11588,"(+/- 2216 )"
People,Race,"Native Hawaiian and Other Pacific Islander",142,"(+/- 180 )",398,"(+/- 480 )",179,"(+/- 220 )",914,"(+/- 829 )",598,"(+/- 577 )",645,"(+/- 571 )",1157,"(+/- 397 )",430,"(+/- 351 )",1917,"(+/- 2513 )"
People,Race,"Some other race",5628,"(+/- 2274 )",7392,"(+/- 2449 )",8836,"(+/- 3029 )",9732,"(+/- 2808 )",10448,"(+/- 2679 )",10331,"(+/- 3037 )",4882,"(+/- 1594 )",6919,"(+/- 2084 )",25092,"(+/- 4500 )"
People,Race,"Two or more races",10579,"(+/- 1709 )",12703,"(+/- 1939 )",12968,"(+/- 1956 )",18734,"(+/- 3368 )",22847,"(+/- 3781 )",13116,"(+/- 1979 )",23087,"(+/- 3461 )",18921,"(+/- 3666 )",9371,"(+/- 2825 )"
