Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",763612,"(+/- 4404 )",765809,"(+/- 9147 )",767012,"(+/- 6433 )",805400,"(+/- 10097 )"
People,"Sex and Age",Male,385471,"(+/- 3281 )",386339,"(+/- 6378 )",384357,"(+/- 4277 )",407266,"(+/- 6723 )"
People,"Sex and Age",Female,378141,"(+/- 3429 )",379470,"(+/- 5212 )",382655,"(+/- 4055 )",398134,"(+/- 6313 )"
People,"Sex and Age","Under 5 years",61590,"(+/- 1969 )",58679,"(+/- 3007 )",59435,"(+/- 2118 )",73385,"(+/- 2697 )"
People,"Sex and Age","5 to 9 years",63762,"(+/- 3041 )",62262,"(+/- 3400 )",64352,"(+/- 3036 )",68403,"(+/- 3635 )"
People,"Sex and Age","10 to 14 years",70096,"(+/- 2960 )",57026,"(+/- 3316 )",65535,"(+/- 3300 )",69375,"(+/- 4189 )"
People,"Sex and Age","15 to 19 years",62228,"(+/- 2289 )",57144,"(+/- 3109 )",68376,"(+/- 2379 )",56609,"(+/- 2816 )"
People,"Sex and Age","20 to 24 years",62650,"(+/- 1792 )",55634,"(+/- 2641 )",86225,"(+/- 2578 )",52032,"(+/- 3169 )"
People,"Sex and Age","25 to 34 years",103309,"(+/- 2403 )",118800,"(+/- 4876 )",102319,"(+/- 4001 )",129010,"(+/- 4350 )"
People,"Sex and Age","35 to 44 years",104594,"(+/- 2454 )",102165,"(+/- 3551 )",93303,"(+/- 3551 )",124117,"(+/- 3920 )"
People,"Sex and Age","45 to 54 years",77178,"(+/- 2120 )",79664,"(+/- 3877 )",77234,"(+/- 2989 )",82921,"(+/- 4548 )"
People,"Sex and Age","55 to 59 years",39639,"(+/- 2651 )",39318,"(+/- 3212 )",36394,"(+/- 2311 )",35251,"(+/- 2840 )"
People,"Sex and Age","60 to 64 years",38137,"(+/- 2386 )",35687,"(+/- 2931 )",34939,"(+/- 2336 )",37861,"(+/- 3404 )"
People,"Sex and Age","65 to 74 years",49419,"(+/- 1655 )",59229,"(+/- 2396 )",47183,"(+/- 2306 )",46036,"(+/- 2525 )"
People,"Sex and Age","75 to 84 years",23745,"(+/- 1742 )",28585,"(+/- 1909 )",22867,"(+/- 1576 )",21003,"(+/- 1684 )"
People,"Sex and Age","85 years and over",7265,"(+/- 1096 )",11616,"(+/- 1494 )",8850,"(+/- 1195 )",9397,"(+/- 1289 )"
People,"Sex and Age","Median age (years)",31.0,"(+/- 0.4 )",32.7,"(+/- 0.6 )",28.4,"(+/- 0.5 )",31.5,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",529835,"(+/- 3359 )",553688,"(+/- 6562 )",538182,"(+/- 5291 )",555034,"(+/- 7216 )"
People,"Sex and Age","65 years and over",80429,"(+/- 2239 )",99430,"(+/- 3317 )",78900,"(+/- 2871 )",76436,"(+/- 3321 )"
People,Race,"Total population",763612,"(+/- 4404 )",765809,"(+/- 9147 )",767012,"(+/- 6433 )",805400,"(+/- 10097 )"
People,Race,"One race",738253,"(+/- 4955 )",742633,"(+/- 9101 )",750543,"(+/- 6568 )",778128,"(+/- 10744 )"
People,Race,White,685906,"(+/- 6207 )",630455,"(+/- 9172 )",698546,"(+/- 7368 )",642106,"(+/- 11907 )"
People,Race,"Black or African American",7936,"(+/- 1247 )",9511,"(+/- 2440 )",3805,"(+/- 1081 )",16417,"(+/- 2749 )"
People,Race,"American Indian and Alaska Native",7680,"(+/- 1351 )",7340,"(+/- 2454 )",10279,"(+/- 1053 )",7395,"(+/- 2060 )"
People,Race,Asian,11547,"(+/- 1643 )",20192,"(+/- 2733 )",15684,"(+/- 2038 )",28268,"(+/- 3633 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2012,"(+/- 935 )",8922,"(+/- 2637 )",5009,"(+/- 1158 )",10604,"(+/- 3455 )"
People,Race,"Some other race",23172,"(+/- 4421 )",66213,"(+/- 9637 )",17220,"(+/- 3922 )",73338,"(+/- 10137 )"
People,Race,"Two or more races",25359,"(+/- 3189 )",23176,"(+/- 4427 )",16469,"(+/- 2617 )",27272,"(+/- 4870 )"
People,"Hispanic or Latino and Race","Total population",763612,"(+/- 4404 )",765809,"(+/- 9147 )",767012,"(+/- 6433 )",805400,"(+/- 10097 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",96119,"(+/- 2383 )",120573,"(+/- 9103 )",82658,"(+/- 4639 )",134940,"(+/- 9285 )"
People,"Hispanic or Latino and Race",Mexican,73855,"(+/- 4466 )",87455,"(+/- 9386 )",56685,"(+/- 4483 )",96399,"(+/- 9856 )"
People,"Hispanic or Latino and Race","Puerto Rican",2980,"(+/- 1459 )",1678,"(+/- 711 )",2384,"(+/- 1460 )",5634,"(+/- 3264 )"
People,"Hispanic or Latino and Race",Cuban,508,"(+/- 397 )",1379,"(+/- 790 )",596,"(+/- 508 )",177,"(+/- 196 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",18776,"(+/- 3155 )",30061,"(+/- 5312 )",22993,"(+/- 4759 )",32730,"(+/- 5655 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",667493,"(+/- 4433 )",645236,"(+/- 8776 )",684354,"(+/- 7398 )",670460,"(+/- 10659 )"
People,"Place of Birth","Total population",763612,"(+/- 4404 )",765809,"(+/- 9147 )",767012,"(+/- 6433 )",805400,"(+/- 10097 )"
People,"Place of Birth",Native,719478,"(+/- 6418 )",692995,"(+/- 8588 )",709313,"(+/- 6733 )",710808,"(+/- 11009 )"
People,"Place of Birth","Born in United States",712169,"(+/- 6654 )",684286,"(+/- 8436 )",703100,"(+/- 6992 )",700600,"(+/- 11230 )"
People,"Place of Birth","State of residence",494225,"(+/- 8628 )",454320,"(+/- 10139 )",467221,"(+/- 7299 )",503802,"(+/- 11211 )"
People,"Place of Birth","Different state",217944,"(+/- 7619 )",229966,"(+/- 8071 )",235879,"(+/- 8054 )",196798,"(+/- 8592 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7309,"(+/- 1548 )",8709,"(+/- 1854 )",6213,"(+/- 1538 )",10208,"(+/- 3014 )"
People,"Place of Birth","Foreign born",44134,"(+/- 4058 )",72814,"(+/- 5429 )",57699,"(+/- 3828 )",94592,"(+/- 7219 )"
People,Ancestry,"Total population",763612,"(+/- 4404 )",765809,"(+/- 9147 )",767012,"(+/- 6433 )",805400,"(+/- 10097 )"
People,Ancestry,American,42972,"(+/- 5607 )",36074,"(+/- 5094 )",33745,"(+/- 3909 )",28970,"(+/- 5075 )"
People,Ancestry,Arab,1113,"(+/- 708 )",1439,"(+/- 524 )",1444,"(+/- 793 )",3151,"(+/- 2012 )"
People,Ancestry,Czech,1309,"(+/- 689 )",1272,"(+/- 492 )",1481,"(+/- 694 )",2113,"(+/- 1105 )"
People,Ancestry,Danish,34661,"(+/- 5347 )",33323,"(+/- 4861 )",40648,"(+/- 4661 )",30329,"(+/- 4076 )"
People,Ancestry,Dutch,20331,"(+/- 3488 )",12609,"(+/- 2328 )",15977,"(+/- 2714 )",13767,"(+/- 3031 )"
People,Ancestry,English,170962,"(+/- 9380 )",166631,"(+/- 7274 )",192046,"(+/- 8351 )",169051,"(+/- 9872 )"
People,Ancestry,"French (except Basque)",15504,"(+/- 2603 )",13071,"(+/- 2584 )",15572,"(+/- 2537 )",15099,"(+/- 3117 )"
People,Ancestry,"French Canadian",1847,"(+/- 853 )",2287,"(+/- 1026 )",2581,"(+/- 1075 )",2136,"(+/- 1215 )"
People,Ancestry,German,79816,"(+/- 5624 )",84765,"(+/- 6869 )",84068,"(+/- 5394 )",78983,"(+/- 5938 )"
People,Ancestry,Greek,1867,"(+/- 808 )",3050,"(+/- 1787 )",3928,"(+/- 1257 )",3461,"(+/- 1273 )"
People,Ancestry,Hungarian,711,"(+/- 360 )",1863,"(+/- 1072 )",753,"(+/- 384 )",1178,"(+/- 944 )"
People,Ancestry,Irish,49437,"(+/- 4614 )",47798,"(+/- 5102 )",45631,"(+/- 5812 )",39903,"(+/- 5304 )"
