Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,623657,(*****)
People,Sex and Age,Male,307810,(+/- 1172 )
People,Sex and Age,Female,315847,(+/- 1172 )
People,Sex and Age,Under 5 years,30096,(+/- 849 )
People,Sex and Age,5 to 9 years,31828,(+/- 1851 )
People,Sex and Age,10 to 14 years,34982,(+/- 1852 )
People,Sex and Age,15 to 19 years,40017,(+/- 1302 )
People,Sex and Age,20 to 24 years,47467,(+/- 1487 )
People,Sex and Age,25 to 34 years,73864,(+/- 1575 )
People,Sex and Age,35 to 44 years,69237,(+/- 926 )
People,Sex and Age,45 to 54 years,82775,(+/- 1063 )
People,Sex and Age,55 to 59 years,48173,(+/- 2250 )
People,Sex and Age,60 to 64 years,48068,(+/- 2147 )
People,Sex and Age,65 to 74 years,70961,(+/- 702 )
People,Sex and Age,75 to 84 years,32894,(+/- 1284 )
People,Sex and Age,85 years and over,13295,(+/- 1296 )
People,Sex and Age,Median age (years),42.6,(+/- 0.3 )
People,Sex and Age,18 years and over,505902,(+/- 1072 )
People,Sex and Age,65 years and over,117150,(+/- 754 )
People,Race,Total population,623657,(*****)
People,Race,One race,610708,(+/- 1611 )
People,Race,White,587265,(+/- 1192 )
People,Race,Black or African American,8260,(+/- 1155 )
People,Race,American Indian and Alaska Native,2355,(+/- 731 )
People,Race,Asian,11270,(+/- 1081 )
People,Race,Native Hawaiian and Other Pacific Islander,166,(+/- 230 )
People,Race,Some other race,1392,(+/- 534 )
People,Race,Two or more races,12949,(+/- 1611 )
People,Hispanic or Latino and Race,Total population,623657,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),11932,(+/- 812 )
People,Hispanic or Latino and Race,Mexican,3003,(+/- 827 )
People,Hispanic or Latino and Race,Puerto Rican,2135,(+/- 713 )
People,Hispanic or Latino and Race,Cuban,585,(+/- 482 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,6209,(+/- 1066 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,611725,(+/- 812 )
People,Place of Birth,Total population,623657,(*****)
People,Place of Birth,Native,595574,(+/- 2467 )
People,Place of Birth,Born in United States,589944,(+/- 2584 )
People,Place of Birth,State of residence,321612,(+/- 5614 )
People,Place of Birth,Different state,268332,(+/- 5743 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5630,(+/- 1054 )
People,Place of Birth,Foreign born,28083,(+/- 2467 )
People,Ancestry,Total population,623657,(*****)
People,Ancestry,American,52497,(+/- 5176 )
People,Ancestry,Arab,2774,(+/- 1263 )
People,Ancestry,Czech,2018,(+/- 642 )
People,Ancestry,Danish,2835,(+/- 909 )
People,Ancestry,Dutch,7236,(+/- 1216 )
People,Ancestry,English,101194,(+/- 5539 )
People,Ancestry,French (except Basque),77753,(+/- 5624 )
People,Ancestry,French Canadian,46981,(+/- 3702 )
People,Ancestry,German,58967,(+/- 3926 )
People,Ancestry,Greek,2748,(+/- 901 )
People,Ancestry,Hungarian,2586,(+/- 706 )
People,Ancestry,Irish,98349,(+/- 5219 )
People,Ancestry,Italian,44734,(+/- 3308 )
People,Ancestry,Lithuanian,2310,(+/- 675 )
People,Ancestry,Norwegian,6502,(+/- 1572 )
People,Ancestry,Polish,22606,(+/- 2768 )
People,Ancestry,Portuguese,3085,(+/- 1152 )
People,Ancestry,Russian,6883,(+/- 1176 )
People,Ancestry,Scotch-Irish,8242,(+/- 1386 )
People,Ancestry,Scottish,27716,(+/- 2511 )
People,Ancestry,Slovak,994,(+/- 494 )
People,Ancestry,Subsaharan African,3182,(+/- 1519 )
People,Ancestry,Swedish,9641,(+/- 1684 )
