Topic,Subject,Title,District (At Large) Estimate,District (At Large) MOE
People,Sex and Age,Total population,579315,(*****)
People,Sex and Age,Male,295779,(+/- 2452 )
People,Sex and Age,Female,283536,(+/- 2452 )
People,Sex and Age,Under 5 years,37910,(+/- 1231 )
People,Sex and Age,5 to 9 years,40293,(+/- 2287 )
People,Sex and Age,10 to 14 years,38498,(+/- 2218 )
People,Sex and Age,15 to 19 years,38542,(+/- 2268 )
People,Sex and Age,20 to 24 years,36372,(+/- 2206 )
People,Sex and Age,25 to 34 years,79822,(+/- 2356 )
People,Sex and Age,35 to 44 years,70601,(+/- 1786 )
People,Sex and Age,45 to 54 years,64982,(+/- 1426 )
People,Sex and Age,55 to 59 years,43939,(+/- 2656 )
People,Sex and Age,60 to 64 years,37919,(+/- 2750 )
People,Sex and Age,65 to 74 years,55232,(+/- 1575 )
People,Sex and Age,75 to 84 years,24710,(+/- 2036 )
People,Sex and Age,85 years and over,10495,(+/- 1792 )
People,Sex and Age,Median age (years),37.5,(+/- 0.3 )
People,Sex and Age,18 years and over,441253,(+/- 979 )
People,Sex and Age,65 years and over,90437,(+/- 1017 )
People,Race,Total population,579315,(*****)
People,Race,One race,562965,(+/- 2542 )
People,Race,White,528414,(+/- 3065 )
People,Race,Black or African American,5766,(+/- 1755 )
People,Race,American Indian and Alaska Native,13944,(+/- 1327 )
People,Race,Asian,4832,(+/- 1167 )
People,Race,Native Hawaiian and Other Pacific Islander,8,(+/- 15 )
People,Race,Some other race,10001,(+/- 2465 )
People,Race,Two or more races,16350,(+/- 2542 )
People,Hispanic or Latino and Race,Total population,579315,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),58122,(*****)
People,Hispanic or Latino and Race,Mexican,43732,(+/- 3232 )
People,Hispanic or Latino and Race,Puerto Rican,1002,(+/- 598 )
People,Hispanic or Latino and Race,Cuban,142,(+/- 204 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,13246,(+/- 3249 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,521193,(*****)
People,Place of Birth,Total population,579315,(*****)
People,Place of Birth,Native,558795,(+/- 2713 )
People,Place of Birth,Born in United States,555404,(+/- 2962 )
People,Place of Birth,State of residence,249019,(+/- 7547 )
People,Place of Birth,Different state,306385,(+/- 7851 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3391,(+/- 862 )
People,Place of Birth,Foreign born,20520,(+/- 2713 )
People,Ancestry,Total population,579315,(*****)
People,Ancestry,American,29126,(+/- 3804 )
People,Ancestry,Arab,499,(+/- 709 )
People,Ancestry,Czech,3337,(+/- 1074 )
People,Ancestry,Danish,8655,(+/- 1859 )
People,Ancestry,Dutch,8689,(+/- 1627 )
People,Ancestry,English,74822,(+/- 5601 )
People,Ancestry,French (except Basque),16614,(+/- 3286 )
People,Ancestry,French Canadian,3168,(+/- 911 )
People,Ancestry,German,133674,(+/- 6780 )
People,Ancestry,Greek,1950,(+/- 1016 )
People,Ancestry,Hungarian,2683,(+/- 1290 )
People,Ancestry,Irish,66975,(+/- 4961 )
People,Ancestry,Italian,17707,(+/- 2811 )
People,Ancestry,Lithuanian,274,(+/- 326 )
People,Ancestry,Norwegian,18555,(+/- 2765 )
People,Ancestry,Polish,10039,(+/- 1777 )
People,Ancestry,Portuguese,827,(+/- 520 )
People,Ancestry,Russian,5424,(+/- 1526 )
People,Ancestry,Scotch-Irish,8143,(+/- 1911 )
People,Ancestry,Scottish,19888,(+/- 2741 )
People,Ancestry,Slovak,357,(+/- 241 )
People,Ancestry,Subsaharan African,1048,(+/- 768 )
People,Ancestry,Swedish,12517,(+/- 1962 )
People,Ancestry,Swiss,2491,(+/- 947 )
People,Ancestry,Ukrainian,773,(+/- 520 )
People,Ancestry,Welsh,5524,(+/- 1220 )
People,Ancestry,West Indian (excluding Hispanic origin groups),178,(+/- 189 )
People,Veteran Status,Civilian population 18 years and over,437821,(+/- 1382 )
People,Veteran Status,Civilian veterans,44499,(+/- 2851 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,568891,(+/- 1060 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,82056,(+/- 5703 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,137556,(+/- 981 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6387,(+/- 1732 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,343179,(+/- 1522 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,41825,(+/- 3814 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,88156,(+/- 1038 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,33844,(+/- 2745 )
People,Residence 1 Year Ago,Population 1 year and over,573483,(+/- 1042 )
People,Residence 1 Year Ago,Same house,481231,(+/- 7380 )
People,Residence 1 Year Ago,Different house in the U.S.,89849,(+/- 7081 )
People,Residence 1 Year Ago,Same county,57526,(+/- 6447 )
People,Residence 1 Year Ago,Different county,32323,(+/- 3541 )
People,Residence 1 Year Ago,Same state,13812,(+/- 2238 )
People,Residence 1 Year Ago,Different state,18511,(+/- 2739 )
People,Residence 1 Year Ago,Abroad,2403,(+/- 1038 )
Workers,Employment Status,Population 16 years and over,456056,(+/- 2011 )
Workers,Employment Status,In labor force,301010,(+/- 4453 )
Workers,Employment Status,Civilian labor force,297578,(+/- 4550 )
Workers,Employment Status,Employed,282202,(+/- 4728 )
Workers,Employment Status,Unemployed,15376,(+/- 2432 )
Workers,Employment Status,Armed Forces,3432,(+/- 1064 )
Workers,Employment Status,Not in labor force,155046,(+/- 4587 )
Workers,Employment Status,Civilian labor force,297578,(+/- 4550 )
Workers,Employment Status,Unemployment Rate,5.2,(+/- 0.8 )
Workers,Commuting to Work,Workers 16 years and over,279145,(+/- 4794 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",217568,(+/- 5889 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",28481,(+/- 2991 )
Workers,Commuting to Work,Public transportation (excluding taxicab),1651,(+/- 615 )
Workers,Commuting to Work,Walked,10106,(+/- 2046 )
Workers,Commuting to Work,Other means,6566,(+/- 1547 )
Workers,Commuting to Work,Worked at home,14773,(+/- 2129 )
Workers,Commuting to Work,Mean travel time to work (minutes),17.6,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,282202,(+/- 4728 )
Workers,Occupation,"Management, business, science, and arts occupations",97444,(+/- 4320 )
Workers,Occupation,Service occupations,51266,(+/- 3918 )
Workers,Occupation,Sales and office occupations,55347,(+/- 4039 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",39800,(+/- 2835 )
Workers,Occupation,"Production, transportation, and material moving occupations",38345,(+/- 3374 )
Workers,Industry,Civilian employed population 16 years and over,282202,(+/- 4728 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",28371,(+/- 3231 )
Workers,Industry,Construction,22105,(+/- 2525 )
Workers,Industry,Manufacturing,11279,(+/- 1664 )
Workers,Industry,Wholesale trade,4642,(+/- 1122 )
Workers,Industry,Retail trade,29442,(+/- 2881 )
Workers,Industry,"Transportation and warehousing, and utilities",18920,(+/- 2321 )
Workers,Industry,Information,4641,(+/- 970 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",11421,(+/- 1982 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",19903,(+/- 2443 )
Workers,Industry,"Educational services, and health care and social assistance",71474,(+/- 4244 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",29270,(+/- 3331 )
Workers,Industry,"Other services, except public administration",13957,(+/- 2104 )
Workers,Industry,Public administration,16777,(+/- 2067 )
Workers,Class of Worker,Civilian employed population 16 years and over,282202,(+/- 4728 )
Workers,Class of Worker,Private wage and salary workers,203960,(+/- 5256 )
Workers,Class of Worker,Government workers,58346,(+/- 3814 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,19274,(+/- 2134 )
Workers,Class of Worker,Unpaid family workers,622,(+/- 320 )
Housing,Housing Occupancy,Total housing units,276733,(+/- 81 )
Housing,Housing Occupancy,Occupied housing units,225796,(+/- 3968 )
Housing,Housing Occupancy,Vacant housing units,50937,(+/- 3980 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.9,(+/- 0.6 )
Housing,Housing Occupancy,Rental vacancy rate,16.1,(+/- 3.0 )
Housing,Housing Tenure,Occupied housing units,225796,(+/- 3968 )
Housing,Housing Tenure,Owner-occupied,159792,(+/- 4280 )
Housing,Housing Tenure,Renter-occupied,66004,(+/- 3869 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.56,(+/- 0.06 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.36,(+/- 0.10 )
Housing,Year Householder Moved into Unit,Occupied housing units,225796,(+/- 3968 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,63642,(+/- 3655 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,52427,(+/- 3607 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,59687,(+/- 3673 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,24009,(+/- 2439 )
