congress_num,election_year,state,st_abbrev,name
116,2018,Alabama,AL,1. Bradley Byrne (R)
116,2018,Alabama,AL,2. Martha Roby (R)
116,2018,Alabama,AL,3. Mike Rogers (R)
116,2018,Alabama,AL,4. Robert Aderholt (R)
116,2018,Alabama,AL,5. Mo Brooks (R)
116,2018,Alabama,AL,6. Gary Palmer (R)
116,2018,Alabama,AL,7. Terri Sewell (D)
116,2018,Alaska,AK,0. Don Young (R)
116,2018,Arizona,AZ,1. Tom O'Halleran (D)
116,2018,Arizona,AZ,2. Ann Kirkpatrick (D)
116,2018,Arizona,AZ,3. Raúl Grijalva (D)
116,2018,Arizona,AZ,4. Paul Gosar (R)
116,2018,Arizona,AZ,5. Andy Biggs (R)
116,2018,Arizona,AZ,6. David Schweikert (R)
116,2018,Arizona,AZ,7. Ruben Gallego (D)
116,2018,Arizona,AZ,8. Debbie Lesko (R)
116,2018,Arizona,AZ,9. Greg Stanton (D)
116,2018,Arkansas,AR,1. Rick Crawford (R)
116,2018,Arkansas,AR,2. French Hill (R)
116,2018,Arkansas,AR,3. Steve Womack (R)
116,2018,Arkansas,AR,4. Bruce Westerman (R)
116,2018,California,CA,1. Doug LaMalfa (R)
116,2018,California,CA,2. Jared Huffman (D)
116,2018,California,CA,3. John Garamendi (D)
116,2018,California,CA,4. Tom McClintock (R)
116,2018,California,CA,5. Mike Thompson (D)
116,2018,California,CA,6. Doris Matsui (D)
116,2018,California,CA,7. Ami Bera (D)
116,2018,California,CA,8. Paul Cook (R)
116,2018,California,CA,9. Jerry McNerney (D)
116,2018,California,CA,10. Josh Harder (D)
116,2018,California,CA,11. Mark DeSaulnier (D)
116,2018,California,CA,12. Nancy Pelosi (D)
116,2018,California,CA,13. Barbara Lee (D)
116,2018,California,CA,14. Jackie Speier (D)
116,2018,California,CA,15. Eric Swalwell (D)
116,2018,California,CA,16. Jim Costa (D)
116,2018,California,CA,17. Ro Khanna (D)
116,2018,California,CA,18. Anna Eshoo (D)
116,2018,California,CA,19. Zoe Lofgren (D)
116,2018,California,CA,20. Jimmy Panetta (D)
116,2018,California,CA,21. TJ Cox (D)
116,2018,California,CA,22. Devin Nunes (R)
116,2018,California,CA,23. Kevin McCarthy (R)
116,2018,California,CA,24. Salud Carbajal (D)
116,2018,California,CA,25. Katie Hill (D)
116,2018,California,CA,26. Julia Brownley (D)
116,2018,California,CA,27. Judy Chu (D)
116,2018,California,CA,28. Adam Schiff (D)
116,2018,California,CA,29. Tony Cárdenas (D)
116,2018,California,CA,30. Brad Sherman (D)
116,2018,California,CA,31. Pete Aguilar (D)
116,2018,California,CA,32. Grace Napolitano (D)
116,2018,California,CA,33. Ted Lieu (D)
116,2018,California,CA,34. Jimmy Gomez (D)
116,2018,California,CA,35. Norma Torres (D)
116,2018,California,CA,36. Raul Ruiz (D)
116,2018,California,CA,37. Karen Bass (D)
116,2018,California,CA,38. Linda Sánchez (D)
116,2018,California,CA,39. Gil Cisneros (D)
116,2018,California,CA,40. Lucille Roybal-Allard (D)
116,2018,California,CA,41. Mark Takano (D)
116,2018,California,CA,42. Ken Calvert (R)
116,2018,California,CA,43. Maxine Waters (D)
116,2018,California,CA,44. Nanette Barragán (D)
116,2018,California,CA,45. Katie Porter (D)
116,2018,California,CA,46. Lou Correa (D)
116,2018,California,CA,47. Alan Lowenthal (D)
116,2018,California,CA,48. Harley Rouda (D)
116,2018,California,CA,49. Mike Levin (D)
116,2018,California,CA,50. Duncan D. Hunter (R)
116,2018,California,CA,51. Juan Vargas (D)
116,2018,California,CA,52. Scott Peters (D)
116,2018,California,CA,53. Susan Davis (D)
116,2018,Colorado,CO,1. Diana DeGette (D)
116,2018,Colorado,CO,2. Joe Neguse (D)
116,2018,Colorado,CO,3. Scott Tipton (R)
116,2018,Colorado,CO,4. Ken Buck (R)
116,2018,Colorado,CO,5. Doug Lamborn (R)
116,2018,Colorado,CO,6. Jason Crow (D)
116,2018,Colorado,CO,7. Ed Perlmutter (D)
116,2018,Connecticut,CT,1. John B. Larson (D)
116,2018,Connecticut,CT,2. Joe Courtney (D)
116,2018,Connecticut,CT,3. Rosa DeLauro (D)
116,2018,Connecticut,CT,4. Jim Himes (D)
