st_abbrev,district,state_dist,party,total_receipt,total_disbursement,cash_on_hand_cop,debt_owed_by_committee,total_contribution,total_loan,offsets_to_operating_expenditure,other_receipts,operating_expenditure,total_loan_Repayment,total_contribution_refund,other_disbursements,net_contribution,net_operating_expenditure,cash_on_hand_bop,debt_owe_to_committee,Total_population,Male,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,One_race,White,Black_or_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_other_race,Hispanic_or_Latino_of_any_race,State_of_residence,Different_state1,Born_in_PR__US_Is_areas_or_abroad_to_US_parents,American,Arab,Czech,Danish,Dutch,English,French_except_Basque,French_Canadian,German,Greek,Hungarian,Irish,Italian,Lithuanian,Norwegian,Polish,Portuguese,Russian,ScotchIrish,Scottish,Slovak,Subsaharan_African,Swedish,Swiss,Ukrainian,Welsh,West_Indian_excluding_Hispanic_origin_groups,Civilian_veterans,Total_civilian_noninstitutionalized_population,With_a_disability1,Same_house,Same_county,Same_state,Abroad,Unemployed,Armed_Forces,Not_in_labor_force,Car__truck__or_van__drove_alone,Public_transportation_excluding_taxicab,Walked,Other_means,Worked_at_home,Mean_travel_time_to_work_minutes,Management__business__science__and_arts_occupations,Service_occupations,Sales_and_office_occupations,Natural_resources__construction__and_maintenance_occupations,Production__transportation__and_material_moving_occupations,Agriculture__forestry__fishing_and_hunting__and_mining,Construction1,Manufacturing1,Wholesale_trade1,Retail_trade1,Transportation_and_warehousing__and_utilities1,Information1,Finance_and_insurance__and_real_estate_and_rental_and_leasing,Prof__scientific__and_mngmnt__and_admin_and_waste_mngmnt_ser,Educational_services__and_health_care_and_social_assistance,Arts_Entmt_and_recreation_and_accommodation_and_food_services,Other_services__except_public_administration,Public_administration,Private_wage_and_salary_workers,Government_workers,Selfemployed_in_own_not_incorporated_business_workers,Unpaid_family_workers,Total_housing_units,Rental_vacancy_rate,Owneroccupied,Average_household_size_of_owneroccupied_unit,Average_household_size_of_renteroccupied_unit,Moved_in_2015_or_later,Moved_in_2010_to_2014,Moved_in_2000_to_2009,Moved_in_1990_to_1999,Moved_in_1980_to_1989,Moved_in_1979_and_earlier,Less_than_50_000,50_000_to_99_999,100_000_to_149_999a,150_000_to_199_999,200_000_to_299_999,300_000_to_499_999,500_000_to_999_999,1_000_000_or_more,Median_dollars1,Housing_units_with_a_mortgage,Median_dollars2,Median_dollars3,Occupied_units_paying_rent,Median_dollars4,No_rent_paid,Less_than_10_000,10_000_to_14_999,15_000_to_24_999,25_000_to_34_999,35_000_to_49_999,50_000_to_74_999,75_000_to_99_999,100_000_to_149_999b,150_000_to_199_000,200_000_or_more,With_private_health_insurance,With_public_coverage,No_health_insurance_coverage1,All_families,Less_than_9th_grade,9th_to_12th_grade__no_diploma,High_school_graduate_includes_equivalency,Some_college__no_degree,Associate_s_degree,Bachelor_s_degree,Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Percent_bachelor_s_degree_or_higher,Total_for_all_sectors2,Agriculture__forestry__fishing_and_hunting2,Mining__quarrying__and_oil_and_gas_extraction2,Utilities2,Construction3,Manufacturing3,Wholesale_trade3,Retail_trade3,Transportation_and_warehousing2,Information3,Finance_and_insurance2,Real_estate_and_rental_and_leasing2,Professional__scientific__and_technical_services2,Management_of_companies_and_enterprises2,Admin_and_support_and_waste_mngmt_and_remediation_services2,Educational_services2,Health_care_and_social_assistance2,Arts__entertainment__and_recreation2,Accommodation_and_food_services2,Other_services_except_public_administration2,Industries_not_classified2
AK,0,AK_00,REP,1041380,1159940,151165,0,1036940,0,4197.03,236.24,1148610,0,1500,9833.14,1035440,1144410,269727,0,739795,385776,52919,54491,48746,47758,54320,118149,97124,89052,49003,45192,56838,20163,6040,676405,474856,22107,109948,49385,8830,11279,51712,314056,348023,19529,21878,964,2505,7513,11684,57276,19640,5178,113235,1346,2080,72549,19204,1135,24308,14036,1487,9232,10665,15956,490,6795,15637,2579,3653,4307,1998,64057,716178,90398,595804,81244,16924,6703,28267,16609,183338,243466,5827,25829,18622,15984,19.6,128922,59915,80166,38802,37177,15248,25180,12344,5922,40381,28841,7449,11111,26392,85599,32032,15083,39400,236851,86175,21593,363,316968,8.1,159344,2.96,2.64,82577,52992,62825,26151,16851,9345,11347,6983,10374,18203,44537,53198,13400,1302,273100,102297,1844,591,84396,1201,7001,11015,7426,16688,19733,26582,46584,33858,49408,21169,18278,452909,248267,97796,7.4,14246,25790,133132,126985,42724,86444,52240,91.7,28.8,15239195,45422,1447939,196232,1496937,582480,572951,1132140,1356732,424965,516527,216960,1381323,770768,859744,88059,2920214,109636,776021,343133,1012
AL,1,AL_01,REP,1325140,662806,1108650,0,1261030,0,96.3,92,575026,0,100,87680,1260930,574930,446318,0,713410,343769,43148,42961,47838,45100,42221,92237,84746,91780,48950,50517,76005,35856,12051,703163,479792,198799,6699,10717,79,7077,21976,489833,192739,6054,104645,2810,1883,773,3896,47335,19457,1039,58111,3134,1868,61569,13864,291,3428,4410,367,1098,12754,11359,349,5717,3672,1166,407,3507,2346,50054,702674,105682,630920,49159,9558,1165,18343,1030,256670,248338,954,2046,2280,14036,24.6,98048,56371,70531,29001,41414,4133,23647,37963,7683,33175,15873,4385,18327,28215,66327,29250,13295,13092,240686,38392,15962,325,339357,24.5,179891,2.73,2.51,70239,56748,59609,37603,16472,22008,19009,33724,39246,32011,28680,19215,6337,1669,147100,102553,1160,352,72590,821,10198,23357,15537,32709,28368,35369,46289,30464,32206,9430,8950,448273,272111,73706,13.1,16055,44171,164976,104269,39749,80791,42131,87.8,25,9449314,42350,35353,137961,755763,1775808,503659,971871,424709,221649,556464,180089,748183,291736,476101,147262,1354120,47836,486923,290987,490
AL,2,AL_02,REP,2506890,2100810,451536,0,2420810,0,350,0,1970350,0,11674,118780,2409130,1970000,45450.7,0,673776,328474,40405,41290,44359,46679,44501,87524,85341,86507,49123,39403,63193,33839,11612,657768,434984,207087,2427,7686,174,5410,24457,474330,174063,7855,129642,863,101,455,3772,39775,7700,1270,33584,704,886,42102,8767,414,1700,3047,601,858,8171,11444,209,9629,2025,398,128,3662,652,59097,652124,119114,564228,56016,24075,3693,18475,6038,236547,241616,144,3651,2511,7735,23.2,88987,47268,68114,28223,45270,6352,16372,34431,7559,36432,19987,4275,13080,21912,56424,25420,14965,20653,217291,45066,15159,346,313057,12,159747,2.7,2.6,68616,45933,60973,35582,15563,18457,22898,36236,30956,25722,27299,11311,4653,672,131400,90280,1083,313,77234,762,8143,22327,15212,30367,25174,36681,43409,28168,28962,7824,7000,428361,259101,60348,14.2,20725,48996,148915,92173,40248,66060,39425,84.7,23.1,8266520,70566,10021,275562,420838,1208962,501545,873626,600040,142640,468234,97597,620888,150387,353271,113731,1656829,64885,360347,275554,997
AL,3,AL_03,REP,1219670,857764,887448,0,1214780,0,76.71,4811.39,857464,0,300,0,1214480,857388,525547,0,710488,346742,40694,44309,45329,48304,53844,92259,84923,91499,47088,45190,71574,33638,11837,696558,487936,187176,1287,11727,49,8383,20464,463015,219788,6847,120734,1374,531,1316,5122,43746,6768,1217,42204,1136,658,52061,8224,200,2507,2662,530,443,9736,11472,151,4706,2109,1132,216,2284,761,51339,697378,112519,606752,48434,25236,830,16827,2610,253631,249047,447,3880,3326,9378,24.8,96663,49605,69126,25800,57070,3750,18759,55289,7118,34378,15592,3426,15122,21114,68420,23304,15723,16269,237401,45278,15135,450,333318,7.4,190440,2.54,2.43,74604,57992,61221,38430,19259,23354,33006,41901,34977,27937,29357,16224,6198,840,127600,101315,1061,320,73773,703,10647,27161,17917,34973,30597,35122,49764,31719,30371,9757,7479,473720,265504,62189,12.7,23342,45642,150380,112541,42450,60505,43148,85.6,21.7,6150074,26791,32435,71617,310775,1898144,274174,703213,254893,95767,215659,69697,204565,25969,329356,79569,1045938,27030,313355,170613,514
AL,4,AL_04,REP,1487010,853026,1099490,0,1474660,0,388.07,11961,845526,0,1500,6000,1473160,845138,465512,0,685553,332923,41931,44765,43934,46859,40035,80192,82612,88230,46948,46131,74220,37966,11730,670915,594163,49177,6636,3863,211,16865,45965,507088,147724,4336,177643,1023,270,245,7427,41959,6260,701,42652,910,806,59518,7240,25,842,2543,0,307,7337,10854,0,1775,1066,410,207,2923,1298,40343,679329,130431,596822,50430,20178,1507,17228,376,255383,231950,634,2825,1455,7270,24.9,79615,40917,59041,31531,60791,5901,20660,56597,4798,34458,15583,2913,12239,19053,58302,18290,11564,11537,217017,38570,16095,213,316637,8.1,184613,2.7,2.58,59989,50668,61210,35659,19815,26720,33194,47038,31552,28195,24696,13477,5146,1315,117700,88807,992,322,58061,613,11387,22116,19428,34864,26521,37161,46107,28406,26246,7358,5854,436960,270243,71774,13.9,28250,55199,160947,101298,38712,50197,33426,82.2,17.9,6497936,25888,121149,106648,292744,2058396,288600,722237,266216,106720,281655,52846,153147,115945,240649,35185,1180745,18503,251038,178789,836
AL,5,AL_05,REP,1474730,1876240,769423,0,1470010,0,1086.82,3627.61,1861890,0,14349.5,0,1455660,1860800,1170940,0,718713,353533,40818,41893,44990,47159,48373,94633,88350,98046,51289,46405,69000,36240,11517,703044,544610,129234,5138,12993,563,10506,37350,445110,231817,10829,113407,1880,768,1170,4712,57156,10240,1490,59764,1473,604,65386,12620,25,3065,8230,388,1419,11755,12232,339,5957,3668,933,958,4592,1768,56474,706709,100733,601182,64159,26098,3277,16132,1357,235735,285630,822,2801,4538,9613,23.2,134386,54587,68736,26294,43195,2280,20746,46048,6810,40926,12128,4893,11667,46351,67382,29365,15565,23037,254639,54370,17342,847,320117,6.6,196278,2.58,2.21,76393,63936,72048,36807,15210,20489,16475,33347,38808,37264,39418,23927,6066,973,160400,119686,1155,341,81146,729,7459,16489,17832,30813,31014,35689,48603,33762,42713,14764,13204,509815,240133,63873,10.3,17203,37451,133786,106856,41926,99791,58467,89,31.9,11465689,7623,7002,9740,506970,2110425,537201,914987,253921,280369,383985,113401,3286197,129846,370641,86066,1728435,44051,394297,299804,728
AL,6,AL_06,REP,1187160,1318790,520549,0,584403,0,540.15,2106.19,915988,0,19800,382005,564603,915448,652180,0,700401,333957,42110,43242,50200,46862,41872,86369,93457,93838,45681,46343,64723,32469,13235,686615,548436,111541,1437,13451,119,11631,31641,489686,173742,6395,93781,2522,838,1390,4754,68777,12589,1644,52430,2318,743,74410,21850,681,2759,7246,694,953,14783,19746,312,10912,2590,827,589,4877,761,37346,691600,94321,600754,49993,23016,2009,14898,1230,211482,274407,730,2370,2711,14774,27.4,142431,43472,80850,27829,32358,3553,22570,30611,11921,32648,18035,6869,28680,35549,78234,26212,17825,14233,267681,41313,17464,482,299457,6.7,194502,2.71,2.4,69386,54428,69958,35991,16127,16406,14468,22264,32684,31244,44120,33491,13377,2854,193400,125426,1319,381,62176,971,5618,13570,10587,21364,21916,32394,48328,33107,43995,17529,19506,526635,208130,48152,7.3,12653,27695,122508,95231,38904,111486,67638,91.5,37.6,11806559,26097,93165,NULL,910596,873721,873473,1073988,174336,724798,1764506,232643,816419,597749,653317,172503,1539136,103343,464888,408435,1090
AL,7,AL_07,DEM,1634560,1028350,1570730,0,1633320,0,1237.02,0,759349,0,0,269004,1633320,758112,964526,0,672406,320498,39791,40657,37959,55213,55495,95664,76577,80430,40733,47376,62198,29627,10686,663100,222797,424453,1557,6471,386,7436,20117,538320,112765,3345,90343,626,111,171,2893,17927,3657,779,20394,1413,1094,25720,8480,46,455,1810,547,397,6740,4242,99,24866,489,299,0,1603,2382,39533,663698,126515,557566,69605,19692,1186,26399,380,249728,217961,3503,6021,2641,6066,23.9,78813,53163,64998,25114,46273,3068,17835,35014,4248,33092,15206,2996,14855,21934,66711,28119,14717,10566,218247,39081,10777,256,336726,8.4,147728,2.62,2.35,73805,54148,56330,30513,17855,25111,28187,48346,25622,18670,15999,8066,1854,984,96500,78118,1029,340,100206,735,9828,33966,22856,39420,29697,37575,42683,21532,20438,5013,4582,381349,296893,68884,19.8,19158,50403,148470,96732,36889,59189,32450,84.3,20.7,13460524,58274,37506,NULL,839520,2740352,938314,733843,657339,275546,1132942,231424,784983,330400,511089,114522,2730605,41085,402109,486538,495
AR,1,AR_01,REP,974708,766218,467067,0,974708,0,0,0,443643,0,1000,321575,973708,443643,258577,0,722287,359880,44197,43459,49250,49492,42913,86884,89134,91379,47028,47825,75519,42605,12602,697380,557968,123723,2531,5015,250,7893,23341,478657,226873,4016,88358,880,1073,988,9400,46290,11639,1086,78984,1415,557,78192,8047,557,3436,4023,654,775,7269,12536,696,1956,3792,240,228,2135,367,50666,697533,144750,589315,69147,36474,2410,18748,1262,262848,239631,812,4166,2701,10172,21.2,85578,54380,63957,33316,55073,13946,17862,45430,7032,36785,19099,4102,13328,18394,69944,20857,11765,13760,225578,45130,20892,704,343260,6.2,183130,2.47,2.42,83942,61733,67511,34379,15837,19724,34622,55878,37777,23274,20157,7904,2653,865,101300,91734,911,314,88270,651,11726,26666,22906,38761,34041,45548,49356,27883,24533,7912,5520,381959,360161,48025,13.4,26938,48168,193380,102347,41139,53494,27510,84.8,16.4,6526430,51375,20837,84252,317578,1641811,473669,797667,341217,130279,291841,58947,150292,97331,146898,49540,1435360,33211,263560,139987,778
AR,2,AR_02,REP,2724800,2843740,529730,0,2724800,0,0,0,2778740,0,0,65000,2724800,2778740,648669,0,765193,371584,48412,53890,47017,50096,52894,105797,96250,96538,50871,45899,71268,31819,14442,745536,540475,175520,1786,12811,402,14542,40405,495851,228663,8027,63063,3952,2389,1371,6481,56602,10568,1271,70837,1494,562,66435,15566,445,3366,6814,519,1881,10311,14150,278,10184,4281,2480,846,3013,744,54415,755696,132676,650117,60845,27704,2745,18441,3067,230178,292992,1443,6324,4556,15240,22.7,137927,62220,84879,26284,42556,4224,20749,24971,9058,42066,19347,8667,25755,30065,100808,30136,18431,19589,272542,61079,19096,1149,342372,12.3,188615,2.63,2.39,93709,67090,69285,34390,14299,14924,14181,36286,44436,36023,32586,16893,6788,1422,149400,117441,1140,360,99084,803,5998,21167,16336,29207,35914,40157,53708,35153,35750,14221,12084,494523,314725,53081,9.7,14436,34917,155412,114014,37764,94553,61788,90.4,30.5,12284595,6260,156559,211637,755468,1050562,857316,1143354,530094,868459,1134726,180685,798098,242712,434341,199181,2738106,60696,498648,416838,855
