st_abbrev,district,party,fips,STATEFP,district,CD115FP,GEOID,Public_transportation_excluding_taxicab,Less_than_50_000,American,Mining__quarrying__and_oil_and_gas_extraction2
AK,0,REP,2,02,0,00,0200,5827,11347,21878,1447939
AL,1,REP,1,01,1,01,0101,954,19009,104645,35353
AL,2,REP,1,01,2,02,0102,144,22898,129642,10021
AL,3,REP,1,01,3,03,0103,447,33006,120734,32435
AL,4,REP,1,01,4,04,0104,634,33194,177643,121149
AL,5,REP,1,01,5,05,0105,822,16475,113407,7002
AL,6,REP,1,01,6,06,0106,730,14468,93781,93165
AL,7,DEM,1,01,7,07,0107,3503,28187,90343,37506
AR,1,REP,5,05,1,01,0501,812,34622,88358,20837
AR,2,REP,5,05,2,02,0502,1443,14181,63063,156559
AR,3,REP,5,05,3,03,0503,778,13168,74507,41754
AR,4,REP,5,05,4,04,0504,755,40539,93288,63274
AZ,1,DEM,4,04,1,01,0401,1966,26235,27479,538586
AZ,2,DEM,4,04,2,02,0402,6683,14278,26071,80416
AZ,3,DEM,4,04,3,03,0403,6016,14063,18923,52040
AZ,4,REP,4,04,4,04,0404,1705,24136,32998,72344
AZ,5,REP,4,04,5,05,0405,3500,17004,27455,6394
AZ,6,REP,4,04,6,06,0406,5641,7365,40580,23607
AZ,7,DEM,4,04,7,07,0407,16025,8499,10781,5290
AZ,8,REP,4,04,8,08,0408,2540,6575,30477,6679
AZ,9,DEM,4,04,9,09,0409,11419,5366,20439,3826
CA,1,REP,6,06,1,01,0601,1464,11520,49185,11846
CA,10,DEM,6,06,10,10,0610,2864,4432,20089,7949
CA,11,DEM,6,06,11,11,0611,44712,2165,21238,4932
CA,12,DEM,6,06,12,12,0612,161201,1325,24003,7282
CA,13,DEM,6,06,13,13,0613,83240,1420,19101,NULL
CA,14,DEM,6,06,14,14,0614,64746,1842,15674,6485
CA,15,DEM,6,06,15,15,0615,33207,2063,13713,23373
CA,16,DEM,6,06,16,16,0616,5857,5878,9439,2475
CA,17,DEM,6,06,17,17,0617,20854,1265,10736,3642
CA,18,DEM,6,06,18,18,0618,16846,2050,15768,10547
CA,19,DEM,6,06,19,19,0619,17295,2373,13676,NULL
CA,2,DEM,6,06,2,02,0602,14077,4739,17747,10197
CA,20,DEM,6,06,20,20,0620,5777,3744,12233,30398
CA,21,DEM,6,06,21,21,0621,1859,3817,11612,41835
CA,22,REP,6,06,22,22,0622,1297,5244,12157,4672
CA,23,REP,6,06,23,23,0623,1865,6819,25293,762117
CA,24,DEM,6,06,24,24,0624,5600,3376,19233,62582
CA,25,DEM,6,06,25,25,0625,6531,4214,29094,11151
CA,26,DEM,6,06,26,26,0626,2890,2357,35312,53195
CA,27,DEM,6,06,27,27,0627,13562,1560,33788,NULL
CA,28,DEM,6,06,28,28,0628,24557,704,30073,NULL
CA,29,DEM,6,06,29,29,0629,22060,1676,30047,NULL
CA,3,DEM,6,06,3,03,0603,7426,5506,18206,30637
CA,30,DEM,6,06,30,30,0630,15809,1860,27746,1064
CA,31,DEM,6,06,31,31,0631,4887,5021,12395,8968
CA,32,DEM,6,06,32,32,0632,12113,3527,14120,22247
CA,33,DEM,6,06,33,33,0633,9091,1382,27980,13938
CA,34,DEM,6,06,34,34,0634,68334,742,32698,NULL
CA,35,DEM,6,06,35,35,0635,4902,4088,12535,NULL
CA,36,DEM,6,06,36,36,0636,3624,15394,20683,4463
CA,37,DEM,6,06,37,37,0637,30784,793,25592,NULL
CA,38,DEM,6,06,38,38,0638,7732,2977,34029,1963
CA,39,DEM,6,06,39,39,0639,5255,2428,22835,8830
CA,4,REP,6,06,4,04,0604,4806,6272,23405,11243
CA,40,DEM,6,06,40,40,0640,24840,2015,17154,NULL
CA,41,DEM,6,06,41,41,0641,7160,3417,23409,NULL
CA,42,REP,6,06,42,42,0642,4090,2612,28153,14765
CA,43,DEM,6,06,43,43,0643,15882,891,24556,NULL
CA,44,DEM,6,06,44,44,0644,14175,1386,11989,NULL
CA,45,DEM,6,06,45,45,0645,3447,1389,30152,3769
CA,46,DEM,6,06,46,46,0646,13550,2759,58310,537
CA,47,DEM,6,06,47,47,0647,12947,1332,25887,48908
